scheme,baseline,model,split_protocol,n_labeled,label_counts_json,majority_acc,status,n_folds,acc,macro_f1,per_class_f1_json,support_json,confusion_json
A,metadata_safe,logreg,loeo,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,67,0.0,0.0,"{""healthy"": 0.0, ""worn"": 0.0}","{""healthy"": 33, ""worn"": 34}","[[0, 33], [34, 0]]"
A,metadata_safe,logreg,logo_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,8,0.4925373134328358,0.49242424242424243,"{""healthy"": 0.5, ""worn"": 0.48484848484848486}","{""healthy"": 33, ""worn"": 34}","[[17, 16], [18, 16]]"
A,metadata_safe,logreg,groupkfold_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.4925373134328358,0.49242424242424243,"{""healthy"": 0.5, ""worn"": 0.48484848484848486}","{""healthy"": 33, ""worn"": 34}","[[17, 16], [18, 16]]"
A,metadata_safe,logreg,groupkfold_insert_edge,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.26865671641791045,0.2680044593088071,"{""healthy"": 0.2898550724637681, ""worn"": 0.24615384615384617}","{""healthy"": 33, ""worn"": 34}","[[10, 23], [26, 8]]"
A,metadata_leaky,logreg,loeo,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,67,1.0,1.0,"{""healthy"": 1.0, ""worn"": 1.0}","{""healthy"": 33, ""worn"": 34}","[[33, 0], [0, 34]]"
A,metadata_leaky,logreg,logo_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,8,1.0,1.0,"{""healthy"": 1.0, ""worn"": 1.0}","{""healthy"": 33, ""worn"": 34}","[[33, 0], [0, 34]]"
A,metadata_leaky,logreg,groupkfold_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,1.0,1.0,"{""healthy"": 1.0, ""worn"": 1.0}","{""healthy"": 33, ""worn"": 34}","[[33, 0], [0, 34]]"
A,metadata_leaky,logreg,groupkfold_insert_edge,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.13432835820895522,0.11842105263157894,"{""healthy"": 0.23684210526315788, ""worn"": 0.0}","{""healthy"": 33, ""worn"": 34}","[[9, 24], [34, 0]]"
B,metadata_safe,logreg,loeo,51,"{""healthy"": 17, ""worn"": 34}",0.6666666666666666,ok,51,0.17647058823529413,0.15,"{""healthy"": 0.0, ""worn"": 0.3}","{""healthy"": 17, ""worn"": 34}","[[0, 17], [25, 9]]"
B,metadata_safe,logreg,logo_condition,51,"{""healthy"": 17, ""worn"": 34}",0.6666666666666666,ok,8,0.5490196078431373,0.5122661122661123,"{""healthy"": 0.3783783783783784, ""worn"": 0.6461538461538462}","{""healthy"": 17, ""worn"": 34}","[[7, 10], [13, 21]]"
B,metadata_safe,logreg,groupkfold_condition,51,"{""healthy"": 17, ""worn"": 34}",0.6666666666666666,ok,5,0.5490196078431373,0.5122661122661123,"{""healthy"": 0.3783783783783784, ""worn"": 0.6461538461538462}","{""healthy"": 17, ""worn"": 34}","[[7, 10], [13, 21]]"
B,metadata_safe,logreg,groupkfold_insert_edge,51,"{""healthy"": 17, ""worn"": 34}",0.6666666666666666,ok,5,0.19607843137254902,0.16393442622950818,"{""healthy"": 0.0, ""worn"": 0.32786885245901637}","{""healthy"": 17, ""worn"": 34}","[[0, 17], [24, 10]]"
B,metadata_leaky,logreg,loeo,51,"{""healthy"": 17, ""worn"": 34}",0.6666666666666666,ok,51,1.0,1.0,"{""healthy"": 1.0, ""worn"": 1.0}","{""healthy"": 17, ""worn"": 34}","[[17, 0], [0, 34]]"
B,metadata_leaky,logreg,logo_condition,51,"{""healthy"": 17, ""worn"": 34}",0.6666666666666666,ok,8,1.0,1.0,"{""healthy"": 1.0, ""worn"": 1.0}","{""healthy"": 17, ""worn"": 34}","[[17, 0], [0, 34]]"
B,metadata_leaky,logreg,groupkfold_condition,51,"{""healthy"": 17, ""worn"": 34}",0.6666666666666666,ok,5,1.0,1.0,"{""healthy"": 1.0, ""worn"": 1.0}","{""healthy"": 17, ""worn"": 34}","[[17, 0], [0, 34]]"
B,metadata_leaky,logreg,groupkfold_insert_edge,51,"{""healthy"": 17, ""worn"": 34}",0.6666666666666666,ok,5,0.6666666666666666,0.4,"{""healthy"": 0.0, ""worn"": 0.8}","{""healthy"": 17, ""worn"": 34}","[[0, 17], [0, 34]]"
C,metadata_safe,logreg,loeo,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,67,0.0,0.0,"{""healthy"": 0.0, ""worn"": 0.0}","{""healthy"": 33, ""worn"": 34}","[[0, 33], [34, 0]]"
C,metadata_safe,logreg,logo_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,8,0.4925373134328358,0.49242424242424243,"{""healthy"": 0.5, ""worn"": 0.48484848484848486}","{""healthy"": 33, ""worn"": 34}","[[17, 16], [18, 16]]"
C,metadata_safe,logreg,groupkfold_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.4925373134328358,0.49242424242424243,"{""healthy"": 0.5, ""worn"": 0.48484848484848486}","{""healthy"": 33, ""worn"": 34}","[[17, 16], [18, 16]]"
C,metadata_safe,logreg,groupkfold_insert_edge,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.26865671641791045,0.2680044593088071,"{""healthy"": 0.2898550724637681, ""worn"": 0.24615384615384617}","{""healthy"": 33, ""worn"": 34}","[[10, 23], [26, 8]]"
C,metadata_leaky,logreg,loeo,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,67,1.0,1.0,"{""healthy"": 1.0, ""worn"": 1.0}","{""healthy"": 33, ""worn"": 34}","[[33, 0], [0, 34]]"
C,metadata_leaky,logreg,logo_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,8,1.0,1.0,"{""healthy"": 1.0, ""worn"": 1.0}","{""healthy"": 33, ""worn"": 34}","[[33, 0], [0, 34]]"
C,metadata_leaky,logreg,groupkfold_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,1.0,1.0,"{""healthy"": 1.0, ""worn"": 1.0}","{""healthy"": 33, ""worn"": 34}","[[33, 0], [0, 34]]"
C,metadata_leaky,logreg,groupkfold_insert_edge,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.13432835820895522,0.11842105263157894,"{""healthy"": 0.23684210526315788, ""worn"": 0.0}","{""healthy"": 33, ""worn"": 34}","[[9, 24], [34, 0]]"
