scheme,baseline,model,split_protocol,n_labeled,label_counts_json,majority_acc,status,n_folds,acc,macro_f1,per_class_f1_json,support_json,confusion_json
A,signal_only,logreg,loeo,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,67,0.8955223880597015,0.8955223880597015,"{""healthy"": 0.8955223880597015, ""worn"": 0.8955223880597015}","{""healthy"": 33, ""worn"": 34}","[[30, 3], [4, 30]]"
A,signal_only,logreg,logo_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,8,0.8507462686567164,0.8504464285714286,"{""healthy"": 0.84375, ""worn"": 0.8571428571428571}","{""healthy"": 33, ""worn"": 34}","[[27, 6], [4, 30]]"
A,signal_only,logreg,groupkfold_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.835820895522388,0.8352336239660183,"{""healthy"": 0.8253968253968254, ""worn"": 0.8450704225352113}","{""healthy"": 33, ""worn"": 34}","[[26, 7], [4, 30]]"
A,signal_only,logreg,groupkfold_insert_edge,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.7761194029850746,0.7753185781354794,"{""healthy"": 0.7619047619047619, ""worn"": 0.7887323943661971}","{""healthy"": 33, ""worn"": 34}","[[24, 9], [6, 28]]"
A,signal_only,rf,loeo,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,67,0.9701492537313433,0.9701426024955437,"{""healthy"": 0.9705882352941176, ""worn"": 0.9696969696969697}","{""healthy"": 33, ""worn"": 34}","[[33, 0], [2, 32]]"
A,signal_only,rf,logo_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,8,0.8955223880597015,0.8955223880597015,"{""healthy"": 0.8955223880597015, ""worn"": 0.8955223880597015}","{""healthy"": 33, ""worn"": 34}","[[30, 3], [4, 30]]"
A,signal_only,rf,groupkfold_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.8805970149253731,0.8805704099821747,"{""healthy"": 0.8787878787878788, ""worn"": 0.8823529411764706}","{""healthy"": 33, ""worn"": 34}","[[29, 4], [4, 30]]"
A,signal_only,rf,groupkfold_insert_edge,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,5,0.8656716417910447,0.8651911468812876,"{""healthy"": 0.8571428571428571, ""worn"": 0.8732394366197183}","{""healthy"": 33, ""worn"": 34}","[[27, 6], [3, 31]]"
A,signal_only,extratrees,loeo,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,67,0.9552238805970149,0.9552238805970149,"{""healthy"": 0.9552238805970149, ""worn"": 0.9552238805970149}","{""healthy"": 33, ""worn"": 34}","[[32, 1], [2, 32]]"
A,signal_only,extratrees,logo_condition,67,"{""healthy"": 33, ""worn"": 34}",0.5074626865671642,ok,8,0.835820895522388,0.8344935998203458,"{""healthy"": 0.819672131147541, ""worn"": 0.8493150684931506}","{""healthy"": 33, ""worn"": 34}","[[25, 8], [3, 31]]"
