baseline,n_real,seed,actual,predicted,n
majority,2,0,healthy,healthy,8
majority,2,0,healthy,worn,0
majority,2,0,worn,healthy,9
majority,2,0,worn,worn,0
metadata_safe,2,0,healthy,healthy,8
metadata_safe,2,0,healthy,worn,0
metadata_safe,2,0,worn,healthy,9
metadata_safe,2,0,worn,worn,0
metadata_leaky_diagnostic,2,0,healthy,healthy,8
metadata_leaky_diagnostic,2,0,healthy,worn,0
metadata_leaky_diagnostic,2,0,worn,healthy,7
metadata_leaky_diagnostic,2,0,worn,worn,2
real_only,2,0,healthy,healthy,8
real_only,2,0,healthy,worn,0
real_only,2,0,worn,healthy,9
real_only,2,0,worn,worn,0
noise_aug,2,0,healthy,healthy,8
noise_aug,2,0,healthy,worn,0
noise_aug,2,0,worn,healthy,8
noise_aug,2,0,worn,worn,1
random_open_loop,2,0,healthy,healthy,8
random_open_loop,2,0,healthy,worn,0
random_open_loop,2,0,worn,healthy,5
random_open_loop,2,0,worn,worn,4
rule,2,0,healthy,healthy,8
rule,2,0,healthy,worn,0
rule,2,0,worn,healthy,6
rule,2,0,worn,worn,3
majority,2,1,healthy,healthy,8
majority,2,1,healthy,worn,0
majority,2,1,worn,healthy,9
majority,2,1,worn,worn,0
metadata_safe,2,1,healthy,healthy,4
metadata_safe,2,1,healthy,worn,4
metadata_safe,2,1,worn,healthy,5
metadata_safe,2,1,worn,worn,4
metadata_leaky_diagnostic,2,1,healthy,healthy,2
metadata_leaky_diagnostic,2,1,healthy,worn,6
metadata_leaky_diagnostic,2,1,worn,healthy,0
metadata_leaky_diagnostic,2,1,worn,worn,9
real_only,2,1,healthy,healthy,4
real_only,2,1,healthy,worn,4
real_only,2,1,worn,healthy,5
real_only,2,1,worn,worn,4
noise_aug,2,1,healthy,healthy,2
noise_aug,2,1,healthy,worn,6
noise_aug,2,1,worn,healthy,5
noise_aug,2,1,worn,worn,4
random_open_loop,2,1,healthy,healthy,6
random_open_loop,2,1,healthy,worn,2
random_open_loop,2,1,worn,healthy,5
random_open_loop,2,1,worn,worn,4
rule,2,1,healthy,healthy,5
rule,2,1,healthy,worn,3
rule,2,1,worn,healthy,3
rule,2,1,worn,worn,6
