baseline,n_real,seed,class,f1
majority,2,0,healthy,0.64
majority,2,0,worn,0.0
metadata_safe,2,0,healthy,0.64
metadata_safe,2,0,worn,0.0
metadata_leaky_diagnostic,2,0,healthy,0.6956521739130435
metadata_leaky_diagnostic,2,0,worn,0.36363636363636365
real_only,2,0,healthy,0.64
real_only,2,0,worn,0.0
noise_aug,2,0,healthy,0.6666666666666666
noise_aug,2,0,worn,0.2
random_open_loop,2,0,healthy,0.7619047619047619
random_open_loop,2,0,worn,0.6153846153846154
rule,2,0,healthy,0.7272727272727273
rule,2,0,worn,0.5
majority,2,1,healthy,0.64
majority,2,1,worn,0.0
metadata_safe,2,1,healthy,0.47058823529411764
metadata_safe,2,1,worn,0.47058823529411764
metadata_leaky_diagnostic,2,1,healthy,0.4
metadata_leaky_diagnostic,2,1,worn,0.75
real_only,2,1,healthy,0.47058823529411764
real_only,2,1,worn,0.47058823529411764
noise_aug,2,1,healthy,0.26666666666666666
noise_aug,2,1,worn,0.42105263157894735
random_open_loop,2,1,healthy,0.631578947368421
random_open_loop,2,1,worn,0.5333333333333333
rule,2,1,healthy,0.625
rule,2,1,worn,0.6666666666666666
majority,2,2,healthy,0.64
majority,2,2,worn,0.0
metadata_safe,2,2,healthy,0.47058823529411764
metadata_safe,2,2,worn,0.47058823529411764
metadata_leaky_diagnostic,2,2,healthy,0.631578947368421
metadata_leaky_diagnostic,2,2,worn,0.5333333333333333
real_only,2,2,healthy,0.64
real_only,2,2,worn,0.0
noise_aug,2,2,healthy,0.64
noise_aug,2,2,worn,0.0
random_open_loop,2,2,healthy,0.6956521739130435
random_open_loop,2,2,worn,0.36363636363636365
rule,2,2,healthy,0.64
rule,2,2,worn,0.0
majority,2,3,healthy,0.64
majority,2,3,worn,0.0
metadata_safe,2,3,healthy,0.5
metadata_safe,2,3,worn,0.5555555555555556
metadata_leaky_diagnostic,2,3,healthy,0.6666666666666666
metadata_leaky_diagnostic,2,3,worn,0.625
real_only,2,3,healthy,0.8
real_only,2,3,worn,0.7142857142857143
noise_aug,2,3,healthy,0.8
noise_aug,2,3,worn,0.7142857142857143
random_open_loop,2,3,healthy,0.6666666666666666
random_open_loop,2,3,worn,0.625
rule,2,3,healthy,0.8
