method,n_real,n_syn,seed,condition_id,n,acc,macro_f1
real_only,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7083333333333334,0.7037037037037037
real_only,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
noise_aug,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7083333333333334,0.7037037037037037
noise_aug,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
rule,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7916666666666666,0.7908496732026145
rule,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
random_open_loop,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.78125,0.7800807243372968
random_open_loop,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
LLM_synthetic,2,10,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7916666666666666,0.7908496732026145
LLM_synthetic,2,10,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
real_only,2,20,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6979166666666666,0.6938977460142935
real_only,2,20,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
noise_aug,2,20,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.625,0.6079854809437386
noise_aug,2,20,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
rule,2,20,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8020833333333334,0.8015449896638016
rule,2,20,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
random_open_loop,2,20,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8125,0.8121739130434782
random_open_loop,2,20,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
LLM_synthetic,2,20,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7604166666666666,0.7582922824302134
LLM_synthetic,2,20,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
real_only,2,40,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6979166666666666,0.6922736818834974
real_only,2,40,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
noise_aug,2,40,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7083333333333334,0.7019955654101996
noise_aug,2,40,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
rule,2,40,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8541666666666666,0.8541666666666666
rule,2,40,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
random_open_loop,2,40,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8229166666666666,0.8227435646790486
random_open_loop,2,40,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
LLM_synthetic,2,40,0,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.7916666666666666,0.7908496732026145
LLM_synthetic,2,40,0,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
real_only,2,10,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.4791666666666667,0.323943661971831
real_only,2,10,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
noise_aug,2,10,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.4895833333333333,0.34584897788902796
noise_aug,2,10,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
rule,2,10,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6145833333333334,0.5758805970149253
rule,2,10,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
random_open_loop,2,10,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6458333333333334,0.6075036075036075
random_open_loop,2,10,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
LLM_synthetic,2,10,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6458333333333334,0.6075036075036075
LLM_synthetic,2,10,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
real_only,2,20,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.4791666666666667,0.34065934065934067
real_only,2,20,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
noise_aug,2,20,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.5104166666666666,0.37254901960784315
noise_aug,2,20,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
rule,2,20,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.65625,0.621731343283582
rule,2,20,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
random_open_loop,2,20,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.65625,0.6267232237539766
random_open_loop,2,20,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
LLM_synthetic,2,20,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6666666666666666,0.6356736242884251
LLM_synthetic,2,20,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
real_only,2,40,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.4895833333333333,0.34584897788902796
real_only,2,40,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
noise_aug,2,40,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.5,0.36703296703296706
noise_aug,2,40,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
rule,2,40,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.65625,0.6267232237539766
rule,2,40,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5648148148148148,0.37968960039105465
random_open_loop,2,40,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6666666666666666,0.6444444444444444
random_open_loop,2,40,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
LLM_synthetic,2,40,1,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.6770833333333334,0.6574191320363763
LLM_synthetic,2,40,1,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.5555555555555556,0.35714285714285715
real_only,2,10,2,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.625,0.5636363636363637
real_only,2,10,2,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6018518518518519,0.5976782465563545
noise_aug,2,10,2,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.59375,0.5134502923976608
noise_aug,2,10,2,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6111111111111112,0.60625
rule,2,10,2,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
rule,2,10,2,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6018518518518519,0.5959982601130926
random_open_loop,2,10,2,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8854166666666666,0.8838922484881804
random_open_loop,2,10,2,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6203703703703703,0.6163908862514078
LLM_synthetic,2,10,2,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.8958333333333334,0.8946906537955244
LLM_synthetic,2,10,2,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6203703703703703,0.6163908862514078
real_only,2,20,2,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,96,0.5729166666666666,0.4776376907763769
real_only,2,20,2,StainlessSteel.316L|Vc50|fz0.05|ap1.5|ae58.4,108,0.6203703703703703,0.6177156177156178
