method,n_real,n_syn,seed,class,f1
real_only,2,10,0,healthy,0.5128205128205128
real_only,2,10,0,worn,0.6984126984126984
noise_aug,2,10,0,healthy,0.5128205128205128
noise_aug,2,10,0,worn,0.6984126984126984
rule,2,10,0,healthy,0.5466666666666666
rule,2,10,0,worn,0.7364341085271318
random_open_loop,2,10,0,healthy,0.543046357615894
random_open_loop,2,10,0,worn,0.7315175097276264
LLM_synthetic,2,10,0,healthy,0.5466666666666666
LLM_synthetic,2,10,0,worn,0.7364341085271318
real_only,2,20,0,healthy,0.5032258064516129
real_only,2,20,0,worn,0.6956521739130435
noise_aug,2,20,0,healthy,0.4878048780487805
noise_aug,2,20,0,worn,0.6557377049180327
rule,2,20,0,healthy,0.5503355704697986
rule,2,20,0,worn,0.7413127413127413
random_open_loop,2,20,0,healthy,0.5540540540540541
random_open_loop,2,20,0,worn,0.7461538461538462
LLM_synthetic,2,20,0,healthy,0.5359477124183006
LLM_synthetic,2,20,0,worn,0.7215686274509804
real_only,2,40,0,healthy,0.5095541401273885
real_only,2,40,0,worn,0.6932270916334662
noise_aug,2,40,0,healthy,0.5189873417721519
noise_aug,2,40,0,worn,0.696
rule,2,40,0,healthy,0.5694444444444444
rule,2,40,0,worn,0.7651515151515151
random_open_loop,2,40,0,healthy,0.5578231292517006
random_open_loop,2,40,0,worn,0.7509578544061303
LLM_synthetic,2,40,0,healthy,0.5466666666666666
LLM_synthetic,2,40,0,worn,0.7364341085271318
real_only,2,10,1,healthy,0.4842105263157895
real_only,2,10,1,worn,0.5504587155963303
noise_aug,2,10,1,healthy,0.48677248677248675
noise_aug,2,10,1,worn,0.5570776255707762
rule,2,10,1,healthy,0.5086705202312138
rule,2,10,1,worn,0.6382978723404256
random_open_loop,2,10,1,healthy,0.5287356321839081
random_open_loop,2,10,1,worn,0.6495726495726496
LLM_synthetic,2,10,1,healthy,0.5287356321839081
LLM_synthetic,2,10,1,worn,0.6495726495726496
real_only,2,20,1,healthy,0.4787234042553192
real_only,2,20,1,worn,0.5545454545454546
noise_aug,2,20,1,healthy,0.4973544973544973
noise_aug,2,20,1,worn,0.5662100456621004
rule,2,20,1,healthy,0.5317919075144508
rule,2,20,1,worn,0.6553191489361702
random_open_loop,2,20,1,healthy,0.5263157894736842
random_open_loop,2,20,1,worn,0.6582278481012658
LLM_synthetic,2,20,1,healthy,0.5348837209302325
LLM_synthetic,2,20,1,worn,0.6610169491525424
real_only,2,40,1,healthy,0.48677248677248675
real_only,2,40,1,worn,0.5570776255707762
noise_aug,2,40,1,healthy,0.48936170212765956
noise_aug,2,40,1,worn,0.5636363636363636
rule,2,40,1,healthy,0.5348837209302325
rule,2,40,1,worn,0.6610169491525424
random_open_loop,2,40,1,healthy,0.5238095238095238
random_open_loop,2,40,1,worn,0.6666666666666666
LLM_synthetic,2,40,1,healthy,0.5269461077844312
LLM_synthetic,2,40,1,worn,0.6721991701244814
real_only,2,10,2,healthy,0.6852589641434262
real_only,2,10,2,worn,0.4968152866242038
noise_aug,2,10,2,healthy,0.6823529411764706
noise_aug,2,10,2,worn,0.47058823529411764
rule,2,10,2,healthy,0.7665198237885462
rule,2,10,2,worn,0.7071823204419889
random_open_loop,2,10,2,healthy,0.7699115044247787
random_open_loop,2,10,2,worn,0.7142857142857143
LLM_synthetic,2,10,2,healthy,0.7733333333333333
LLM_synthetic,2,10,2,worn,0.7213114754098361
real_only,2,20,2,healthy,0.6771653543307087
real_only,2,20,2,worn,0.4675324675324675
noise_aug,2,20,2,healthy,0.6746031746031746
noise_aug,2,20,2,worn,0.47435897435897434
rule,2,20,2,healthy,0.7733333333333333
rule,2,20,2,worn,0.7213114754098361
random_open_loop,2,20,2,healthy,0.7699115044247787
random_open_loop,2,20,2,worn,0.7142857142857143
LLM_synthetic,2,20,2,healthy,0.7555555555555555
