window_id,sample_id,file_name,split,label,condition_id,insert_edge_id,rounded_VB
0,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
1,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
2,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
3,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
4,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
5,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
6,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
7,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
8,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
9,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
10,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
11,mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
12,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
13,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
14,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
15,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
16,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
17,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
18,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
19,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
20,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
21,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
22,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
23,mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.0
24,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
25,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
26,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
27,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
28,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
29,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
30,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
31,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
32,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
33,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
34,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
35,mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.0
36,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
37,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
38,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
39,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
40,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
41,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
42,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
43,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
44,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
45,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
46,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
47,mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_val,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
48,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
49,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
50,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
51,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
52,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
53,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
54,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
55,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
56,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
57,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
58,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
59,mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.0
60,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
61,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
62,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
63,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
64,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
65,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
66,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
67,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
68,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
69,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
70,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
71,mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
72,mutcm_006,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep2.mat,inner_train,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.0
