n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
10,False,2,acc,LLM_synthetic>noise_aug,0.0021336701835259456,0.055147058823529396,0.03676470588235292,0.65,0.695184446639808,0.006401010550577837
10,False,2,acc,LLM_synthetic>rule,0.9729472386610806,-0.013235294117647067,-0.009803921568627527,0.25,-0.44732664444276926,1.0
10,False,2,acc,LLM_synthetic>random_open_loop,0.9591431692290929,-0.005882352941176472,-0.004901960784313708,0.25,-0.4282265942921946,1.0
10,False,2,acc,LLM_synthetic>real_only,0.0013198419071910332,0.05661764705882355,0.04166666666666663,0.7,0.738382418178469,
10,False,2,macro_f1,LLM_synthetic>noise_aug,0.003035227890346632,0.06427360291114839,0.036044808765029634,0.65,0.5743705693028536,0.009105683671039897
10,False,2,macro_f1,LLM_synthetic>rule,0.9570927065825655,-0.01340313176674054,-0.009513144622772363,0.25,-0.421878269631452,1.0
10,False,2,macro_f1,LLM_synthetic>random_open_loop,0.9553200980092326,-0.007193932403269732,-0.005180194719377362,0.35,-0.45219475601345516,1.0
10,False,2,macro_f1,LLM_synthetic>real_only,0.0013561248779296875,0.06859797772187341,0.03775327225676356,0.7,0.6333394845472778,
10,False,5,acc,LLM_synthetic>noise_aug,0.019529331261455327,0.010294117647058825,0.004901960784313708,0.55,0.42969851165033185,0.05858799378436598
10,False,5,acc,LLM_synthetic>rule,0.9419708297999028,-0.009313725490196078,-0.004901960784313708,0.3,-0.43661617624968246,1.0
10,False,5,acc,LLM_synthetic>random_open_loop,0.9589426342552128,-0.00735294117647059,-0.007352941176470618,0.3,-0.4110624429413589,1.0
10,False,5,acc,LLM_synthetic>real_only,0.0017596692880763082,0.016176470588235303,0.007352941176470618,0.7,0.6764340508666148,
10,False,5,macro_f1,LLM_synthetic>noise_aug,0.010839107635484162,0.01166445604253375,0.004820660048693082,0.7,0.43122702095357923,0.032517322906452484
10,False,5,macro_f1,LLM_synthetic>rule,0.9437027242195172,-0.01046264177797578,-0.0037265245507337452,0.3,-0.4136213454092178,1.0
10,False,5,macro_f1,LLM_synthetic>random_open_loop,0.9516737763174681,-0.00819640857982698,-0.008347914121383748,0.3,-0.4044936790448106,1.0
10,False,5,macro_f1,LLM_synthetic>real_only,0.001906194809063661,0.019071796257210696,0.011033726294468416,0.75,0.7111507306931909,
10,False,10,acc,LLM_synthetic>noise_aug,0.3967788098254031,0.0017156862745098089,0.0,0.45,0.08859228037570246,0.9794122872543842
10,False,10,acc,LLM_synthetic>rule,0.32647076241812806,0.0019607843137254832,-0.002450980392156854,0.45,0.15245192753931663,0.9794122872543842
