path,class,slot,recipe_type,condition_id,recipe_path
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_healthy_0000_e0.npy,healthy,0,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0000_healthy_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_healthy_0000_e1.npy,healthy,0,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0000_healthy_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_healthy_0000_e2.npy,healthy,0,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0000_healthy_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0002_readmit_e0.npy,worn,2,condition_balanced,CastIron.GG30|Vc200|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0002_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0002_readmit_e1.npy,worn,2,condition_balanced,CastIron.GG30|Vc200|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0002_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0003_readmit_e0.npy,worn,3,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0003_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0003_readmit_e1.npy,worn,3,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0003_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0003_readmit_e2.npy,worn,3,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0003_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0004_readmit_e0.npy,worn,4,boundary,StainlessSteel.316L|Vc100|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0004_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0004_readmit_e1.npy,worn,4,boundary,StainlessSteel.316L|Vc100|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0004_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0004_readmit_e2.npy,worn,4,boundary,StainlessSteel.316L|Vc100|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0004_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0005_readmit_e0.npy,worn,5,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0005_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0005_readmit_e1.npy,worn,5,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0005_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0006_readmit_e1.npy,worn,6,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0006_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0006_readmit_e2.npy,worn,6,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0006_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0007_readmit_e0.npy,worn,7,boundary,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0007_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0007_readmit_e1.npy,worn,7,boundary,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0007_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0007_readmit_e2.npy,worn,7,boundary,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0007_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0008_readmit_e0.npy,worn,8,condition_balanced,CastIron.GG30|Vc200|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0008_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0008_readmit_e1.npy,worn,8,condition_balanced,CastIron.GG30|Vc200|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0008_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0008_readmit_e2.npy,worn,8,condition_balanced,CastIron.GG30|Vc200|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0008_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0009_readmit_e0.npy,worn,9,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0009_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0009_readmit_e1.npy,worn,9,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0009_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0009_readmit_e2.npy,worn,9,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0009_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0010_readmit_e0.npy,worn,10,boundary,StainlessSteel.316L|Vc100|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0010_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0010_readmit_e2.npy,worn,10,boundary,StainlessSteel.316L|Vc100|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0010_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0011_readmit_e1.npy,worn,11,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0011_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0011_readmit_e2.npy,worn,11,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0011_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0012_readmit_e0.npy,worn,12,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0012_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0012_readmit_e1.npy,worn,12,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0012_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0014_readmit_e0.npy,worn,14,condition_balanced,CastIron.GG30|Vc200|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0014_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0014_readmit_e1.npy,worn,14,condition_balanced,CastIron.GG30|Vc200|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0014_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0014_readmit_e2.npy,worn,14,condition_balanced,CastIron.GG30|Vc200|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0014_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0015_readmit_e0.npy,worn,15,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0015_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0015_readmit_e1.npy,worn,15,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0015_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0015_readmit_e2.npy,worn,15,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0015_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0016_readmit_e1.npy,worn,16,boundary,StainlessSteel.316L|Vc100|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0016_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0016_readmit_e2.npy,worn,16,boundary,StainlessSteel.316L|Vc100|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0016_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0017_readmit_e0.npy,worn,17,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0017_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0017_readmit_e1.npy,worn,17,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0017_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0017_readmit_e2.npy,worn,17,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0017_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0018_readmit_e0.npy,worn,18,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0018_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0018_readmit_e1.npy,worn,18,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0018_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0018_readmit_e2.npy,worn,18,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0018_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0019_readmit_e0.npy,worn,19,boundary,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0019_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0019_readmit_e2.npy,worn,19,boundary,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0019_worn_boundary.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0021_readmit_e0.npy,worn,21,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0021_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0021_readmit_e1.npy,worn,21,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0021_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0021_readmit_e2.npy,worn,21,prototype,StainlessSteel.316L|Vc100|fz0.05|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0021_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0023_readmit_e0.npy,worn,23,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0023_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0023_readmit_e1.npy,worn,23,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0023_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0023_readmit_e2.npy,worn,23,condition_balanced,StainlessSteel.316L|Vc50|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0023_worn_condition_balanced.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0024_readmit_e1.npy,worn,24,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0024_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0024_readmit_e2.npy,worn,24,prototype,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0024_worn_prototype.json
breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/llm_worn_0025_readmit_e1.npy,worn,25,boundary,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,breeze/results/mutcm_v3_llm_inner_2026-07-09/synthetic_llm/recipe_0025_worn_boundary.json
