method,n_real,n_syn,seed,actual_syn,acc,macro_f1,confusion_json
real_only,2,10,0,0,0.6274509803921569,0.6092741935483872,"[[42,54],[22,86]]"
noise_aug,2,10,0,20,0.6176470588235294,0.6007226738934056,"[[42,54],[24,84]]"
rule,2,10,0,20,0.7352941176470589,0.7332170880557978,"[[66,30],[24,84]]"
random_open_loop,2,10,0,20,0.6666666666666666,0.6582577847851794,"[[52,44],[24,84]]"
LLM_synthetic,2,10,0,20,0.6813725490196079,0.6748007357449417,"[[55,41],[24,84]]"
real_only,2,20,0,0,0.6274509803921569,0.6092741935483872,"[[42,54],[22,86]]"
noise_aug,2,20,0,40,0.6176470588235294,0.6007226738934056,"[[42,54],[24,84]]"
rule,2,20,0,40,0.7352941176470589,0.7336557059961315,"[[67,29],[25,83]]"
random_open_loop,2,20,0,40,0.7058823529411765,0.7044905842588122,"[[65,31],[29,79]]"
LLM_synthetic,2,20,0,40,0.7450980392156863,0.7435203094777563,"[[68,28],[24,84]]"
real_only,2,40,0,0,0.6274509803921569,0.6092741935483872,"[[42,54],[22,86]]"
noise_aug,2,40,0,80,0.6176470588235294,0.6007226738934056,"[[42,54],[24,84]]"
rule,2,40,0,80,0.75,0.7489806258595315,"[[70,26],[25,83]]"
random_open_loop,2,40,0,80,0.7598039215686274,0.7593355001805706,"[[73,23],[26,82]]"
LLM_synthetic,2,40,0,80,0.7647058823529411,0.7638888888888888,"[[72,24],[24,84]]"
real_only,2,10,1,0,0.5196078431372549,0.5166344294003868,"[[45,51],[47,61]]"
noise_aug,2,10,1,20,0.5245098039215687,0.5211846976552859,"[[45,51],[46,62]]"
rule,2,10,1,20,0.6372549019607843,0.635009671179884,"[[57,39],[35,73]]"
random_open_loop,2,10,1,20,0.6225490196078431,0.621009964533018,"[[57,39],[38,70]]"
LLM_synthetic,2,10,1,20,0.6078431372549019,0.6059874456784162,"[[55,41],[39,69]]"
real_only,2,20,1,0,0.5196078431372549,0.5166344294003868,"[[45,51],[47,61]]"
noise_aug,2,20,1,40,0.5294117647058824,0.5257192676547515,"[[45,51],[45,63]]"
rule,2,20,1,40,0.6862745098039216,0.6857912976511359,"[[66,30],[34,74]]"
random_open_loop,2,20,1,40,0.6715686274509803,0.6711814660668318,"[[65,31],[36,72]]"
LLM_synthetic,2,20,1,40,0.6568627450980392,0.6556712962962963,"[[61,35],[35,73]]"
real_only,2,40,1,0,0.5196078431372549,0.5166344294003868,"[[45,51],[47,61]]"
noise_aug,2,40,1,80,0.5392156862745098,0.5347437888198758,"[[45,51],[43,65]]"
rule,2,40,1,80,0.7401960784313726,0.7401398803086019,"[[77,19],[34,74]]"
random_open_loop,2,40,1,80,0.7156862745098039,0.7155769230769231,"[[71,25],[33,75]]"
LLM_synthetic,2,40,1,80,0.6862745098039216,0.6855188361113786,"[[65,31],[33,75]]"
real_only,2,10,2,0,0.5931372549019608,0.5682264439627693,"[[85,11],[72,36]]"
noise_aug,2,10,2,20,0.5931372549019608,0.5742198305127367,"[[82,14],[69,39]]"
rule,2,10,2,20,0.696078431372549,0.6918128654970761,"[[83,13],[49,59]]"
random_open_loop,2,10,2,20,0.6666666666666666,0.6582577847851794,"[[84,12],[56,52]]"
LLM_synthetic,2,10,2,20,0.6225490196078431,0.6049991198732617,"[[85,11],[66,42]]"
real_only,2,20,2,0,0.5931372549019608,0.5682264439627693,"[[85,11],[72,36]]"
noise_aug,2,20,2,40,0.6176470588235294,0.6039032161704669,"[[82,14],[64,44]]"
rule,2,20,2,40,0.7058823529411765,0.7010258915486076,"[[85,11],[49,59]]"
random_open_loop,2,20,2,40,0.696078431372549,0.6910600879335613,"[[84,12],[50,58]]"
LLM_synthetic,2,20,2,40,0.6862745098039216,0.6793398172708518,"[[85,11],[53,55]]"
real_only,2,40,2,0,0.5931372549019608,0.5682264439627693,"[[85,11],[72,36]]"
noise_aug,2,40,2,80,0.5882352941176471,0.5700090334236676,"[[81,15],[69,39]]"
rule,2,40,2,80,0.75,0.7482517482517483,"[[85,11],[40,68]]"
random_open_loop,2,40,2,80,0.7107843137254902,0.7070606274490715,"[[84,12],[47,61]]"
LLM_synthetic,2,40,2,80,0.6862745098039216,0.6810942843185149,"[[83,13],[51,57]]"
real_only,2,10,3,0,0.6029411764705882,0.554933067578851,"[[95,1],[80,28]]"
noise_aug,2,10,3,20,0.6176470588235294,0.5759061833688699,"[[95,1],[77,31]]"
rule,2,10,3,20,0.6470588235294118,0.6160200773815748,"[[95,1],[71,37]]"
random_open_loop,2,10,3,20,0.6176470588235294,0.5729468599033817,"[[96,0],[78,30]]"
LLM_synthetic,2,10,3,20,0.6323529411764706,0.5935931149892422,"[[96,0],[75,33]]"
real_only,2,20,3,0,0.6029411764705882,0.554933067578851,"[[95,1],[80,28]]"
noise_aug,2,20,3,40,0.6176470588235294,0.5759061833688699,"[[95,1],[77,31]]"
rule,2,20,3,40,0.6568627450980392,0.6266861863431977,"[[96,0],[70,38]]"
random_open_loop,2,20,3,40,0.6862745098039216,0.6644736842105263,"[[96,0],[64,44]]"
LLM_synthetic,2,20,3,40,0.6225490196078431,0.5798989061538873,"[[96,0],[77,31]]"
real_only,2,40,3,0,0.6029411764705882,0.554933067578851,"[[95,1],[80,28]]"
noise_aug,2,40,3,80,0.6225490196078431,0.5827555980556219,"[[95,1],[76,32]]"
rule,2,40,3,80,0.7205882352941176,0.7062968856558309,"[[96,0],[57,51]]"
random_open_loop,2,40,3,80,0.7303921568627451,0.7178565141951869,"[[96,0],[55,53]]"
LLM_synthetic,2,40,3,80,0.6764705882352942,0.652093023255814,"[[96,0],[66,42]]"
real_only,2,10,4,0,0.6666666666666666,0.6661532537543319,"[[64,32],[36,72]]"
noise_aug,2,10,4,20,0.6715686274509803,0.6702294496586001,"[[62,34],[33,75]]"
rule,2,10,4,20,0.7745098039215687,0.7744881284244929,"[[80,16],[30,78]]"
random_open_loop,2,10,4,20,0.7450980392156863,0.7448773448773449,"[[79,17],[35,73]]"
LLM_synthetic,2,10,4,20,0.7794117647058824,0.7793640493186242,"[[81,15],[30,78]]"
real_only,2,20,4,0,0.6666666666666666,0.6661532537543319,"[[64,32],[36,72]]"
noise_aug,2,20,4,40,0.6666666666666666,0.6655092592592593,"[[62,34],[34,74]]"
rule,2,20,4,40,0.7941176470588235,0.793939393939394,"[[84,12],[30,78]]"
random_open_loop,2,20,4,40,0.803921568627451,0.8011695906432749,"[[94,2],[38,70]]"
LLM_synthetic,2,20,4,40,0.8088235294117647,0.8063621096697252,"[[94,2],[37,71]]"
real_only,2,40,4,0,0.6666666666666666,0.6661532537543319,"[[64,32],[36,72]]"
noise_aug,2,40,4,80,0.6617647058823529,0.6607784070369924,"[[62,34],[35,73]]"
rule,2,40,4,80,0.8137254901960784,0.8115335991442185,"[[94,2],[36,72]]"
random_open_loop,2,40,4,80,0.7843137254901961,0.780752320468979,"[[93,3],[41,67]]"
LLM_synthetic,2,40,4,80,0.7843137254901961,0.7801724137931034,"[[94,2],[42,66]]"
real_only,2,10,5,0,0.6568627450980392,0.6502742946708464,"[[81,15],[55,53]]"
noise_aug,2,10,5,20,0.6127450980392157,0.5995726389544562,"[[81,15],[64,44]]"
