n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
10,False,2,acc,LLM_synthetic>noise_aug,0.0002762980373392521,0.0534313725490196,0.03676470588235292,0.85,0.9666579119836186,0.0008288941120177563
10,False,2,acc,LLM_synthetic>rule,0.9704050106251454,-0.014215686274509804,-0.012254901960784381,0.25,-0.4431144938330532,1.0
10,False,2,acc,LLM_synthetic>random_open_loop,0.8523982463092827,-0.0066176470588235285,-0.012254901960784326,0.3,-0.2373733491853098,1.0
10,False,2,acc,LLM_synthetic>real_only,0.0002569051709737497,0.05392156862745099,0.03676470588235292,0.8,0.9143303560374931,
10,False,2,macro_f1,LLM_synthetic>noise_aug,6.67572021484375e-05,0.05725230374698302,0.04274277268297602,0.85,0.930525143401331,0.0002002716064453125
10,False,2,macro_f1,LLM_synthetic>rule,0.9708709716796875,-0.01681566767026067,-0.012333619220852299,0.35,-0.4778288517094689,1.0
10,False,2,macro_f1,LLM_synthetic>random_open_loop,0.8255949020385742,-0.007200317783519544,-0.015144357935344854,0.3,-0.2323058369419659,1.0
10,False,2,macro_f1,LLM_synthetic>real_only,8.392333984375e-05,0.05998905640352743,0.04230214545503025,0.8,0.887660793355742,
10,False,5,acc,LLM_synthetic>noise_aug,0.3003682674683915,0.003921568627450983,0.002450980392156854,0.5,0.1795481544426178,0.9011048024051745
10,False,5,acc,LLM_synthetic>rule,0.999818705090323,-0.01029411764705882,-0.004901960784313764,0.05,-0.9999403322516326,1.0
10,False,5,acc,LLM_synthetic>random_open_loop,0.9989731777126707,-0.018137254901960782,-0.019607843137254888,0.2,-0.8769841067665541,1.0
10,False,5,acc,LLM_synthetic>real_only,0.48504988129389426,0.002450980392156854,0.0,0.4,0.11767921014405147,
10,False,5,macro_f1,LLM_synthetic>noise_aug,0.24489137968259483,0.004278560852391822,0.0025825985112957195,0.5,0.1816949810943135,0.7346741390477844
10,False,5,macro_f1,LLM_synthetic>rule,0.999635729099915,-0.010323253053998217,-0.005614088700770903,0.1,-0.9205777641726423,1.0
10,False,5,macro_f1,LLM_synthetic>random_open_loop,0.9994916915893555,-0.01930147053968521,-0.021374188571459007,0.25,-0.8477990133501628,1.0
10,False,5,macro_f1,LLM_synthetic>real_only,0.34753168141300994,0.002882224660525379,-0.0002779526533601695,0.45,0.12736785825336192,
10,False,10,acc,LLM_synthetic>noise_aug,0.7441477472548977,-0.01568627450980392,-0.002450980392156854,0.4,-0.2317931102298564,1.0
