n_syn,selected_n_syn,n_real,metric,comparison,p_raw,mean_delta,median_delta,win_rate,effect_size_mean_over_sd,holm_q
10,True,2,acc,LLM_synthetic>noise_aug,0.0008469697265466231,0.056617647058823516,0.03431372549019607,0.8,0.7349128161793996,0.0025409091796398694
10,True,2,acc,LLM_synthetic>rule,0.9558223249161117,-0.01176470588235295,-0.004901960784313708,0.3,-0.36035103908987975,1.0
10,True,2,acc,LLM_synthetic>random_open_loop,0.91427120180845,-0.004411764705882354,-0.002450980392156854,0.2,-0.2424568669027192,1.0
10,True,2,acc,LLM_synthetic>real_only,0.0012453326905356098,0.05808823529411764,0.039215686274509776,0.7,0.7685847084543755,
10,True,2,macro_f1,LLM_synthetic>noise_aug,0.0005083084106445312,0.06584362539563812,0.04031428079839705,0.8,0.6008334973540732,0.0015249252319335938
10,True,2,macro_f1,LLM_synthetic>rule,0.9247025009909372,-0.01183310928225082,-0.005038252899939921,0.3,-0.3407622999470311,1.0
10,True,2,macro_f1,LLM_synthetic>random_open_loop,0.9107113340539896,-0.005623909918780012,-0.0030896048558378686,0.25,-0.2729799395676083,1.0
10,True,2,macro_f1,LLM_synthetic>real_only,0.001498978940475332,0.07016800020636314,0.03884520264247204,0.7,0.6585021539273748,
10,True,5,acc,LLM_synthetic>noise_aug,0.04993268081271911,0.009313725490196078,0.004901960784313764,0.6,0.3853926582985564,0.1497980424381573
10,True,5,acc,LLM_synthetic>rule,0.9877057167755706,-0.010294117647058825,-0.009803921568627472,0.15,-0.5791617586101457,1.0
10,True,5,acc,LLM_synthetic>random_open_loop,0.9751097845885267,-0.008333333333333337,-0.007352941176470618,0.2,-0.4395554660343172,1.0
10,True,5,acc,LLM_synthetic>real_only,0.01657029245198818,0.015196078431372556,0.009803921568627472,0.65,0.5418924939980508,
10,True,5,macro_f1,LLM_synthetic>noise_aug,0.0606379003337333,0.010652537703927207,0.004977467007821035,0.65,0.3844530521540323,0.1819137010011999
10,True,5,macro_f1,LLM_synthetic>rule,0.9781348596780204,-0.011474560116582322,-0.008358990027340751,0.3,-0.579281975835643,1.0
10,True,5,macro_f1,LLM_synthetic>random_open_loop,0.9771130241562657,-0.009208326918433523,-0.008735994214820741,0.2,-0.45421863097645415,1.0
10,True,5,macro_f1,LLM_synthetic>real_only,0.015911434367317616,0.018059877918604153,0.010272857951132641,0.7,0.5433022244813152,
10,True,10,acc,LLM_synthetic>noise_aug,0.617579856035402,-0.0022058823529411686,0.0,0.4,-0.09537725071677579,1.0
10,True,10,acc,LLM_synthetic>rule,0.7897443360432481,-0.0019607843137254945,0.0,0.3,-0.17031627515521533,1.0
10,True,10,acc,LLM_synthetic>random_open_loop,0.6933927664632105,-0.0017156862745098035,0.002450980392156854,0.5,-0.12116068544584035,1.0
10,True,10,acc,LLM_synthetic>real_only,0.045940407624806424,0.0039215686274509665,0.004901960784313708,0.65,0.3044387078130462,
10,True,10,macro_f1,LLM_synthetic>noise_aug,0.624502516420677,-0.001473028615502675,-0.00040989986850081817,0.45,-0.05919276132587919,1.0
10,True,10,macro_f1,LLM_synthetic>rule,0.8049401574570718,-0.002298108839574692,-0.00046600214316533384,0.3,-0.1806081972605918,1.0
10,True,10,macro_f1,LLM_synthetic>random_open_loop,0.6928661634078135,-0.002160429315826229,0.0013058520048613298,0.55,-0.1359601957334942,1.0
10,True,10,macro_f1,LLM_synthetic>real_only,0.041271276197041316,0.004439794017467863,0.005058070786521873,0.7,0.31312281343650794,
20,False,2,acc,LLM_synthetic>noise_aug,0.007979601742617692,0.06200980392156861,0.02941176470588236,0.75,0.5885128262416234,0.023938805227853077
20,False,2,acc,LLM_synthetic>rule,0.9892750286765466,-0.015441176470588236,-0.009803921568627472,0.25,-0.5342376677861275,1.0
20,False,2,acc,LLM_synthetic>random_open_loop,0.9892522377842011,-0.017647058823529415,-0.007352941176470618,0.2,-0.591920559494954,1.0
