baseline,n_real,seed,n_syn,acc,macro_f1,f1_healthy,f1_OR,f1_IR,confusion
real_only,10,0,0,0.5437,0.4602,0.8063,0.5690,0.0052,"[[283,0,17],[59,239,3],[60,300,1]]"
real_only,10,1,0,0.7443,0.7192,0.8333,0.5634,0.7609,"[[300,0,0],[60,120,121],[60,5,296]]"
real_only,10,2,0,0.7225,0.6955,0.8610,0.5036,0.7218,"[[288,12,0],[23,106,172],[58,2,301]]"
real_only,10,3,0,0.7048,0.6854,0.8333,0.5314,0.6915,"[[300,0,0],[60,127,114],[60,50,251]]"
real_only,10,4,0,0.7453,0.7187,0.8333,0.5585,0.7643,"[[300,0,0],[60,117,124],[60,1,300]]"
real_only,10,5,0,0.5593,0.4716,0.8322,0.5718,0.0108,"[[295,0,5],[56,241,4],[58,301,2]]"
real_only,10,6,0,0.4595,0.4199,0.8329,0.3508,0.0762,"[[299,0,1],[59,124,118],[60,282,19]]"
real_only,10,7,0,0.6798,0.6612,0.7942,0.4939,0.6955,"[[276,24,0],[59,121,121],[60,44,257]]"
real_only,25,0,0,0.7630,0.7523,0.8767,0.6309,0.7494,"[[288,12,0],[20,153,128],[49,19,293]]"
real_only,25,1,0,0.7484,0.7232,0.8345,0.5687,0.7663,"[[300,0,0],[59,120,122],[60,1,300]]"
real_only,25,2,0,0.6861,0.6658,0.8345,0.5000,0.6630,"[[300,0,0],[59,121,121],[60,62,239]]"
real_only,25,3,0,0.7058,0.6836,0.8333,0.5184,0.6991,"[[300,0,0],[60,120,121],[60,42,259]]"
real_only,25,4,0,0.6975,0.6759,0.8333,0.5096,0.6849,"[[300,0,0],[60,120,121],[60,50,251]]"
real_only,25,5,0,0.7952,0.7925,0.9303,0.6831,0.7641,"[[287,13,0],[0,180,121],[30,33,298]]"
real_only,25,6,0,0.7526,0.7312,0.8876,0.5674,0.7386,"[[296,2,2],[18,120,163],[53,0,308]]"
real_only,25,7,0,0.7484,0.7231,0.8317,0.5687,0.7688,"[[299,1,0],[60,120,121],[60,0,301]]"
real_only,50,0,0,0.7692,0.7590,0.9662,0.5804,0.7306,"[[300,0,0],[0,139,162],[21,39,301]]"
real_only,50,1,0,0.7952,0.7754,0.9950,0.5492,0.7820,"[[297,3,0],[0,120,181],[0,13,348]]"
real_only,50,2,0,0.7807,0.7614,0.9740,0.5517,0.7583,"[[300,0,0],[0,120,181],[16,14,331]]"
real_only,50,3,0,0.7505,0.7252,0.8399,0.5687,0.7671,"[[299,1,0],[55,120,126],[58,0,303]]"
real_only,50,4,0,0.7973,0.7926,0.9756,0.6457,0.7566,"[[300,0,0],[0,164,137],[15,43,303]]"
real_only,50,5,0,0.8025,0.7816,0.9967,0.5607,0.7875,"[[300,0,0],[0,120,181],[2,7,352]]"
real_only,50,6,0,0.8067,0.8015,0.9202,0.7143,0.7698,"[[300,0,0],[6,175,120],[46,14,301]]"
real_only,50,7,0,0.8025,0.7976,0.9317,0.6986,0.7625,"[[300,0,0],[5,175,121],[39,25,297]]"
phaseA_random_v2,10,0,0,0.5437,0.4602,0.8063,0.5690,0.0052,"[[283,0,17],[59,239,3],[60,300,1]]"
phaseA_random_v2,10,1,0,0.7443,0.7192,0.8333,0.5634,0.7609,"[[300,0,0],[60,120,121],[60,5,296]]"
phaseA_random_v2,10,2,0,0.7225,0.6955,0.8610,0.5036,0.7218,"[[288,12,0],[23,106,172],[58,2,301]]"
phaseA_random_v2,10,3,0,0.7048,0.6854,0.8333,0.5314,0.6915,"[[300,0,0],[60,127,114],[60,50,251]]"
phaseA_random_v2,10,4,0,0.7453,0.7187,0.8333,0.5585,0.7643,"[[300,0,0],[60,117,124],[60,1,300]]"
phaseA_random_v2,10,5,0,0.5593,0.4716,0.8322,0.5718,0.0108,"[[295,0,5],[56,241,4],[58,301,2]]"
phaseA_random_v2,10,6,0,0.4595,0.4199,0.8329,0.3508,0.0762,"[[299,0,1],[59,124,118],[60,282,19]]"
phaseA_random_v2,10,7,0,0.6798,0.6612,0.7942,0.4939,0.6955,"[[276,24,0],[59,121,121],[60,44,257]]"
phaseA_random_v2,25,0,0,0.7630,0.7523,0.8767,0.6309,0.7494,"[[288,12,0],[20,153,128],[49,19,293]]"
phaseA_random_v2,25,1,0,0.7484,0.7232,0.8345,0.5687,0.7663,"[[300,0,0],[59,120,122],[60,1,300]]"
phaseA_random_v2,25,2,0,0.6861,0.6658,0.8345,0.5000,0.6630,"[[300,0,0],[59,121,121],[60,62,239]]"
phaseA_random_v2,25,3,0,0.7058,0.6836,0.8333,0.5184,0.6991,"[[300,0,0],[60,120,121],[60,42,259]]"
phaseA_random_v2,25,4,0,0.6975,0.6759,0.8333,0.5096,0.6849,"[[300,0,0],[60,120,121],[60,50,251]]"
phaseA_random_v2,25,5,0,0.7952,0.7925,0.9303,0.6831,0.7641,"[[287,13,0],[0,180,121],[30,33,298]]"
phaseA_random_v2,25,6,0,0.7526,0.7312,0.8876,0.5674,0.7386,"[[296,2,2],[18,120,163],[53,0,308]]"
phaseA_random_v2,25,7,0,0.7484,0.7231,0.8317,0.5687,0.7688,"[[299,1,0],[60,120,121],[60,0,301]]"
phaseA_random_v2,50,0,0,0.7692,0.7590,0.9662,0.5804,0.7306,"[[300,0,0],[0,139,162],[21,39,301]]"
phaseA_random_v2,50,1,0,0.7952,0.7754,0.9950,0.5492,0.7820,"[[297,3,0],[0,120,181],[0,13,348]]"
phaseA_random_v2,50,2,0,0.7807,0.7614,0.9740,0.5517,0.7583,"[[300,0,0],[0,120,181],[16,14,331]]"
phaseA_random_v2,50,3,0,0.7505,0.7252,0.8399,0.5687,0.7671,"[[299,1,0],[55,120,126],[58,0,303]]"
phaseA_random_v2,50,4,0,0.7973,0.7926,0.9756,0.6457,0.7566,"[[300,0,0],[0,164,137],[15,43,303]]"
phaseA_random_v2,50,5,0,0.8025,0.7816,0.9967,0.5607,0.7875,"[[300,0,0],[0,120,181],[2,7,352]]"
phaseA_random_v2,50,6,0,0.8067,0.8015,0.9202,0.7143,0.7698,"[[300,0,0],[6,175,120],[46,14,301]]"
phaseA_random_v2,50,7,0,0.8025,0.7976,0.9317,0.6986,0.7625,"[[300,0,0],[5,175,121],[39,25,297]]"
phaseA_rule_v2,10,0,469,0.6559,0.6564,0.9740,0.4293,0.5660,"[[300,0,0],[12,123,166],[4,149,208]]"
phaseA_rule_v2,10,1,469,0.7422,0.7379,0.8255,0.6543,0.7339,"[[265,1,34],[49,176,76],[28,60,273]]"
phaseA_rule_v2,10,2,469,0.8337,0.8359,0.9787,0.7848,0.7442,"[[299,1,0],[5,279,17],[7,130,224]]"
phaseA_rule_v2,10,3,469,0.7370,0.7153,0.8427,0.5625,0.7408,"[[300,0,0],[55,126,120],[57,21,283]]"
phaseA_rule_v2,10,4,469,0.6965,0.7046,0.9431,0.5864,0.5842,"[[282,0,18],[3,185,113],[13,145,203]]"
phaseA_rule_v2,10,5,469,0.6486,0.6458,0.8960,0.6172,0.4241,"[[267,0,33],[23,241,37],[6,239,116]]"
phaseA_rule_v2,10,6,469,0.7412,0.7481,0.9542,0.6789,0.6112,"[[281,2,17],[4,241,56],[4,166,191]]"
phaseA_rule_v2,10,7,469,0.7027,0.7137,0.9485,0.5832,0.6094,"[[276,23,1],[4,198,99],[2,157,202]]"
phaseA_rule_v2,25,0,469,0.7869,0.7866,0.9556,0.6503,0.7540,"[[280,0,20],[6,172,123],[0,56,305]]"
phaseA_rule_v2,25,1,469,0.7869,0.7896,0.9848,0.6488,0.7351,"[[292,0,8],[1,182,118],[0,78,283]]"
phaseA_rule_v2,25,2,469,0.7994,0.8045,0.9851,0.7112,0.7171,"[[298,1,1],[5,234,62],[2,122,237]]"
phaseA_rule_v2,25,3,469,0.7412,0.7282,0.9804,0.5000,0.7043,"[[300,0,0],[3,120,178],[9,59,293]]"
phaseA_rule_v2,25,4,469,0.7744,0.7726,0.9169,0.6850,0.7157,"[[298,0,2],[20,199,82],[32,81,248]]"
phaseA_rule_v2,25,5,469,0.7869,0.7752,0.9865,0.5739,0.7653,"[[292,2,6],[0,134,167],[0,30,331]]"
phaseA_rule_v2,25,6,469,0.7578,0.7355,0.9077,0.5483,0.7506,"[[300,0,0],[29,122,150],[32,22,307]]"
phaseA_rule_v2,25,7,469,0.8430,0.8469,0.9884,0.7651,0.7873,"[[298,0,2],[4,241,56],[1,88,272]]"
phaseA_rule_v2,50,0,469,0.8638,0.8661,0.9950,0.7810,0.8224,"[[300,0,0],[1,230,70],[2,58,301]]"
phaseA_rule_v2,50,1,469,0.8524,0.8560,0.9917,0.7785,0.7977,"[[300,0,0],[3,246,52],[2,85,274]]"
phaseA_rule_v2,50,2,469,0.8680,0.8703,0.9884,0.7921,0.8303,"[[299,0,1],[6,240,55],[0,65,296]]"
phaseA_rule_v2,50,3,469,0.8503,0.8536,0.9885,0.7977,0.7746,"[[300,0,0],[2,274,25],[5,112,244]]"
phaseA_rule_v2,50,4,469,0.8617,0.8649,0.9934,0.7875,0.8140,"[[299,0,1],[0,239,62],[3,67,291]]"
