baseline,n_real,metric,n,mean,std,median,n_syn_values
real_only,10,acc,8,0.6449,0.10871342406266381,0.6922999999999999,0
real_only,10,macro_f1,8,0.6039625,0.12917218782362888,0.6733,0
real_only,25,acc,8,0.737125,0.037207708494726884,0.7484,0
real_only,25,macro_f1,8,0.7184499999999999,0.04248196255891603,0.72315,0
real_only,50,acc,8,0.7880750000000001,0.01971748680015499,0.79625,0
real_only,50,macro_f1,8,0.7742875,0.02530790037574377,0.7785,0
phaseA_random_v2,10,acc,8,0.6449,0.10871342406266381,0.6922999999999999,0
phaseA_random_v2,10,macro_f1,8,0.6039625,0.12917218782362888,0.6733,0
phaseA_random_v2,25,acc,8,0.737125,0.037207708494726884,0.7484,0
phaseA_random_v2,25,macro_f1,8,0.7184499999999999,0.04248196255891603,0.72315,0
phaseA_random_v2,50,acc,8,0.7880750000000001,0.01971748680015499,0.79625,0
phaseA_random_v2,50,macro_f1,8,0.7742875,0.02530790037574377,0.7785,0
phaseA_rule_v2,10,acc,8,0.719725,0.058817726919696584,0.71985,469
phaseA_rule_v2,10,macro_f1,8,0.7197125,0.05902990616144134,0.7145,469
phaseA_rule_v2,25,acc,8,0.7845625,0.030121892252266334,0.7869,469
phaseA_rule_v2,25,macro_f1,8,0.7798875000000001,0.03770708298374268,0.7808999999999999,469
phaseA_rule_v2,50,acc,8,0.8518625,0.015629819256792445,0.8570500000000001,469
phaseA_rule_v2,50,macro_f1,8,0.8536625,0.017638993937944897,0.8604499999999999,469
phaseA_llm_k3_v2,10,acc,8,0.78795,0.031185069687729928,0.7843,592
phaseA_llm_k3_v2,10,macro_f1,8,0.7906375,0.02893410925830325,0.78755,592
phaseA_llm_k3_v2,25,acc,8,0.8082125,0.032419193499266086,0.8181,592
phaseA_llm_k3_v2,25,macro_f1,8,0.8078875,0.035433899728931885,0.8148,592
phaseA_llm_k3_v2,50,acc,8,0.8456125,0.017443904993681092,0.8508,592
phaseA_llm_k3_v2,50,macro_f1,8,0.848375,0.017784403279278195,0.85285,592
