baseline,n_real,seed,n_syn,acc,macro_f1,f1_healthy,f1_OR,f1_IR,confusion
real_only,5,0,0,0.7412,0.7163,0.8333,0.5594,0.7561,"[[300,0,0],[60,120,121],[60,8,293]]"
real_only,5,1,0,0.7412,0.7177,0.8333,0.5655,0.7542,"[[300,0,0],[60,123,118],[60,11,290]]"
real_only,10,0,0,0.5437,0.4602,0.8063,0.5690,0.0052,"[[283,0,17],[59,239,3],[60,300,1]]"
real_only,10,1,0,0.7443,0.7192,0.8333,0.5634,0.7609,"[[300,0,0],[60,120,121],[60,5,296]]"
phaseA_v2_random_open_loop,5,0,450,0.4647,0.4684,0.4805,0.4497,0.4751,"[[105,175,20],[24,199,78],[8,210,143]]"
phaseA_v2_random_open_loop,5,1,450,0.4626,0.4667,0.4569,0.4268,0.5165,"[[90,206,4],[4,191,106],[0,197,164]]"
phaseA_v2_random_open_loop,10,0,450,0.4730,0.4706,0.5115,0.4890,0.4112,"[[122,152,26],[40,223,38],[15,236,110]]"
phaseA_v2_random_open_loop,10,1,450,0.4990,0.5054,0.5097,0.4084,0.5980,"[[105,194,1],[7,166,128],[0,152,209]]"
phaseA_v2_rule,5,0,450,0.6871,0.6773,0.8333,0.6107,0.5880,"[[300,0,0],[60,189,52],[60,129,172]]"
phaseA_v2_rule,5,1,450,0.7536,0.7466,0.8329,0.6741,0.7327,"[[299,0,1],[59,182,60],[60,57,244]]"
phaseA_v2_rule,10,0,450,0.6975,0.7072,0.8839,0.6449,0.5929,"[[255,0,45],[4,207,90],[18,134,209]]"
phaseA_v2_rule,10,1,450,0.7744,0.7729,0.9164,0.6691,0.7332,"[[285,8,7],[6,181,114],[31,51,279]]"
phaseA_v2_llm_k3,5,0,450,0.7017,0.7056,0.9223,0.5930,0.6016,"[[285,14,1],[16,196,89],[17,150,194]]"
phaseA_v2_llm_k3,5,1,450,0.7942,0.7985,0.9882,0.6678,0.7394,"[[294,6,0],[1,199,101],[0,90,271]]"
phaseA_v2_llm_k3,10,0,450,0.7401,0.7511,0.9383,0.6374,0.6776,"[[266,32,2],[1,218,82],[0,133,228]]"
phaseA_v2_llm_k3,10,1,450,0.8035,0.8048,0.9882,0.6631,0.7630,"[[294,6,0],[1,186,114],[0,68,293]]"
