baseline,n_real,seed,n_syn,acc,macro_f1,f1_healthy,f1_OR,f1_IR,confusion
real_only,5,0,0,0.7412,0.7163,0.8333,0.5594,0.7561,"[[300,0,0],[60,120,121],[60,8,293]]"
real_only,5,1,0,0.7412,0.7177,0.8333,0.5655,0.7542,"[[300,0,0],[60,123,118],[60,11,290]]"
real_only,5,2,0,0.5353,0.4546,0.8317,0.5270,0.0051,"[[299,0,1],[60,215,26],[60,300,1]]"
real_only,5,3,0,0.6611,0.6139,0.8017,0.3416,0.6984,"[[281,19,0],[60,69,172],[60,15,286]]"
real_only,5,4,0,0.7162,0.6932,0.8333,0.5298,0.7164,"[[300,0,0],[60,120,121],[60,32,269]]"
real_only,5,5,0,0.6289,0.6205,0.7287,0.4669,0.6659,"[[180,39,81],[12,120,169],[2,54,305]]"
real_only,5,6,0,0.5166,0.4970,0.8136,0.4018,0.2755,"[[288,0,12],[60,132,109],[60,224,77]]"
real_only,5,7,0,0.7495,0.7241,0.8333,0.5701,0.7688,"[[300,0,0],[60,120,121],[60,0,301]]"
real_only,5,8,0,0.7079,0.6855,0.8333,0.5206,0.7026,"[[300,0,0],[60,120,121],[60,40,261]]"
real_only,5,9,0,0.6954,0.6740,0.8333,0.5074,0.6813,"[[300,0,0],[60,120,121],[60,52,249]]"
real_only,5,10,0,0.6299,0.6094,0.7784,0.4316,0.6182,"[[267,3,30],[59,101,141],[60,63,238]]"
real_only,5,11,0,0.7526,0.7286,0.8368,0.5802,0.7688,"[[300,0,0],[57,123,121],[60,0,301]]"
real_only,5,12,0,0.6299,0.6173,0.6136,0.5687,0.6696,"[[185,0,115],[59,120,122],[59,1,301]]"
real_only,5,13,0,0.6279,0.6154,0.6149,0.5647,0.6667,"[[186,0,114],[60,120,121],[59,4,298]]"
real_only,5,14,0,0.5509,0.5649,0.7474,0.4225,0.5247,"[[182,18,100],[1,120,180],[4,129,228]]"
real_only,5,15,0,0.7474,0.7221,0.8333,0.5674,0.7657,"[[300,0,0],[60,120,121],[60,2,299]]"
real_only,5,16,0,0.6757,0.6787,0.7474,0.5357,0.7529,"[[179,121,0],[0,180,121],[0,70,291]]"
real_only,5,17,0,0.5312,0.5316,0.6839,0.4356,0.4754,"[[212,0,88],[56,120,125],[52,130,179]]"
real_only,5,18,0,0.5613,0.5123,0.8333,0.5262,0.1773,"[[300,0,0],[60,201,40],[60,262,39]]"
real_only,5,19,0,0.7495,0.7241,0.8333,0.5701,0.7688,"[[300,0,0],[60,120,121],[60,0,301]]"
real_only,10,0,0,0.5437,0.4602,0.8063,0.5690,0.0052,"[[283,0,17],[59,239,3],[60,300,1]]"
real_only,10,1,0,0.7443,0.7192,0.8333,0.5634,0.7609,"[[300,0,0],[60,120,121],[60,5,296]]"
real_only,10,2,0,0.7225,0.6955,0.8610,0.5036,0.7218,"[[288,12,0],[23,106,172],[58,2,301]]"
real_only,10,3,0,0.7048,0.6854,0.8333,0.5314,0.6915,"[[300,0,0],[60,127,114],[60,50,251]]"
real_only,10,4,0,0.7453,0.7187,0.8333,0.5585,0.7643,"[[300,0,0],[60,117,124],[60,1,300]]"
real_only,10,5,0,0.5593,0.4716,0.8322,0.5718,0.0108,"[[295,0,5],[56,241,4],[58,301,2]]"
real_only,10,6,0,0.4595,0.4199,0.8329,0.3508,0.0762,"[[299,0,1],[59,124,118],[60,282,19]]"
real_only,10,7,0,0.6798,0.6612,0.7942,0.4939,0.6955,"[[276,24,0],[59,121,121],[60,44,257]]"
real_only,10,8,0,0.7391,0.7144,0.8333,0.5568,0.7529,"[[300,0,0],[60,120,121],[60,10,291]]"
real_only,10,9,0,0.7495,0.7241,0.8333,0.5701,0.7688,"[[300,0,0],[60,120,121],[60,0,301]]"
real_only,10,10,0,0.7453,0.7202,0.8333,0.5647,0.7625,"[[300,0,0],[60,120,121],[60,4,297]]"
real_only,10,11,0,0.6996,0.6778,0.8333,0.5117,0.6884,"[[300,0,0],[60,120,121],[60,48,253]]"
real_only,10,12,0,0.7318,0.7076,0.8333,0.5479,0.7415,"[[300,0,0],[60,120,121],[60,17,284]]"
real_only,10,13,0,0.7484,0.7231,0.8333,0.5687,0.7673,"[[300,0,0],[60,120,121],[60,1,300]]"
real_only,10,14,0,0.6247,0.5951,0.8333,0.3636,0.5882,"[[300,0,0],[60,86,155],[60,86,215]]"
real_only,10,15,0,0.7453,0.7202,0.8333,0.5647,0.7625,"[[300,0,0],[60,120,121],[60,4,297]]"
real_only,10,16,0,0.5696,0.4881,0.8333,0.5725,0.0585,"[[300,0,0],[60,237,4],[60,290,11]]"
real_only,10,17,0,0.5728,0.5677,0.6571,0.4839,0.5622,"[[205,0,95],[59,120,122],[60,75,226]]"
real_only,10,18,0,0.5925,0.5765,0.8333,0.4628,0.4334,"[[300,0,0],[60,143,98],[60,174,127]]"
real_only,10,19,0,0.5925,0.5766,0.8285,0.4218,0.4796,"[[297,0,3],[60,120,121],[60,148,153]]"
real_only,25,0,0,0.7630,0.7523,0.8767,0.6309,0.7494,"[[288,12,0],[20,153,128],[49,19,293]]"
real_only,25,1,0,0.7484,0.7232,0.8345,0.5687,0.7663,"[[300,0,0],[59,120,122],[60,1,300]]"
real_only,25,2,0,0.6861,0.6658,0.8345,0.5000,0.6630,"[[300,0,0],[59,121,121],[60,62,239]]"
real_only,25,3,0,0.7058,0.6836,0.8333,0.5184,0.6991,"[[300,0,0],[60,120,121],[60,42,259]]"
real_only,25,4,0,0.6975,0.6759,0.8333,0.5096,0.6849,"[[300,0,0],[60,120,121],[60,50,251]]"
real_only,25,5,0,0.7952,0.7925,0.9303,0.6831,0.7641,"[[287,13,0],[0,180,121],[30,33,298]]"
real_only,25,6,0,0.7526,0.7312,0.8876,0.5674,0.7386,"[[296,2,2],[18,120,163],[53,0,308]]"
real_only,25,7,0,0.7484,0.7231,0.8317,0.5687,0.7688,"[[299,1,0],[60,120,121],[60,0,301]]"
real_only,25,8,0,0.6112,0.5797,0.8333,0.5710,0.3347,"[[300,0,0],[60,209,32],[60,222,79]]"
real_only,25,9,0,0.7484,0.7252,0.8392,0.5754,0.7609,"[[300,0,0],[56,124,121],[59,6,296]]"
real_only,25,10,0,0.7318,0.7316,0.8819,0.5845,0.7282,"[[254,46,0],[0,166,135],[22,55,284]]"
real_only,25,11,0,0.7401,0.7183,0.8378,0.5676,0.7497,"[[297,3,0],[54,126,121],[58,14,289]]"
real_only,25,12,0,0.7380,0.7139,0.8345,0.5576,0.7497,"[[300,0,0],[59,121,121],[60,12,289]]"
real_only,25,13,0,0.7505,0.7261,0.8340,0.5755,0.7688,"[[299,1,0],[58,122,121],[60,0,301]]"
real_only,25,14,0,0.7495,0.7246,0.8345,0.5721,0.7673,"[[300,0,0],[59,121,121],[60,1,300]]"
real_only,25,15,0,0.7037,0.6878,0.7662,0.5411,0.7561,"[[249,51,0],[45,135,121],[56,12,293]]"
real_only,25,16,0,0.7495,0.7254,0.8366,0.5708,0.7688,"[[297,3,0],[57,123,121],[56,4,301]]"
real_only,25,17,0,0.7048,0.6643,0.8324,0.4372,0.7235,"[[298,2,0],[58,87,156],[60,8,293]]"
real_only,25,18,0,0.8046,0.8016,0.9436,0.6923,0.7688,"[[293,7,0],[0,180,121],[28,32,301]]"
real_only,25,19,0,0.7495,0.7241,0.8333,0.5701,0.7688,"[[300,0,0],[60,120,121],[60,0,301]]"
real_only,50,0,0,0.7692,0.7590,0.9662,0.5804,0.7306,"[[300,0,0],[0,139,162],[21,39,301]]"
real_only,50,1,0,0.7952,0.7754,0.9950,0.5492,0.7820,"[[297,3,0],[0,120,181],[0,13,348]]"
real_only,50,2,0,0.7807,0.7614,0.9740,0.5517,0.7583,"[[300,0,0],[0,120,181],[16,14,331]]"
real_only,50,3,0,0.7505,0.7252,0.8399,0.5687,0.7671,"[[299,1,0],[55,120,126],[58,0,303]]"
real_only,50,4,0,0.7973,0.7926,0.9756,0.6457,0.7566,"[[300,0,0],[0,164,137],[15,43,303]]"
real_only,50,5,0,0.8025,0.7816,0.9967,0.5607,0.7875,"[[300,0,0],[0,120,181],[2,7,352]]"
real_only,50,6,0,0.8067,0.8015,0.9202,0.7143,0.7698,"[[300,0,0],[6,175,120],[46,14,301]]"
real_only,50,7,0,0.8025,0.7976,0.9317,0.6986,0.7625,"[[300,0,0],[5,175,121],[39,25,297]]"
real_only,50,8,0,0.7775,0.7583,0.9600,0.5615,0.7535,"[[300,0,0],[0,121,180],[25,9,327]]"
