n_real,class_metric,llm_mean,rule_mean,random_open_loop_mean,real_only_mean,llm_minus_rule,llm_minus_random_open_loop,llm_minus_real_only
5,f1_healthy,0.9690350000000001,0.8420200000000001,0.37726999999999994,0.78489,0.12701500000000002,0.591765,0.184145
5,f1_OR,0.63093,0.596425,0.447105,0.5096399999999999,0.03450500000000001,0.18382500000000002,0.12128999999999998
5,f1_IR,0.7265299999999999,0.633215,0.48305,0.6106200000000002,0.09331500000000001,0.24348,0.11590999999999999
10,f1_healthy,0.9808549999999998,0.9092350000000001,0.5315899999999999,0.8222549999999998,0.07161999999999999,0.449265,0.1586
10,f1_OR,0.680175,0.63915,0.38539,0.5165799999999999,0.04102499999999999,0.294785,0.163595
10,f1_IR,0.7375200000000001,0.62376,0.546325,0.5546,0.11376000000000001,0.191195,0.18291999999999997
25,f1_healthy,0.9866000000000001,0.963875,0.6145249999999999,0.84846,0.022725000000000013,0.37207500000000004,0.13814
25,f1_OR,0.71254,0.65828,0.36249,0.5681,0.054259999999999996,0.35005000000000003,0.14444
25,f1_IR,0.764405,0.688345,0.6031299999999999,0.723975,0.07606,0.161275,0.04042999999999998
50,f1_healthy,0.9915500000000002,0.98519,0.7630149999999999,0.9532550000000001,0.006359999999999993,0.228535,0.03829500000000001
50,f1_OR,0.784565,0.71779,0.45908499999999997,0.6125200000000002,0.066775,0.32547999999999994,0.172045
50,f1_IR,0.7978349999999998,0.746085,0.6436849999999998,0.75919,0.051750000000000004,0.15414999999999995,0.038645
