family_id,metric,n_real,comparison,test_type,alternative,n_pairs,mean_llm,mean_other,mean_delta,median_delta,wins,ties,losses,wilcoxon_stat,p_value,holm_q_in_family,bh_q_global
n5_acc_superiority,acc,5,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,pre_registered_superiority,greater,20,0.7766550000000001,0.4502050000000001,0.32645,0.32015,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n5_acc_superiority,acc,5,phaseA_v2_llm_k3>phaseA_v2_rule,pre_registered_superiority,greater,20,0.7766550000000001,0.6961,0.08055499999999999,0.08574999999999999,19,0,1,208.0,6.004678582070794e-05,6.004678582070794e-05,6.012891031935231e-05
n5_macro_f1_superiority,macro_f1,5,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,pre_registered_superiority,greater,20,0.7755050000000001,0.43580499999999994,0.3397,0.3184,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n5_macro_f1_superiority,macro_f1,5,phaseA_v2_llm_k3>phaseA_v2_rule,pre_registered_superiority,greater,20,0.7755050000000001,0.69055,0.08495499999999997,0.09129999999999999,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n10_acc_superiority,acc,10,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,pre_registered_superiority,greater,20,0.79605,0.4834749999999999,0.312575,0.31494999999999995,20,0,0,210.0,4.422457510605951e-05,4.422457510605951e-05,5.4430246284380936e-05
n10_acc_superiority,acc,10,phaseA_v2_llm_k3>phaseA_v2_rule,pre_registered_superiority,greater,20,0.79605,0.7238,0.07225,0.07169999999999999,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n10_macro_f1_superiority,macro_f1,10,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,pre_registered_superiority,greater,20,0.79951,0.4877649999999999,0.311745,0.31125,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n10_macro_f1_superiority,macro_f1,10,phaseA_v2_llm_k3>phaseA_v2_rule,pre_registered_superiority,greater,20,0.79951,0.72404,0.07547,0.07844999999999996,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n25_acc_superiority,acc,25,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,pre_registered_superiority,greater,20,0.81798,0.52926,0.28872,0.28115,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n25_acc_superiority,acc,25,phaseA_v2_llm_k3>phaseA_v2_rule,pre_registered_superiority,greater,20,0.81798,0.7686050000000001,0.049375,0.05610000000000004,19,0,1,209.0,5.1529611707403054e-05,5.1529611707403054e-05,5.889098480846063e-05
n25_macro_f1_superiority,macro_f1,25,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,pre_registered_superiority,greater,20,0.82118,0.52671,0.29447,0.2921,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n25_macro_f1_superiority,macro_f1,25,phaseA_v2_llm_k3>phaseA_v2_rule,pre_registered_superiority,greater,20,0.82118,0.7701649999999999,0.051015,0.06065000000000004,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n50_acc_superiority,acc,50,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,pre_registered_superiority,greater,20,0.8548800000000002,0.6296849999999999,0.22519499999999998,0.22140000000000004,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n50_acc_superiority,acc,50,phaseA_v2_llm_k3>phaseA_v2_rule,pre_registered_superiority,greater,20,0.8548800000000002,0.8147449999999999,0.04013500000000001,0.03540000000000004,19,0,1,208.0,6.012891031935231e-05,6.012891031935231e-05,6.012891031935231e-05
n50_macro_f1_superiority,macro_f1,50,phaseA_v2_llm_k3>phaseA_v2_random_open_loop,pre_registered_superiority,greater,20,0.8579850000000002,0.6219349999999999,0.23605,0.2415,20,0,0,210.0,9.5367431640625e-07,1.9073486328125e-06,1.3871626420454546e-06
n50_macro_f1_superiority,macro_f1,50,phaseA_v2_llm_k3>phaseA_v2_rule,pre_registered_superiority,greater,20,0.8579850000000002,0.8163549999999999,0.04163000000000001,0.03634999999999999,19,0,1,209.0,1.9073486328125e-06,1.9073486328125e-06,2.5431315104166665e-06
n50_acc_aux,acc,50,phaseA_v2_llm_k3_vs_phaseA_v2_rule,n50_rule_two_sided_aux,two-sided,20,0.8548800000000002,0.8147449999999999,0.04013500000000001,0.03540000000000004,19,0,1,2.0,0.00012025782063870463,,
n50_acc_aux,acc,50,phaseA_v2_llm_k3>real_only,n50_real_only_superiority_aux,greater,20,0.8548800000000002,0.787425,0.06745500000000001,0.06445000000000001,19,0,1,209.0,5.1601391981735966e-05,,
n50_macro_f1_aux,macro_f1,50,phaseA_v2_llm_k3_vs_phaseA_v2_rule,n50_rule_two_sided_aux,two-sided,20,0.8579850000000002,0.8163549999999999,0.04163000000000001,0.03634999999999999,19,0,1,1.0,3.814697265625e-06,,
n50_macro_f1_aux,macro_f1,50,phaseA_v2_llm_k3>real_only,n50_real_only_superiority_aux,greater,20,0.8579850000000002,0.77499,0.08299500000000001,0.07685000000000003,19,0,1,209.0,1.9073486328125e-06,,
