source,class,slot,accepted_slot,n_candidates,n_feasible_expansions
random,IR,0,False,1,0
random,IR,1,False,1,0
random,IR,2,False,1,0
random,IR,3,False,1,0
random,IR,4,False,1,0
random,IR,5,False,1,0
random,IR,6,False,1,0
random,IR,7,False,1,0
random,IR,8,False,1,0
random,IR,9,False,1,0
random,IR,10,False,1,0
random,IR,11,False,1,0
random,IR,12,False,1,0
random,IR,13,False,1,0
random,IR,14,False,1,0
random,IR,15,False,1,0
random,IR,16,False,1,0
random,IR,17,False,1,0
random,IR,18,False,1,0
random,IR,19,False,1,0
random,IR,20,False,1,0
random,IR,21,False,1,0
random,IR,22,False,1,0
random,IR,23,False,1,0
random,IR,24,False,1,0
random,IR,25,False,1,0
random,IR,26,False,1,0
random,IR,27,False,1,0
random,IR,28,False,1,0
random,IR,29,False,1,0
random,IR,30,False,1,0
random,IR,31,False,1,0
random,IR,32,False,1,0
random,IR,33,False,1,0
random,IR,34,False,1,0
random,IR,35,False,1,0
random,IR,36,False,1,0
random,IR,37,False,1,0
random,IR,38,False,1,0
random,IR,39,False,1,0
random,IR,40,False,1,0
random,IR,41,False,1,0
random,IR,42,False,1,0
random,IR,43,False,1,0
random,IR,44,False,1,0
random,IR,45,False,1,0
random,IR,46,False,1,0
random,IR,47,False,1,0
random,IR,48,False,1,0
random,IR,49,False,1,0
random,IR,50,False,1,0
random,IR,51,False,1,0
random,IR,52,False,1,0
random,IR,53,False,1,0
random,IR,54,False,1,0
random,IR,55,False,1,0
random,IR,56,False,1,0
random,IR,57,False,1,0
random,IR,58,False,1,0
random,IR,59,False,1,0
random,IR,60,False,1,0
random,IR,61,False,1,0
random,IR,62,False,1,0
random,IR,63,False,1,0
random,IR,64,False,1,0
random,IR,65,False,1,0
random,IR,66,False,1,0
random,IR,67,False,1,0
random,IR,68,False,1,0
random,IR,69,False,1,0
random,IR,70,False,1,0
random,IR,71,False,1,0
random,IR,72,False,1,0
random,IR,73,False,1,0
random,IR,74,False,1,0
random,IR,75,False,1,0
random,IR,76,False,1,0
random,IR,77,False,1,0
random,IR,78,False,1,0
random,IR,79,False,1,0
random,IR,80,False,1,0
random,IR,81,False,1,0
random,IR,82,False,1,0
random,IR,83,False,1,0
random,IR,84,False,1,0
random,IR,85,False,1,0
random,IR,86,False,1,0
random,IR,87,False,1,0
random,IR,88,False,1,0
random,IR,89,False,1,0
random,IR,90,False,1,0
random,IR,91,False,1,0
random,IR,92,False,1,0
random,IR,93,False,1,0
random,IR,94,False,1,0
random,IR,95,False,1,0
random,IR,96,False,1,0
random,IR,97,False,1,0
random,IR,98,False,1,0
random,IR,99,False,1,0
random,IR,100,False,1,0
random,IR,101,False,1,0
random,IR,102,False,1,0
random,IR,103,False,1,0
random,IR,104,False,1,0
random,IR,105,False,1,0
random,IR,106,False,1,0
random,IR,107,False,1,0
random,IR,108,False,1,0
random,IR,109,False,1,0
random,IR,110,False,1,0
random,IR,111,False,1,0
random,IR,112,False,1,0
random,IR,113,False,1,0
random,IR,114,False,1,0
random,IR,115,False,1,0
random,IR,116,False,1,0
random,IR,117,False,1,0
random,IR,118,False,1,0
random,IR,119,False,1,0
random,IR,120,False,1,0
random,IR,121,False,1,0
random,IR,122,False,1,0
random,IR,123,False,1,0
random,IR,124,False,1,0
random,IR,125,False,1,0
random,IR,126,False,1,0
random,IR,127,False,1,0
random,IR,128,False,1,0
random,IR,129,False,1,0
random,IR,130,False,1,0
random,IR,131,False,1,0
random,IR,132,False,1,0
random,IR,133,False,1,0
random,IR,134,False,1,0
random,IR,135,False,1,0
random,IR,136,False,1,0
random,IR,137,False,1,0
random,IR,138,False,1,0
random,IR,139,False,1,0
random,IR,140,False,1,0
random,IR,141,False,1,0
random,IR,142,False,1,0
random,IR,143,False,1,0
random,IR,144,False,1,0
random,IR,145,False,1,0
random,IR,146,False,1,0
random,IR,147,False,1,0
random,IR,148,False,1,0
random,IR,149,False,1,0
random,OR,0,False,1,0
random,OR,1,False,1,0
random,OR,2,False,1,0
random,OR,3,False,1,0
random,OR,4,False,1,0
random,OR,5,False,1,0
random,OR,6,False,1,0
random,OR,7,False,1,0
random,OR,8,False,1,0
random,OR,9,False,1,0
random,OR,10,False,1,0
random,OR,11,False,1,0
random,OR,12,False,1,0
random,OR,13,False,1,0
random,OR,14,False,1,0
random,OR,15,False,1,0
random,OR,16,False,1,0
random,OR,17,False,1,0
random,OR,18,False,1,0
random,OR,19,False,1,0
random,OR,20,False,1,0
random,OR,21,False,1,0
random,OR,22,False,1,0
random,OR,23,False,1,0
random,OR,24,False,1,0
random,OR,25,False,1,0
random,OR,26,False,1,0
random,OR,27,False,1,0
random,OR,28,False,1,0
random,OR,29,False,1,0
random,OR,30,False,1,0
random,OR,31,False,1,0
random,OR,32,False,1,0
random,OR,33,False,1,0
random,OR,34,False,1,0
random,OR,35,False,1,0
random,OR,36,False,1,0
random,OR,37,False,1,0
random,OR,38,False,1,0
random,OR,39,False,1,0
random,OR,40,False,1,0
random,OR,41,False,1,0
random,OR,42,False,1,0
random,OR,43,False,1,0
random,OR,44,False,1,0
random,OR,45,False,1,0
random,OR,46,False,1,0
random,OR,47,False,1,0
random,OR,48,False,1,0
random,OR,49,False,1,0
random,OR,50,False,1,0
random,OR,51,False,1,0
random,OR,52,False,1,0
random,OR,53,False,1,0
random,OR,54,False,1,0
random,OR,55,False,1,0
random,OR,56,False,1,0
random,OR,57,False,1,0
random,OR,58,False,1,0
random,OR,59,False,1,0
random,OR,60,False,1,0
random,OR,61,False,1,0
random,OR,62,False,1,0
random,OR,63,False,1,0
random,OR,64,False,1,0
random,OR,65,False,1,0
random,OR,66,False,1,0
random,OR,67,False,1,0
random,OR,68,False,1,0
random,OR,69,False,1,0
random,OR,70,False,1,0
random,OR,71,False,1,0
random,OR,72,False,1,0
random,OR,73,False,1,0
random,OR,74,False,1,0
random,OR,75,False,1,0
random,OR,76,False,1,0
random,OR,77,False,1,0
random,OR,78,False,1,0
random,OR,79,False,1,0
random,OR,80,False,1,0
random,OR,81,False,1,0
random,OR,82,False,1,0
random,OR,83,False,1,0
random,OR,84,False,1,0
random,OR,85,False,1,0
random,OR,86,False,1,0
random,OR,87,False,1,0
random,OR,88,False,1,0
random,OR,89,False,1,0
random,OR,90,False,1,0
random,OR,91,False,1,0
random,OR,92,False,1,0
random,OR,93,False,1,0
random,OR,94,False,1,0
random,OR,95,False,1,0
random,OR,96,False,1,0
random,OR,97,False,1,0
random,OR,98,False,1,0
random,OR,99,False,1,0
random,OR,100,False,1,0
random,OR,101,False,1,0
random,OR,102,False,1,0
random,OR,103,False,1,0
random,OR,104,False,1,0
random,OR,105,False,1,0
random,OR,106,False,1,0
random,OR,107,False,1,0
random,OR,108,False,1,0
random,OR,109,False,1,0
random,OR,110,False,1,0
random,OR,111,False,1,0
random,OR,112,False,1,0
random,OR,113,False,1,0
random,OR,114,False,1,0
random,OR,115,False,1,0
random,OR,116,False,1,0
random,OR,117,False,1,0
random,OR,118,False,1,0
random,OR,119,False,1,0
random,OR,120,False,1,0
random,OR,121,False,1,0
random,OR,122,False,1,0
random,OR,123,False,1,0
random,OR,124,False,1,0
random,OR,125,False,1,0
random,OR,126,False,1,0
random,OR,127,False,1,0
random,OR,128,False,1,0
random,OR,129,False,1,0
random,OR,130,False,1,0
random,OR,131,False,1,0
random,OR,132,False,1,0
random,OR,133,False,1,0
random,OR,134,False,1,0
random,OR,135,False,1,0
random,OR,136,False,1,0
random,OR,137,False,1,0
random,OR,138,False,1,0
random,OR,139,False,1,0
random,OR,140,False,1,0
random,OR,141,False,1,0
random,OR,142,False,1,0
random,OR,143,False,1,0
random,OR,144,False,1,0
random,OR,145,False,1,0
random,OR,146,False,1,0
random,OR,147,False,1,0
random,OR,148,False,1,0
random,OR,149,False,1,0
random,healthy,0,False,1,0
random,healthy,1,False,1,0
random,healthy,2,False,1,0
random,healthy,3,False,1,0
random,healthy,4,False,1,0
random,healthy,5,False,1,0
random,healthy,6,False,1,0
random,healthy,7,False,1,0
random,healthy,8,False,1,0
random,healthy,9,False,1,0
random,healthy,10,False,1,0
random,healthy,11,False,1,0
random,healthy,12,False,1,0
random,healthy,13,False,1,0
random,healthy,14,False,1,0
random,healthy,15,False,1,0
random,healthy,16,False,1,0
random,healthy,17,False,1,0
random,healthy,18,False,1,0
random,healthy,19,False,1,0
random,healthy,20,False,1,0
random,healthy,21,False,1,0
random,healthy,22,False,1,0
random,healthy,23,False,1,0
random,healthy,24,False,1,0
random,healthy,25,False,1,0
random,healthy,26,False,1,0
random,healthy,27,False,1,0
random,healthy,28,False,1,0
random,healthy,29,False,1,0
random,healthy,30,False,1,0
random,healthy,31,False,1,0
random,healthy,32,False,1,0
random,healthy,33,False,1,0
random,healthy,34,False,1,0
random,healthy,35,False,1,0
random,healthy,36,False,1,0
random,healthy,37,False,1,0
random,healthy,38,False,1,0
random,healthy,39,False,1,0
random,healthy,40,False,1,0
random,healthy,41,False,1,0
random,healthy,42,False,1,0
random,healthy,43,False,1,0
random,healthy,44,False,1,0
random,healthy,45,False,1,0
random,healthy,46,False,1,0
random,healthy,47,False,1,0
random,healthy,48,False,1,0
random,healthy,49,False,1,0
random,healthy,50,False,1,0
random,healthy,51,False,1,0
random,healthy,52,False,1,0
random,healthy,53,False,1,0
random,healthy,54,False,1,0
random,healthy,55,False,1,0
random,healthy,56,False,1,0
random,healthy,57,False,1,0
random,healthy,58,False,1,0
random,healthy,59,False,1,0
random,healthy,60,False,1,0
random,healthy,61,False,1,0
random,healthy,62,False,1,0
random,healthy,63,False,1,0
random,healthy,64,False,1,0
random,healthy,65,False,1,0
random,healthy,66,False,1,0
random,healthy,67,False,1,0
random,healthy,68,False,1,0
random,healthy,69,False,1,0
random,healthy,70,False,1,0
random,healthy,71,False,1,0
random,healthy,72,False,1,0
random,healthy,73,False,1,0
random,healthy,74,False,1,0
random,healthy,75,False,1,0
random,healthy,76,False,1,0
random,healthy,77,False,1,0
random,healthy,78,False,1,0
random,healthy,79,False,1,0
random,healthy,80,False,1,0
random,healthy,81,False,1,0
random,healthy,82,False,1,0
random,healthy,83,False,1,0
random,healthy,84,False,1,0
random,healthy,85,False,1,0
random,healthy,86,False,1,0
random,healthy,87,False,1,0
random,healthy,88,False,1,0
random,healthy,89,False,1,0
random,healthy,90,False,1,0
random,healthy,91,False,1,0
random,healthy,92,False,1,0
random,healthy,93,False,1,0
random,healthy,94,False,1,0
random,healthy,95,False,1,0
random,healthy,96,False,1,0
random,healthy,97,False,1,0
random,healthy,98,False,1,0
random,healthy,99,False,1,0
random,healthy,100,False,1,0
random,healthy,101,False,1,0
random,healthy,102,False,1,0
random,healthy,103,False,1,0
random,healthy,104,False,1,0
random,healthy,105,False,1,0
random,healthy,106,False,1,0
random,healthy,107,False,1,0
random,healthy,108,False,1,0
random,healthy,109,False,1,0
random,healthy,110,False,1,0
random,healthy,111,False,1,0
random,healthy,112,False,1,0
random,healthy,113,False,1,0
random,healthy,114,False,1,0
random,healthy,115,False,1,0
random,healthy,116,False,1,0
random,healthy,117,False,1,0
random,healthy,118,False,1,0
random,healthy,119,False,1,0
random,healthy,120,False,1,0
random,healthy,121,False,1,0
random,healthy,122,False,1,0
random,healthy,123,False,1,0
random,healthy,124,False,1,0
random,healthy,125,False,1,0
random,healthy,126,False,1,0
random,healthy,127,False,1,0
random,healthy,128,False,1,0
random,healthy,129,False,1,0
random,healthy,130,False,1,0
random,healthy,131,False,1,0
random,healthy,132,False,1,0
random,healthy,133,False,1,0
random,healthy,134,False,1,0
random,healthy,135,False,1,0
random,healthy,136,False,1,0
random,healthy,137,False,1,0
random,healthy,138,False,1,0
random,healthy,139,False,1,0
random,healthy,140,False,1,0
random,healthy,141,False,1,0
random,healthy,142,False,1,0
random,healthy,143,False,1,0
random,healthy,144,False,1,0
random,healthy,145,False,1,0
random,healthy,146,False,1,0
random,healthy,147,False,1,0
random,healthy,148,False,1,0
random,healthy,149,False,1,0
