source,class,slot,accepted_slot,n_candidates,n_feasible_expansions
rule,IR,0,False,1,0
rule,IR,1,False,1,0
rule,IR,2,False,1,0
rule,IR,3,False,1,0
rule,IR,4,False,1,0
rule,IR,5,False,1,0
rule,IR,6,False,1,0
rule,IR,7,False,1,0
rule,IR,8,False,1,0
rule,IR,9,False,1,0
rule,IR,10,False,1,0
rule,IR,11,False,1,0
rule,IR,12,False,1,0
rule,IR,13,False,1,0
rule,IR,14,False,1,0
rule,IR,15,False,1,0
rule,IR,16,False,1,0
rule,IR,17,False,1,0
rule,IR,18,True,1,1
rule,IR,19,False,1,0
rule,IR,20,False,1,0
rule,IR,21,True,1,4
rule,IR,22,False,1,0
rule,IR,23,True,1,4
rule,IR,24,False,1,0
rule,IR,25,False,1,0
rule,IR,26,False,1,0
rule,IR,27,False,1,0
rule,IR,28,True,1,2
rule,IR,29,True,1,3
rule,IR,30,False,1,0
rule,IR,31,False,1,0
rule,IR,32,False,1,0
rule,IR,33,False,1,0
rule,IR,34,False,1,0
rule,IR,35,False,1,0
rule,IR,36,False,1,0
rule,IR,37,False,1,0
rule,IR,38,False,1,0
rule,IR,39,False,1,0
rule,IR,40,False,1,0
rule,IR,41,False,1,0
rule,IR,42,False,1,0
rule,IR,43,False,1,0
rule,IR,44,True,1,1
rule,IR,45,True,1,2
rule,IR,46,False,1,0
rule,IR,47,False,1,0
rule,IR,48,False,1,0
rule,IR,49,True,1,4
rule,IR,50,False,1,0
rule,IR,51,False,1,0
rule,IR,52,False,1,0
rule,IR,53,True,1,1
rule,IR,54,True,1,2
rule,IR,55,False,1,0
rule,IR,56,True,1,3
rule,IR,57,False,1,0
rule,IR,58,False,1,0
rule,IR,59,False,1,0
rule,IR,60,False,1,0
rule,IR,61,False,1,0
rule,IR,62,False,1,0
rule,IR,63,False,1,0
rule,IR,64,False,1,0
rule,IR,65,False,1,0
rule,IR,66,False,1,0
rule,IR,67,True,1,3
rule,IR,68,False,1,0
rule,IR,69,False,1,0
rule,IR,70,False,1,0
rule,IR,71,False,1,0
rule,IR,72,False,1,0
rule,IR,73,True,1,2
rule,IR,74,False,1,0
rule,IR,75,False,1,0
rule,IR,76,True,1,1
rule,IR,77,False,1,0
rule,IR,78,False,1,0
rule,IR,79,False,1,0
rule,IR,80,False,1,0
rule,IR,81,False,1,0
rule,IR,82,False,1,0
rule,IR,83,True,1,2
rule,IR,84,False,1,0
rule,IR,85,False,1,0
rule,IR,86,False,1,0
rule,IR,87,False,1,0
rule,IR,88,False,1,0
rule,IR,89,False,1,0
rule,IR,90,False,1,0
rule,IR,91,False,1,0
rule,IR,92,False,1,0
rule,IR,93,False,1,0
rule,IR,94,False,1,0
rule,IR,95,False,1,0
rule,IR,96,False,1,0
rule,IR,97,False,1,0
rule,IR,98,False,1,0
rule,IR,99,False,1,0
rule,IR,100,False,1,0
rule,IR,101,True,1,1
rule,IR,102,False,1,0
rule,IR,103,False,1,0
rule,IR,104,False,1,0
rule,IR,105,False,1,0
rule,IR,106,False,1,0
rule,IR,107,False,1,0
rule,IR,108,False,1,0
rule,IR,109,False,1,0
rule,IR,110,False,1,0
rule,IR,111,True,1,1
rule,IR,112,False,1,0
