class,slot,accepted_before_diversity,n_candidates,n_feasible_expansions
healthy,0,True,4,3
healthy,1,True,1,1
healthy,2,False,1,0
healthy,3,True,4,0
healthy,4,False,3,0
healthy,5,False,1,0
healthy,6,True,4,0
healthy,7,False,1,0
healthy,8,True,1,0
healthy,9,True,1,0
healthy,10,True,1,0
healthy,11,True,3,3
healthy,12,False,2,0
healthy,13,False,1,0
healthy,14,True,4,0
healthy,15,True,3,1
healthy,16,True,3,2
healthy,17,False,1,0
healthy,18,True,1,3
healthy,19,True,1,1
healthy,20,True,4,0
healthy,21,False,1,0
healthy,22,True,1,2
healthy,23,False,2,0
healthy,24,False,1,0
healthy,25,False,1,0
healthy,26,False,1,0
healthy,27,True,1,2
healthy,28,True,1,3
healthy,29,False,1,0
healthy,30,True,2,1
healthy,31,True,1,2
healthy,32,True,1,2
healthy,33,False,4,0
healthy,34,False,2,0
healthy,35,True,1,1
healthy,36,True,4,1
healthy,37,False,4,0
healthy,38,False,1,0
healthy,39,False,1,0
healthy,40,True,1,2
healthy,41,True,4,0
healthy,42,True,1,2
healthy,43,True,4,2
healthy,44,False,1,0
healthy,45,True,2,2
healthy,46,True,1,1
healthy,47,True,1,4
healthy,48,False,1,0
healthy,49,False,3,0
healthy,50,True,2,2
healthy,51,False,4,0
healthy,52,False,1,0
healthy,53,True,2,1
healthy,54,False,1,0
healthy,55,False,2,0
healthy,56,True,4,0
healthy,57,True,4,0
healthy,58,True,1,0
healthy,59,True,4,0
healthy,60,False,1,0
healthy,61,False,1,0
healthy,62,True,3,0
healthy,63,False,1,0
healthy,64,True,3,2
healthy,65,False,1,0
healthy,66,True,4,0
healthy,67,False,1,0
healthy,68,True,4,0
healthy,69,True,1,3
healthy,70,True,1,3
healthy,71,False,4,0
healthy,72,True,3,0
healthy,73,True,1,0
healthy,74,False,1,0
healthy,75,True,4,0
healthy,76,False,1,0
healthy,77,False,1,0
healthy,78,True,4,1
healthy,79,True,4,0
healthy,80,False,1,0
healthy,81,True,1,2
healthy,82,False,1,0
healthy,83,True,4,0
healthy,84,False,1,0
healthy,85,True,4,0
healthy,86,True,2,1
healthy,87,True,3,2
healthy,88,False,1,0
healthy,89,True,2,0
healthy,90,True,2,3
healthy,91,True,4,0
healthy,92,True,2,2
healthy,93,True,1,1
healthy,94,True,1,3
healthy,95,False,1,0
healthy,96,True,4,0
healthy,97,True,1,3
healthy,98,True,1,2
healthy,99,False,2,0
healthy,100,True,4,0
healthy,101,True,4,0
healthy,102,True,2,1
healthy,103,True,1,1
healthy,104,False,1,0
healthy,105,True,1,1
healthy,106,True,2,2
healthy,107,False,1,0
healthy,108,True,4,1
healthy,109,True,1,0
healthy,110,True,1,4
healthy,111,True,1,1
healthy,112,True,1,1
healthy,113,True,4,0
healthy,114,False,1,0
healthy,115,True,1,4
healthy,116,True,3,1
healthy,117,True,3,1
healthy,118,False,1,0
healthy,119,True,3,0
healthy,120,False,4,0
healthy,121,True,4,1
healthy,122,True,3,2
healthy,123,False,1,0
healthy,124,False,4,0
healthy,125,True,2,0
healthy,126,False,1,0
healthy,127,True,3,0
healthy,128,True,3,1
healthy,129,False,1,0
healthy,130,False,1,0
healthy,131,True,2,1
healthy,132,True,3,2
healthy,133,False,4,0
healthy,134,False,1,0
healthy,135,False,1,0
healthy,136,False,1,0
healthy,137,False,1,0
healthy,138,True,1,3
healthy,139,True,1,2
healthy,140,False,4,0
healthy,141,True,4,0
healthy,142,True,1,1
healthy,143,True,1,2
healthy,144,False,1,0
healthy,145,False,1,0
healthy,146,True,1,1
healthy,147,False,1,0
healthy,148,False,1,0
healthy,149,True,1,0
OR,0,True,1,4
OR,1,True,1,2
OR,2,True,1,0
OR,3,True,1,3
OR,4,True,2,4
OR,5,True,1,3
OR,6,False,4,0
OR,7,False,1,0
OR,8,True,1,4
OR,9,True,1,2
OR,10,True,1,3
OR,11,False,3,0
OR,12,True,1,0
OR,13,True,1,4
OR,14,True,1,3
OR,15,True,1,3
OR,16,False,4,0
OR,17,False,1,0
OR,18,True,4,0
OR,19,True,1,2
OR,20,False,1,0
OR,21,False,1,0
OR,22,False,1,0
OR,23,True,4,0
OR,24,True,4,0
OR,25,True,1,1
OR,26,False,1,0
OR,27,False,1,0
OR,28,True,1,3
OR,29,False,1,0
OR,30,True,1,4
OR,31,True,1,2
OR,32,True,1,3
OR,33,True,1,3
OR,34,True,1,2
OR,35,False,4,0
OR,36,True,1,3
OR,37,True,1,2
OR,38,True,4,2
OR,39,True,1,4
OR,40,False,1,0
OR,41,False,1,0
OR,42,False,1,0
OR,43,True,1,3
OR,44,True,1,4
OR,45,True,1,4
OR,46,True,4,3
OR,47,False,2,0
OR,48,False,2,0
OR,49,False,1,0
OR,50,False,1,0
OR,51,True,2,4
OR,52,False,1,0
OR,53,True,1,3
OR,54,False,1,0
OR,55,True,1,3
OR,56,True,1,0
OR,57,True,1,1
OR,58,True,1,4
OR,59,False,1,0
OR,60,False,1,0
OR,61,False,1,0
OR,62,True,1,3
OR,63,True,1,4
OR,64,False,1,0
OR,65,True,1,3
OR,66,True,4,0
OR,67,True,1,1
OR,68,True,4,0
OR,69,True,1,1
OR,70,True,1,4
OR,71,True,3,1
OR,72,False,1,0
OR,73,True,1,4
OR,74,False,4,0
OR,75,True,2,2
OR,76,True,2,4
OR,77,True,1,0
OR,78,False,4,0
OR,79,False,4,0
OR,80,False,1,0
OR,81,True,1,3
OR,82,False,1,0
OR,83,True,1,3
OR,84,True,1,2
OR,85,True,1,3
OR,86,False,1,0
OR,87,True,1,1
OR,88,True,3,4
OR,89,False,4,0
OR,90,True,1,2
OR,91,False,1,0
OR,92,True,1,4
OR,93,True,4,0
OR,94,False,1,0
OR,95,True,1,3
OR,96,True,1,0
OR,97,True,1,1
OR,98,True,4,0
OR,99,True,1,2
OR,100,False,1,0
OR,101,False,1,0
OR,102,True,1,4
OR,103,False,4,0
OR,104,True,1,3
OR,105,False,1,0
OR,106,False,4,0
OR,107,False,1,0
OR,108,False,1,0
OR,109,False,1,0
OR,110,True,1,2
OR,111,True,4,0
OR,112,False,1,0
OR,113,True,1,3
OR,114,True,4,0
OR,115,False,1,0
OR,116,False,4,0
OR,117,False,1,0
OR,118,True,4,0
OR,119,True,1,3
OR,120,False,1,0
OR,121,True,1,3
OR,122,False,1,0
OR,123,True,4,4
OR,124,True,1,2
OR,125,True,1,4
OR,126,True,1,3
OR,127,False,1,0
OR,128,True,1,4
OR,129,False,4,0
OR,130,False,1,0
OR,131,True,1,2
OR,132,False,1,0
OR,133,True,2,4
OR,134,True,1,2
OR,135,True,1,1
OR,136,False,1,0
OR,137,False,1,0
OR,138,True,3,3
OR,139,True,1,4
OR,140,False,1,0
OR,141,True,2,1
OR,142,False,1,0
OR,143,True,1,4
