metric,n_real,comparison,mean_delta,median_delta,wins,ties,losses,wilcoxon_p_one_sided,holm_q,bh_q
acc,10,phaseA_llm_k3_v2>phaseA_random_v2,0.14305,0.10970000000000002,8,0,0,0.00390625,0.046875,0.009375
acc,10,phaseA_llm_k3_v2>phaseA_rule_v2,0.06822500000000001,0.08055000000000001,7,0,1,0.01171875,0.0703125,0.017578125
acc,25,phaseA_llm_k3_v2>phaseA_random_v2,0.0710875,0.05980000000000002,7,0,1,0.0078125,0.0546875,0.015625
acc,25,phaseA_llm_k3_v2>phaseA_rule_v2,0.02364999999999999,0.03115000000000001,6,0,2,0.0390625,0.1171875,0.046875
acc,50,phaseA_llm_k3_v2>phaseA_random_v2,0.05753750000000002,0.05249999999999999,8,0,0,0.00390625,0.046875,0.009375
acc,50,phaseA_llm_k3_v2>phaseA_rule_v2,-0.0062500000000000056,-0.0015999999999999903,4,0,4,0.80859375,1.0,0.80859375
macro_f1,10,phaseA_llm_k3_v2>phaseA_random_v2,0.186675,0.13205,8,0,0,0.00390625,0.046875,0.009375
macro_f1,10,phaseA_llm_k3_v2>phaseA_rule_v2,0.07092499999999999,0.0741,7,0,1,0.01171875,0.0703125,0.017578125
macro_f1,25,phaseA_llm_k3_v2>phaseA_random_v2,0.08943750000000002,0.08095000000000002,8,0,0,0.00390625,0.046875,0.009375
macro_f1,25,phaseA_llm_k3_v2>phaseA_rule_v2,0.027999999999999997,0.03684999999999994,6,0,2,0.02734375,0.109375,0.036458333333333336
macro_f1,50,phaseA_llm_k3_v2>phaseA_random_v2,0.07408750000000003,0.06290000000000001,8,0,0,0.00390625,0.046875,0.009375
macro_f1,50,phaseA_llm_k3_v2>phaseA_rule_v2,-0.005287499999999987,-0.0021999999999999242,4,0,4,0.76953125,1.0,0.80859375
