dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,train_load0_test_load1,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5468,0.5369,"{""healthy"":0.8805970149253731,""IR"":0.43419267299864317,""B"":0.33793103448275863,""OR"":0.4948453608247423}","[[236,0,0,0],[0,160,1,75],[5,159,49,23],[59,182,4,168]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6030,0.6024,"{""healthy"":0.8956356736242884,""IR"":0.39635535307517084,""B"":0.6018018018018018,""OR"":0.5159500693481276}","[[236,0,0,0],[0,87,51,98],[3,42,167,24],[52,74,101,186]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5022,0.4839,"{""healthy"":0.921875,""IR"":0.14035087719298245,""B"":0.3982102908277405,""OR"":0.4751131221719457}","[[236,0,0,0],[0,28,41,167],[4,49,89,94],[36,86,81,210]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6824,0.6993,"{""healthy"":0.9957805907172996,""IR"":0.5592417061611374,""B"":0.632768361581921,""OR"":0.609271523178808}","[[236,0,0,0],[0,177,59,0],[2,59,168,7],[0,161,68,184]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6137,0.6256,"{""healthy"":0.8773234200743495,""IR"":0.4906832298136646,""B"":0.6681034482758621,""OR"":0.4664429530201342}","[[236,0,0,0],[0,158,48,30],[7,60,155,14],[59,190,25,139]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5227,0.5458,"{""healthy"":0.9978858350951374,""IR"":0.3856858846918489,""B"":0.41091492776886035,""OR"":0.38880248833592534}","[[236,0,0,0],[0,97,89,50],[1,52,128,55],[0,118,170,125]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5103,0.4866,"{""healthy"":0.8660550458715597,""IR"":0.37130801687763715,""B"":0.22556390977443608,""OR"":0.48333333333333334}","[[236,0,0,0],[0,132,0,104],[14,163,30,29],[59,180,0,174]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5504,0.4833,"{""healthy"":0.7932773109243697,""IR"":0.5379310344827586,""B"":0.08130081300813008,""OR"":0.5207100591715976}","[[236,0,0,0],[0,195,0,41],[64,116,10,46],[59,178,0,176]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5343,0.5036,"{""healthy"":0.7625201938610663,""IR"":0.5205843293492696,""B"":0.3142857142857143,""OR"":0.41694915254237286}","[[236,0,0,0],[1,196,0,39],[87,90,44,15],[59,231,0,123]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5397,0.5385,"{""healthy"":0.855072463768116,""IR"":0.48010973936899864,""B"":0.6481876332622601,""OR"":0.17073170731707318}","[[236,0,0,0],[0,175,56,5],[21,31,152,32],[59,287,25,42]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,0,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6985,0.7134,"{""healthy"":0.9957805907172996,""IR"":0.6363636363636364,""B"":0.5996343692870201,""OR"":0.621870882740448}","[[236,0,0,0],[0,147,31,58],[2,18,164,52],[0,61,116,236]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,1,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6209,0.5960,"{""healthy"":0.7827529021558872,""IR"":0.5722543352601156,""B"":0.39416058394160586,""OR"":0.6349206349206349}","[[236,0,0,0],[1,99,31,105],[71,0,81,84],[59,11,63,280]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,2,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6931,0.6737,"{""healthy"":1.0,""IR"":0.39143730886850153,""B"":0.6059544658493871,""OR"":0.6972477064220184}","[[236,0,0,0],[0,64,59,113],[0,21,173,42],[0,6,103,304]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,3,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6378,0.6237,"{""healthy"":0.9752066115702479,""IR"":0.5269761606022585,""B"":0.3310810810810811,""OR"":0.6616541353383458}","[[236,0,0,0],[0,210,8,18],[5,168,49,14],[7,183,3,220]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,4,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5807,0.5236,"{""healthy"":0.8822429906542056,""IR"":0.5755395683453237,""B"":0.09411764705882353,""OR"":0.5424107142857143}","[[236,0,0,0],[0,160,3,73],[4,53,12,167],[59,107,4,243]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,5,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5798,0.5998,"{""healthy"":1.0,""IR"":0.5195195195195195,""B"":0.5365853658536586,""OR"":0.3432574430823117}","[[236,0,0,0],[0,173,43,20],[0,53,143,40],[0,204,111,98]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,6,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6708,0.6827,"{""healthy"":0.9978858350951374,""IR"":0.49612403100775193,""B"":0.6114180478821363,""OR"":0.6253521126760564}","[[236,0,0,0],[0,128,52,56],[1,50,166,19],[0,102,89,222]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,7,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6548,0.6389,"{""healthy"":0.8504504504504504,""IR"":0.3765281173594132,""B"":0.6829268292682927,""OR"":0.6457073760580411}","[[236,0,0,0],[0,77,47,112],[24,23,154,35],[59,73,14,267]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,8,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5781,0.5617,"{""healthy"":0.8180242634315424,""IR"":0.482897384305835,""B"":0.4155844155844156,""OR"":0.5302325581395348}","[[236,0,0,0],[0,120,6,110],[46,17,64,109],[59,124,2,228]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,10,9,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5905,0.6052,"{""healthy"":0.9059500959692899,""IR"":0.5230769230769231,""B"":0.5894736842105263,""OR"":0.40242057488653554}","[[236,0,0,0],[0,153,42,41],[3,19,140,74],[46,177,57,133]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5674,0.5696,"{""healthy"":0.8724584103512015,""IR"":0.5050798258345428,""B"":0.6680080482897385,""OR"":0.23300970873786409}","[[236,0,0,0],[0,174,41,21],[10,39,166,21],[59,240,54,60]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5335,0.5083,"{""healthy"":0.7866666666666666,""IR"":0.4444444444444444,""B"":0.2972972972972973,""OR"":0.5049751243781094}","[[236,0,0,0],[4,104,32,96],[65,24,55,92],[59,104,47,203]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5575,0.5657,"{""healthy"":0.8822429906542056,""IR"":0.4411764705882353,""B"":0.4896907216494845,""OR"":0.4497878359264498}","[[236,0,0,0],[0,135,20,81],[4,83,95,54],[59,158,37,159]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6494,0.6676,"{""healthy"":1.0,""IR"":0.546031746031746,""B"":0.592057761732852,""OR"":0.5324232081911263}","[[236,0,0,0],[0,172,57,7],[0,62,164,10],[0,160,97,156]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,14,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5227,0.4792,"{""healthy"":0.8838951310861424,""IR"":0.47161572052401746,""B"":0.0625,""OR"":0.4989247311827957}","[[236,0,0,0],[0,108,11,117],[3,55,10,168],[59,59,63,232]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,15,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6039,0.6052,"{""healthy"":0.8888888888888888,""IR"":0.3486238532110092,""B"":0.6456310679611651,""OR"":0.5376593279258401}","[[236,0,0,0],[0,76,15,145],[5,25,133,73],[54,99,28,232]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,16,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5486,0.5142,"{""healthy"":0.7306501547987616,""IR"":0.4507042253521127,""B"":0.3380281690140845,""OR"":0.5374233128834356}","[[236,0,0,0],[38,112,0,86],[77,14,48,97],[59,135,0,219]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,17,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6450,0.6632,"{""healthy"":1.0,""IR"":0.532258064516129,""B"":0.5979020979020979,""OR"":0.5224913494809689}","[[236,0,0,0],[0,165,59,12],[0,63,171,2],[0,156,106,151]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,noise_aug,5,18,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.4719,0.4393,"{""healthy"":0.8324514991181657,""IR"":0.45027624309392267,""B"":0.10404624277456648,""OR"":0.3702479338842975}","[[236,0,0,0],[1,163,36,36],[35,139,18,44],[59,186,56,112]]","[""healthy"",""IR"",""B"",""OR""]"
