dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,train_load0_test_load1,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6164,0.6099,"{""healthy"":0.8888888888888888,""IR"":0.3464203233256351,""B"":0.6950596252129472,""OR"":0.5094066570188133}","[[236,0,0,0],[0,75,77,84],[3,11,204,18],[56,111,70,176]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5745,0.5833,"{""healthy"":0.921875,""IR"":0.46923076923076923,""B"":0.5895765472312704,""OR"":0.3523489932885906}","[[236,0,0,0],[0,122,59,55],[3,29,181,23],[37,133,138,105]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5736,0.5884,"{""healthy"":0.9936842105263158,""IR"":0.36446469248291574,""B"":0.5592105263157895,""OR"":0.4361111111111111}","[[236,0,0,0],[0,80,65,91],[3,4,170,59],[0,119,137,157]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5816,0.5964,"{""healthy"":0.9957805907172996,""IR"":0.32679738562091504,""B"":0.5895522388059702,""OR"":0.47347994825355755}","[[236,0,0,0],[0,75,51,110],[2,9,158,67],[0,139,91,183]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6236,0.6376,"{""healthy"":0.9978858350951374,""IR"":0.4195519348268839,""B"":0.5918003565062389,""OR"":0.5411436541143654}","[[236,0,0,0],[0,103,59,74],[1,33,166,36],[0,119,100,194]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6093,0.6277,"{""healthy"":0.9957805907172996,""IR"":0.4536082474226804,""B"":0.5683060109289617,""OR"":0.49318801089918257}","[[236,0,0,0],[0,110,54,72],[2,10,156,68],[0,129,103,181]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5424,0.5320,"{""healthy"":0.9691991786447639,""IR"":0.19302949061662197,""B"":0.5482093663911846,""OR"":0.4176829268292683}","[[236,0,0,0],[0,36,114,86],[3,14,199,20],[12,87,177,137]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6334,0.6348,"{""healthy"":0.9273084479371316,""IR"":0.48582995951417,""B"":0.5361305361305362,""OR"":0.5901234567901235}","[[236,0,0,0],[0,120,29,87],[3,47,115,71],[34,91,49,239]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5691,0.5644,"{""healthy"":0.8838951310861424,""IR"":0.3144963144963145,""B"":0.6156521739130435,""OR"":0.44352617079889806}","[[236,0,0,0],[0,64,59,113],[3,17,177,39],[59,90,103,161]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5932,0.5903,"{""healthy"":0.8855534709193246,""IR"":0.3333333333333333,""B"":0.6322067594433399,""OR"":0.5102564102564102}","[[236,0,0,0],[0,71,59,106],[6,9,159,62],[55,110,49,199]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5914,0.5625,"{""healthy"":0.9936842105263158,""IR"":0.10975609756097561,""B"":0.5968586387434555,""OR"":0.5496535796766744}","[[236,0,0,0],[0,18,59,159],[3,6,171,56],[0,68,107,238]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5959,0.6053,"{""healthy"":0.9652351738241309,""IR"":0.40176600441501104,""B"":0.5996810207336523,""OR"":0.45468053491827637}","[[236,0,0,0],[0,91,59,86],[3,24,188,21],[14,102,144,153]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6218,0.6327,"{""healthy"":1.0,""IR"":0.3684210526315789,""B"":0.628158844765343,""OR"":0.5342105263157895}","[[236,0,0,0],[0,84,59,93],[0,11,174,51],[0,125,85,203]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,train_load0_test_load1,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6244,0.6361,"{""healthy"":0.9957805907172996,""IR"":0.42738589211618255,""B"":0.5481727574750831,""OR"":0.5730994152046783}","[[236,0,0,0],[0,103,87,46],[2,40,165,29],[0,103,114,196]]","[""healthy"",""IR"",""B"",""OR""]"
