n_real,method,acc_mean,acc_std,acc_count,macro_f1_mean,macro_f1_std,macro_f1_count
5,llm,0.63729,0.02267537268306279,20,0.6464350000000001,0.0247486793906048,20
5,noise_aug,0.56132,0.05473981135671205,20,0.551755,0.07171107581633986,20
5,real_only,0.23553000000000002,0.0706257005554449,20,0.130355,0.059494559459358616,20
5,rule,0.593845,0.028224578221639974,20,0.5972700000000001,0.03603831440651959,20
10,llm,0.65049,0.031227482835004906,20,0.65994,0.03852758956766874,20
10,noise_aug,0.61195,0.05624518224982285,20,0.604815,0.06649551053306256,20
10,real_only,0.306995,0.11641716944723088,20,0.22763999999999998,0.14433736941806277,20
10,rule,0.611055,0.02700365423614482,20,0.614155,0.03933768081088342,20
25,llm,0.69433,0.046920067528106804,20,0.6955250000000001,0.04377850800516042,20
25,noise_aug,0.66347,0.05052594018500738,20,0.660705,0.05635802352628656,20
25,real_only,0.548625,0.07455628657880604,20,0.50701,0.07423812256587085,20
25,rule,0.666955,0.032082254071617064,20,0.664145,0.03182379902228089,20
