dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,within_load0,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5850,0.6054,"{""healthy"":1.0,""IR"":0.5052631578947369,""B"":0.2708333333333333,""OR"":0.6456692913385826}","[[36,0,0,0],[0,48,1,23],[0,36,13,23],[0,34,10,82]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6013,0.6292,"{""healthy"":0.782608695652174,""IR"":0.5416666666666666,""B"":0.6896551724137931,""OR"":0.5027322404371585}","[[36,0,0,0],[0,52,11,9],[2,18,50,2],[18,50,12,46]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5556,0.5375,"{""healthy"":1.0,""IR"":0.0,""B"":0.5381526104417671,""OR"":0.6118721461187214}","[[36,0,0,0],[0,0,51,21],[0,0,67,5],[0,0,59,67]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.4902,0.4264,"{""healthy"":1.0,""IR"":0.0,""B"":0.125,""OR"":0.5806451612903226}","[[36,0,0,0],[0,0,0,72],[0,0,6,66],[0,0,18,108]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6471,0.6263,"{""healthy"":0.9,""IR"":0.23255813953488372,""B"":0.6993006993006993,""OR"":0.6732673267326733}","[[36,0,0,0],[0,10,6,56],[0,3,50,19],[8,1,15,102]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5719,0.6147,"{""healthy"":1.0,""IR"":0.3220338983050847,""B"":0.5671641791044776,""OR"":0.5694444444444444}","[[36,0,0,0],[0,19,2,51],[0,5,38,29],[0,22,22,82]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5948,0.5805,"{""healthy"":0.9863013698630136,""IR"":0.06818181818181818,""B"":0.6330935251798561,""OR"":0.6346153846153846}","[[36,0,0,0],[0,3,5,64],[0,5,44,23],[1,8,18,99]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.5948,0.5775,"{""healthy"":1.0,""IR"":0.04819277108433735,""B"":0.6323529411764706,""OR"":0.6292834890965732}","[[36,0,0,0],[0,2,0,70],[0,5,43,24],[0,4,21,101]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6144,0.6385,"{""healthy"":0.8089887640449438,""IR"":0.5777777777777777,""B"":0.6352941176470588,""OR"":0.5317919075144508}","[[36,0,0,0],[0,52,19,1],[0,18,54,0],[17,38,25,46]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",80,0.6111,0.5728,"{""healthy"":1.0,""IR"":0.0,""B"":0.6466165413533834,""OR"":0.6447761194029851}","[[36,0,0,0],[0,0,0,72],[0,0,43,29],[0,0,18,108]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6634,0.7124,"{""healthy"":1.0,""IR"":0.6103896103896104,""B"":0.585635359116022,""OR"":0.6536585365853659}","[[36,0,0,0],[0,47,14,11],[0,18,53,1],[0,17,42,67]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6340,0.6554,"{""healthy"":0.782608695652174,""IR"":0.5257142857142857,""B"":0.7034482758620689,""OR"":0.61}","[[36,0,0,0],[0,46,15,11],[2,17,51,2],[18,40,7,61]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6601,0.6893,"{""healthy"":1.0,""IR"":0.39097744360902253,""B"":0.6585365853658537,""OR"":0.7078189300411523}","[[36,0,0,0],[0,26,18,28],[0,15,54,3],[0,20,20,86]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5196,0.5551,"{""healthy"":1.0,""IR"":0.2751322751322751,""B"":0.30434782608695654,""OR"":0.640926640926641}","[[36,0,0,0],[0,26,2,44],[0,52,14,6],[0,39,4,83]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6601,0.6795,"{""healthy"":0.8089887640449438,""IR"":0.5647058823529412,""B"":0.7160493827160493,""OR"":0.6282722513089005}","[[36,0,0,0],[0,48,19,5],[0,14,58,0],[17,36,13,60]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,5,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6405,0.6768,"{""healthy"":1.0,""IR"":0.62,""B"":0.4297520661157025,""OR"":0.6575342465753424}","[[36,0,0,0],[0,62,0,10],[0,35,26,11],[0,31,23,72]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,6,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6373,0.6694,"{""healthy"":1.0,""IR"":0.40336134453781514,""B"":0.620253164556962,""OR"":0.6539923954372624}","[[36,0,0,0],[0,24,11,37],[0,9,49,14],[0,14,26,86]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,7,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.5523,0.5153,"{""healthy"":0.8,""IR"":0.44565217391304346,""B"":0.15384615384615385,""OR"":0.6615384615384615}","[[36,0,0,0],[0,41,0,31],[1,48,6,17],[17,23,0,86]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,8,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6438,0.6463,"{""healthy"":0.8,""IR"":0.4262295081967213,""B"":0.7037037037037037,""OR"":0.6554621848739496}","[[36,0,0,0],[0,26,15,31],[0,12,57,3],[18,12,18,78]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,9,"{""0"":10,""1"":10,""2"":10,""3"":10}",80,0.6667,0.7085,"{""healthy"":1.0,""IR"":0.549618320610687,""B"":0.6086956521739131,""OR"":0.6755555555555556}","[[36,0,0,0],[0,36,16,20],[0,13,56,3],[0,10,40,76]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,25,0,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6797,0.6965,"{""healthy"":0.8181818181818182,""IR"":0.6515151515151515,""B"":0.7142857142857143,""OR"":0.6020408163265306}","[[36,0,0,0],[0,43,18,11],[0,2,70,0],[16,15,36,59]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,25,1,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6797,0.7262,"{""healthy"":1.0,""IR"":0.6081081081081081,""B"":0.6735751295336787,""OR"":0.6231155778894473}","[[36,0,0,0],[0,45,18,9],[0,5,65,2],[0,26,38,62]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,25,2,"{""0"":25,""1"":25,""2"":25,""3"":25}",80,0.6569,0.7085,"{""healthy"":1.0,""IR"":0.6197183098591549,""B"":0.6197183098591549,""OR"":0.5945945945945946}","[[36,0,0,0],[0,44,24,4],[0,6,66,0],[0,20,51,55]]","[""healthy"",""IR"",""B"",""OR""]"
