dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load1,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6815,0.6855,"{""healthy"":0.9059500959692899,""IR"":0.5634328358208955,""B"":0.6361904761904762,""OR"":0.6363636363636364}","[[236,0,0,0],[0,151,59,26],[3,55,167,11],[46,94,63,210]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6369,0.6487,"{""healthy"":0.9957805907172996,""IR"":0.4309623430962343,""B"":0.6003683241252302,""OR"":0.5676037483266398}","[[236,0,0,0],[0,103,55,78],[2,27,163,44],[0,112,89,212]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6298,0.6478,"{""healthy"":0.9957805907172996,""IR"":0.5250431778929189,""B"":0.5738539898132428,""OR"":0.49666666666666665}","[[236,0,0,0],[0,152,58,26],[2,53,169,12],[0,138,126,149]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6262,0.6450,"{""healthy"":0.9957805907172996,""IR"":0.5008077544426495,""B"":0.5467889908256881,""OR"":0.5364238410596026}","[[236,0,0,0],[0,155,62,19],[2,75,149,10],[0,153,98,162]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6476,0.6646,"{""healthy"":0.9978858350951374,""IR"":0.5293072824156305,""B"":0.5856905158069884,""OR"":0.5454545454545454}","[[236,0,0,0],[0,149,63,24],[1,56,176,3],[0,122,126,165]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.7029,0.7163,"{""healthy"":1.0,""IR"":0.6089965397923875,""B"":0.5948905109489051,""OR"":0.6614906832298136}","[[236,0,0,0],[0,176,56,4],[0,59,163,14],[0,107,93,213]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6351,0.6522,"{""healthy"":0.989517819706499,""IR"":0.5568181818181818,""B"":0.5682539682539682,""OR"":0.4942339373970346}","[[236,0,0,0],[0,147,60,29],[2,40,179,15],[3,105,155,150]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6655,0.6712,"{""healthy"":0.8872180451127819,""IR"":0.5827067669172933,""B"":0.6385542168674698,""OR"":0.5764705882352941}","[[236,0,0,0],[0,155,50,31],[3,34,159,40],[57,107,53,196]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6236,0.6395,"{""healthy"":0.9812889812889813,""IR"":0.5421903052064632,""B"":0.5700325732899023,""OR"":0.46440677966101696}","[[236,0,0,0],[0,151,59,26],[2,45,175,14],[7,125,144,137]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6236,0.6355,"{""healthy"":0.9496981891348089,""IR"":0.5307557117750439,""B"":0.58603066439523,""OR"":0.47538200339558573}","[[236,0,0,0],[0,151,59,26],[3,51,172,10],[22,131,120,140]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6690,0.6846,"{""healthy"":0.9936842105263158,""IR"":0.5871559633027523,""B"":0.5655172413793104,""OR"":0.5919003115264797}","[[236,0,0,0],[0,160,47,29],[2,60,164,10],[1,89,133,190]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6414,0.6449,"{""healthy"":0.8822429906542056,""IR"":0.5703422053231939,""B"":0.6363636363636364,""OR"":0.4906303236797274}","[[236,0,0,0],[0,150,59,27],[4,40,189,3],[59,100,110,144]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6236,0.6292,"{""healthy"":0.8838951310861424,""IR"":0.5427974947807933,""B"":0.6072041166380789,""OR"":0.48297213622291024}","[[236,0,0,0],[0,130,59,47],[3,26,177,30],[59,87,111,156]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6111,0.6233,"{""healthy"":0.9365079365079365,""IR"":0.5221843003412969,""B"":0.5772058823529411,""OR"":0.45723684210526316}","[[236,0,0,0],[0,153,55,28],[3,48,157,28],[29,149,96,139]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,14,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6512,0.6677,"{""healthy"":0.9936842105263158,""IR"":0.5502645502645502,""B"":0.5809682804674458,""OR"":0.5457570715474209}","[[236,0,0,0],[0,156,59,21],[3,56,174,3],[0,119,130,164]]","[""healthy"",""IR"",""B"",""OR""]"
