dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load1,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6137,0.6158,"{""healthy"":0.8535262206148282,""IR"":0.5175292153589316,""B"":0.5523385300668151,""OR"":0.5397815912636506}","[[236,0,0,0],[1,155,48,32],[21,68,124,23],[59,140,41,173]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6227,0.6405,"{""healthy"":1.0,""IR"":0.3801980198019802,""B"":0.6507936507936508,""OR"":0.5308804204993429}","[[236,0,0,0],[0,96,40,100],[0,26,164,46],[0,147,64,202]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6164,0.6336,"{""healthy"":0.9957805907172996,""IR"":0.5197132616487455,""B"":0.48846153846153845,""OR"":0.5304347826086957}","[[236,0,0,0],[0,145,55,36],[2,49,127,58],[0,128,102,183]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6209,0.6232,"{""healthy"":0.8489208633093526,""IR"":0.5464098073555166,""B"":0.6,""OR"":0.49747899159663866}","[[236,0,0,0],[4,156,76,0],[23,23,156,34],[57,156,52,148]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6173,0.6373,"{""healthy"":0.9978858350951374,""IR"":0.49022556390977445,""B"":0.6582278481012658,""OR"":0.4029038112522686}","[[236,0,0,0],[0,163,52,21],[1,47,182,6],[0,219,83,111]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6655,0.6742,"{""healthy"":1.0,""IR"":0.49256900212314225,""B"":0.5649122807017544,""OR"":0.6392318244170097}","[[236,0,0,0],[0,116,53,67],[0,59,161,16],[0,60,120,233]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5263,0.4961,"{""healthy"":0.9200779727095516,""IR"":0.5,""B"":0.21641791044776118,""OR"":0.34782608695652173}","[[236,0,0,0],[0,233,0,3],[3,183,29,21],[38,280,3,92]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5504,0.5332,"{""healthy"":0.8740740740740741,""IR"":0.2318840579710145,""B"":0.5011185682326622,""OR"":0.525564803804994}","[[236,0,0,0],[0,48,48,140],[9,48,112,67],[59,82,51,221]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6414,0.6541,"{""healthy"":0.932806324110672,""IR"":0.4982456140350877,""B"":0.6507936507936508,""OR"":0.5347432024169184}","[[236,0,0,0],[0,142,52,42],[2,40,164,30],[32,152,52,177]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5914,0.6046,"{""healthy"":0.9936842105263158,""IR"":0.5014164305949008,""B"":0.6088495575221239,""OR"":0.31451612903225806}","[[236,0,0,0],[0,177,55,4],[3,60,172,1],[0,233,102,78]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5888,0.6071,"{""healthy"":0.9978858350951374,""IR"":0.5421133231240429,""B"":0.5255474452554745,""OR"":0.3626760563380282}","[[236,0,0,0],[0,177,37,22],[1,61,144,30],[0,179,131,103]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5531,0.5306,"{""healthy"":0.7386541471048513,""IR"":0.5807622504537205,""B"":0.3267605633802817,""OR"":0.4763271162123386}","[[236,0,0,0],[26,160,1,49],[82,27,58,69],[59,128,60,166]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5138,0.4995,"{""healthy"":0.8838951310861424,""IR"":0.37925925925925924,""B"":0.26229508196721313,""OR"":0.4725274725274725}","[[236,0,0,0],[0,128,9,99],[3,149,40,44],[59,162,20,172]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.4781,0.4420,"{""healthy"":0.8597449908925319,""IR"":0.4920049200492005,""B"":0.13622291021671826,""OR"":0.2800718132854578}","[[236,0,0,0],[0,200,7,29],[18,159,22,37],[59,218,58,78]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,14,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.7119,0.7247,"{""healthy"":0.9915966386554622,""IR"":0.6230088495575221,""B"":0.6228373702422145,""OR"":0.6613162118780096}","[[236,0,0,0],[0,176,60,0],[3,49,180,4],[1,104,102,206]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,15,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6423,0.6621,"{""healthy"":0.9936842105263158,""IR"":0.5151515151515151,""B"":0.6395563770794824,""OR"":0.5}","[[236,0,0,0],[0,153,52,31],[3,30,173,30],[0,175,80,158]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,16,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6236,0.6328,"{""healthy"":0.9200779727095516,""IR"":0.5212121212121212,""B"":0.6068965517241379,""OR"":0.4831804281345566}","[[236,0,0,0],[0,129,59,48],[2,23,176,35],[39,107,109,158]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,17,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5513,0.5563,"{""healthy"":0.9957805907172996,""IR"":0.39436619718309857,""B"":0.3333333333333333,""OR"":0.5017502917152858}","[[236,0,0,0],[0,98,15,123],[2,59,69,106],[0,104,94,215]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,18,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5165,0.4956,"{""healthy"":0.7625201938610663,""IR"":0.5287356321839081,""B"":0.3122923588039867,""OR"":0.37868162692847124}","[[236,0,0,0],[17,161,0,58],[71,11,47,107],[59,201,18,135]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,5,19,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5477,0.5383,"{""healthy"":0.8266199649737302,""IR"":0.47419804741980476,""B"":0.4,""OR"":0.45220030349013657}","[[236,0,0,0],[0,170,0,66],[40,106,59,31],[59,205,0,149]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,0,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.6548,0.6528,"{""healthy"":0.8724584103512015,""IR"":0.5723793677204659,""B"":0.5445783132530121,""OR"":0.621897810218978}","[[236,0,0,0],[0,172,40,24],[10,78,113,35],[59,115,26,213]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,noise_aug,10,1,"{""0"":10,""1"":10,""2"":10,""3"":10}",152,0.5647,0.5564,"{""healthy"":0.8708487084870848,""IR"":0.38222222222222224,""B"":0.4,""OR"":0.5726027397260274}","[[236,0,0,0],[0,129,0,107],[11,165,59,1],[59,145,0,209]]","[""healthy"",""IR"",""B"",""OR""]"
