dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,lolo_load1,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6227,0.6408,"{""healthy"":0.989517819706499,""IR"":0.5018587360594795,""B"":0.573943661971831,""OR"":0.4977238239757208}","[[236,0,0,0],[0,135,59,42],[3,30,163,40],[2,137,110,164]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5789,0.5758,"{""healthy"":0.9936842105263158,""IR"":0.19117647058823528,""B"":0.5953307392996109,""OR"":0.5230769230769231}","[[236,0,0,0],[0,39,43,154],[3,23,153,57],[0,110,82,221]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6146,0.6327,"{""healthy"":0.9957805907172996,""IR"":0.4633663366336634,""B"":0.5894378194207837,""OR"":0.4822485207100592}","[[236,0,0,0],[0,117,57,62],[2,23,173,38],[0,129,121,163]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6039,0.6236,"{""healthy"":0.9978858350951374,""IR"":0.4780114722753346,""B"":0.5198412698412699,""OR"":0.49865229110512127}","[[236,0,0,0],[0,125,49,62],[1,22,131,82],[0,140,88,185]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6102,0.6195,"{""healthy"":1.0,""IR"":0.35585585585585583,""B"":0.5961871750433275,""OR"":0.5260347129506008}","[[236,0,0,0],[0,79,59,98],[0,23,172,41],[0,106,110,197]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6280,0.6418,"{""healthy"":1.0,""IR"":0.42061855670103093,""B"":0.5966850828729282,""OR"":0.5498652291105122}","[[236,0,0,0],[0,102,54,80],[0,29,162,45],[0,118,91,204]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5682,0.5570,"{""healthy"":0.9915966386554622,""IR"":0.14736842105263157,""B"":0.5765765765765766,""OR"":0.5126353790613718}","[[236,0,0,0],[0,28,56,152],[2,21,160,53],[2,95,103,213]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5995,0.5998,"{""healthy"":0.9147286821705426,""IR"":0.3615023474178404,""B"":0.5987780040733197,""OR"":0.5241038318912238}","[[236,0,0,0],[0,77,45,114],[3,16,147,70],[41,97,63,212]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6021,0.6202,"{""healthy"":0.9978858350951374,""IR"":0.4435483870967742,""B"":0.5775577557755776,""OR"":0.4617691154422789}","[[236,0,0,0],[0,110,59,67],[1,27,175,33],[0,123,136,154]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6030,0.6055,"{""healthy"":0.923679060665362,""IR"":0.3778801843317972,""B"":0.6131386861313869,""OR"":0.507343124165554}","[[236,0,0,0],[0,82,59,95],[3,14,168,51],[36,102,85,190]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5888,0.6064,"{""healthy"":0.9915966386554622,""IR"":0.3709677419354839,""B"":0.5919117647058824,""OR"":0.47107438016528924}","[[236,0,0,0],[0,92,42,102],[3,32,161,40],[1,136,105,171]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5977,0.5731,"{""healthy"":0.8838951310861424,""IR"":0.20055710306406685,""B"":0.6679316888045541,""OR"":0.5401459854014599}","[[236,0,0,0],[0,36,59,141],[4,10,176,46],[58,77,56,222]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5504,0.5381,"{""healthy"":0.8888888888888888,""IR"":0.18274111675126903,""B"":0.6294227188081937,""OR"":0.4512820512820513}","[[236,0,0,0],[0,36,59,141],[3,14,169,50],[56,108,73,176]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5843,0.6027,"{""healthy"":0.9672131147540983,""IR"":0.4838709677419355,""B"":0.5357798165137615,""OR"":0.423963133640553}","[[236,0,0,0],[0,135,53,48],[3,35,146,52],[13,152,110,138]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,14,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6236,0.6372,"{""healthy"":0.9936842105263158,""IR"":0.4163265306122449,""B"":0.6070175438596491,""OR"":0.5318246110325319}","[[236,0,0,0],[0,102,59,75],[3,29,173,31],[0,123,102,188]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,15,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5888,0.5781,"{""healthy"":0.9957805907172996,""IR"":0.15508021390374332,""B"":0.6324110671936759,""OR"":0.5292792792792793}","[[236,0,0,0],[0,29,37,170],[2,4,160,70],[0,105,73,235]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,16,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5674,0.5166,"{""healthy"":0.9652351738241309,""IR"":0.0,""B"":0.5807504078303426,""OR"":0.5205158264947245}","[[236,0,0,0],[0,0,75,161],[1,0,178,57],[16,51,124,222]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,17,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6289,0.6461,"{""healthy"":0.9752066115702479,""IR"":0.5036496350364964,""B"":0.6048237476808905,""OR"":0.5007451564828614}","[[236,0,0,0],[0,138,58,40],[3,20,163,50],[9,154,82,168]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,18,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.5388,0.5227,"{""healthy"":0.8838951310861424,""IR"":0.22448979591836735,""B"":0.6204819277108434,""OR"":0.3619631901840491}","[[236,0,0,0],[0,44,82,110],[3,16,206,11],[59,96,140,118]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,lolo_load1,custom_pool,5,19,"{""0"":5,""1"":5,""2"":5,""3"":5}",152,0.6244,0.6298,"{""healthy"":0.8855534709193246,""IR"":0.40963855421686746,""B"":0.7140115163147792,""OR"":0.5101449275362319}","[[236,0,0,0],[0,102,46,88],[3,34,186,13],[58,126,53,176]]","[""healthy"",""IR"",""B"",""OR""]"
