n_real,method,acc_mean,acc_std,acc_count,macro_f1_mean,macro_f1_std,macro_f1_count
5,llm,0.64442,0.02565587241692794,20,0.6536850000000001,0.02976103554720678,20
5,noise_aug,0.5896549999999999,0.05853468135261888,20,0.59008,0.0738849076533724,20
5,real_only,0.24169000000000002,0.05448777651431268,20,0.13018000000000002,0.05437527108220389,20
5,rule,0.59621,0.025724325984725457,20,0.5983750000000001,0.040163846992826255,20
10,llm,0.6527649999999999,0.02511569597304698,20,0.6625300000000001,0.0265049568353187,20
10,noise_aug,0.6144999999999999,0.05542272951929038,20,0.608845,0.06703966991345693,20
10,real_only,0.30579999999999996,0.13913516714634766,20,0.24423499999999998,0.16560603941122948,20
10,rule,0.612345,0.030582011826700027,20,0.6159399999999999,0.037911550801972324,20
25,llm,0.685705,0.03777536132291687,40,0.6886300000000001,0.04315630030957538,40
25,noise_aug,0.6489550000000001,0.0569744384880241,40,0.649,0.06177187560196482,40
25,real_only,0.5469575,0.07910004015526226,40,0.5096875,0.08335471988389788,40
25,rule,0.66276,0.03600117377003858,40,0.6649725,0.04001401028678292,40
