split,n_real,metric,comparison,wilcoxon_stat,p,llm_mean,other_mean,delta,n_pairs,holm_q,holm_reject_0p05
lolo_load1,5,acc,llm>rule,210.0,9.5367431640625e-07,0.64442,0.5962099999999999,0.048210000000000086,20,2.86102294921875e-06,True
lolo_load1,5,acc,llm>noise_aug,193.0,0.00019741058349609375,0.64442,0.589655,0.05476499999999995,20,0.00019741058349609375,True
lolo_load1,5,acc,llm>real_only,210.0,9.5367431640625e-07,0.64442,0.24169000000000002,0.40273,20,2.86102294921875e-06,True
lolo_load1,5,macro_f1,llm>rule,210.0,9.5367431640625e-07,0.6536850000000001,0.5983750000000001,0.05530999999999997,20,2.86102294921875e-06,True
lolo_load1,5,macro_f1,llm>noise_aug,188.0,0.0005083084106445312,0.6536850000000001,0.5900799999999999,0.06360500000000013,20,0.0005083084106445312,True
lolo_load1,5,macro_f1,llm>real_only,210.0,9.5367431640625e-07,0.6536850000000001,0.13018000000000002,0.5235050000000001,20,2.86102294921875e-06,True
lolo_load1,10,acc,llm>rule,190.0,6.591694449141665e-05,0.6527650000000002,0.612345,0.04042000000000012,20,0.0001318338889828333,True
lolo_load1,10,acc,llm>noise_aug,173.0,0.004717826843261719,0.6527650000000002,0.6145,0.038265000000000104,20,0.004717826843261719,True
lolo_load1,10,acc,llm>real_only,210.0,9.5367431640625e-07,0.6527650000000002,0.30579999999999996,0.3469650000000002,20,2.86102294921875e-06,True
lolo_load1,10,macro_f1,llm>rule,209.0,1.9073486328125e-06,0.66253,0.6159399999999999,0.04659000000000002,20,3.814697265625e-06,True
lolo_load1,10,macro_f1,llm>noise_aug,182.0,0.0013561248779296875,0.66253,0.6088450000000001,0.05368499999999987,20,0.0013561248779296875,True
lolo_load1,10,macro_f1,llm>real_only,210.0,9.5367431640625e-07,0.66253,0.24423500000000004,0.4182949999999999,20,2.86102294921875e-06,True
lolo_load1,25,acc,llm>rule,780.5,3.170898243895491e-07,0.685705,0.66276,0.022944999999999993,40,6.341796487790982e-07,True
lolo_load1,25,acc,llm>noise_aug,624.5,0.00196814093952304,0.685705,0.6489550000000001,0.03674999999999995,40,0.00196814093952304,True
lolo_load1,25,acc,llm>real_only,820.0,9.094947017729282e-13,0.685705,0.5469575000000001,0.1387474999999999,40,2.7284841053187847e-12,True
lolo_load1,25,macro_f1,llm>rule,759.0,1.3571697121038587e-06,0.6886300000000001,0.6649725,0.02365750000000011,40,2.7143394242077173e-06,True
lolo_load1,25,macro_f1,llm>noise_aug,624.0,0.002010751435273023,0.6886300000000001,0.649,0.039630000000000054,40,0.002010751435273023,True
lolo_load1,25,macro_f1,llm>real_only,820.0,9.094947017729282e-13,0.6886300000000001,0.5096875,0.17894250000000012,40,2.7284841053187847e-12,True
