dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
CWRU,within_load0,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.3922,0.2556,"{""healthy"":0.0,""IR"":0.11214953271028037,""B"":0.3473053892215569,""OR"":0.5629139072847682}","[[0,0,36,0],[0,6,4,62],[0,14,29,29],[0,15,26,85]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.5392,0.5595,"{""healthy"":1.0,""IR"":0.10309278350515463,""B"":0.6067415730337079,""OR"":0.5283018867924528}","[[36,0,0,0],[0,5,14,53],[0,2,54,16],[0,18,38,70]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.6078,0.6479,"{""healthy"":1.0,""IR"":0.3225806451612903,""B"":0.6666666666666666,""OR"":0.6022304832713755}","[[36,0,0,0],[0,20,3,49],[0,10,49,13],[0,22,23,81]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,1,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.6144,0.6518,"{""healthy"":0.8780487804878049,""IR"":0.5172413793103449,""B"":0.6625766871165644,""OR"":0.5492227979274611}","[[36,0,0,0],[0,45,17,10],[0,14,54,4],[10,43,20,53]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.5033,0.5278,"{""healthy"":1.0,""IR"":0.0970873786407767,""B"":0.48120300751879697,""OR"":0.5328947368421053}","[[36,0,0,0],[0,5,7,60],[0,3,32,37],[0,23,22,81]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.3627,0.2470,"{""healthy"":0.0,""IR"":0.43870967741935485,""B"":0.047619047619047616,""OR"":0.5016949152542373}","[[0,0,36,0],[0,34,0,38],[0,12,3,57],[0,37,15,74]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.6144,0.6519,"{""healthy"":1.0,""IR"":0.3559322033898305,""B"":0.6455696202531646,""OR"":0.6060606060606061}","[[36,0,0,0],[0,21,9,42],[0,5,51,16],[0,20,26,80]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,2,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.6111,0.6661,"{""healthy"":1.0,""IR"":0.4868421052631579,""B"":0.6033519553072626,""OR"":0.5741626794258373}","[[36,0,0,0],[0,37,18,17],[0,12,54,6],[0,31,35,60]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,3,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.5458,0.5853,"{""healthy"":1.0,""IR"":0.39814814814814814,""B"":0.3076923076923077,""OR"":0.6351931330472103}","[[36,0,0,0],[0,43,2,27],[0,52,14,6],[0,49,3,74]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,4,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.6307,0.6211,"{""healthy"":0.9,""IR"":0.21782178217821782,""B"":0.7100591715976331,""OR"":0.6564885496183206}","[[36,0,0,0],[0,11,20,41],[0,3,60,9],[8,15,17,86]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.5654,0.6128,"{""healthy"":1.0,""IR"":0.3770491803278688,""B"":0.5161290322580645,""OR"":0.5578231292517006}","[[36,0,0,0],[0,23,0,49],[0,3,32,37],[0,24,20,82]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.3791,0.2406,"{""healthy"":0.0,""IR"":0.14414414414414414,""B"":0.2585034013605442,""OR"":0.559748427672956}","[[0,0,36,0],[0,8,1,63],[0,13,19,40],[0,18,19,89]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.4183,0.2984,"{""healthy"":0.0,""IR"":0.3090909090909091,""B"":0.2727272727272727,""OR"":0.6119402985074627}","[[0,36,0,0],[0,34,0,38],[0,38,12,22],[0,40,4,82]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.5000,0.3346,"{""healthy"":0.0,""IR"":0.16279069767441862,""B"":0.5531914893617021,""OR"":0.6225165562913907}","[[0,0,36,0],[0,7,2,63],[0,1,52,19],[0,6,26,94]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5,""3"":5}",73,0.4837,0.3401,"{""healthy"":0.0,""IR"":0.20952380952380953,""B"":0.5517241379310345,""OR"":0.5993265993265994}","[[0,0,36,0],[0,11,0,61],[0,3,48,21],[0,19,18,89]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,5,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.6340,0.6835,"{""healthy"":1.0,""IR"":0.6229508196721312,""B"":0.5109489051094891,""OR"":0.6}","[[36,0,0,0],[0,57,2,13],[0,22,35,15],[0,32,28,66]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,6,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.4902,0.3768,"{""healthy"":0.0,""IR"":0.40298507462686567,""B"":0.5154639175257731,""OR"":0.5887096774193549}","[[0,0,36,0],[0,27,10,35],[0,8,50,14],[0,27,26,73]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,7,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.4967,0.5041,"{""healthy"":1.0,""IR"":0.3023255813953488,""B"":0.12987012987012986,""OR"":0.584192439862543}","[[36,0,0,0],[0,26,0,46],[0,33,5,34],[0,41,0,85]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,8,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.5458,0.6019,"{""healthy"":1.0,""IR"":0.5,""B"":0.5655737704918032,""OR"":0.34210526315789475}","[[36,0,0,0],[0,36,36,0],[0,3,69,0],[0,33,67,26]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,10,9,"{""0"":10,""1"":10,""2"":10,""3"":10}",73,0.6307,0.6842,"{""healthy"":1.0,""IR"":0.5405405405405406,""B"":0.6101694915254238,""OR"":0.586046511627907}","[[36,0,0,0],[0,40,15,17],[0,9,54,9],[0,27,36,63]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,25,0,"{""0"":25,""1"":25,""2"":25,""3"":25}",73,0.6667,0.6652,"{""healthy"":0.8181818181818182,""IR"":0.4067796610169492,""B"":0.7865168539325843,""OR"":0.6491228070175439}","[[36,0,0,0],[0,24,20,28],[0,2,70,0],[16,20,16,74]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,25,1,"{""0"":25,""1"":25,""2"":25,""3"":25}",73,0.5915,0.6290,"{""healthy"":1.0,""IR"":0.32727272727272727,""B"":0.6432160804020101,""OR"":0.5454545454545454}","[[36,0,0,0],[0,18,19,35],[0,1,64,7],[0,19,44,63]]","[""healthy"",""IR"",""B"",""OR""]"
CWRU,within_load0,custom_pool,25,2,"{""0"":25,""1"":25,""2"":25,""3"":25}",73,0.6046,0.6590,"{""healthy"":1.0,""IR"":0.49624060150375937,""B"":0.6274509803921569,""OR"":0.5123152709359606}","[[36,0,0,0],[0,33,20,19],[0,2,64,6],[0,26,48,52]]","[""healthy"",""IR"",""B"",""OR""]"
