n_real,metric,comparison,seeds,mean_delta,wins,p_raw,delta_values,holm_q
5,acc,llm_v4_nsyn20>rule_nsyn20,10,0.11273999999999999,10,0.0009765625,0.1797;0.0654;0.0392;0.1340;0.0327;0.0196;0.2124;0.1797;0.1275;0.1372,0.001953125
5,acc,llm_v4_nsyn20>noise_nsyn20,10,0.11961999999999999,9,0.0029296875,0.2778;0.1405;0.0196;-0.0589;0.1210;0.1471;0.1438;0.1536;0.1896;0.0621,0.0029296875
5,macro_f1,llm_v4_nsyn20>rule_nsyn20,10,0.18009999999999998,9,0.0048828125,0.3563;0.0718;0.0022;0.1898;-0.0195;0.0106;0.3406;0.2933;0.3142;0.2417,0.009765625
5,macro_f1,llm_v4_nsyn20>noise_nsyn20,10,0.12028,8,0.0185546875,0.3666;0.2117;0.0459;-0.1750;0.1443;0.1683;0.0625;0.1814;0.2328;-0.0357,0.0185546875
10,acc,llm_v4_nsyn20>rule_nsyn20,10,0.04476000000000001,9,0.0029296875,0.0327;0.0131;0.0392;-0.0099;0.0229;0.0098;0.1405;0.0654;0.1143;0.0196,0.005859375
10,acc,llm_v4_nsyn20>noise_nsyn20,10,0.09999,9,0.009765625,0.0229;0.1536;0.0915;-0.0981;0.1699;0.1699;0.0523;0.0327;0.1797;0.2255,0.009765625
10,macro_f1,llm_v4_nsyn20>rule_nsyn20,10,0.04645999999999997,8,0.0185546875,0.0420;-0.0014;0.0128;-0.0217;0.0515;0.0013;0.2871;0.0294;0.0573;0.0063,0.01953125
10,macro_f1,llm_v4_nsyn20>noise_nsyn20,10,0.10375999999999999,9,0.009765625,0.0281;0.2093;0.0536;-0.0916;0.1691;0.1580;0.0557;0.0559;0.1883;0.2112,0.01953125
25,acc,llm_v4_nsyn20>rule_nsyn20,10,0.022519999999999995,5,0.05078125,-0.0262;0.0850;0.0457;0.0326;-0.0033;-0.0033;0.0294;0.0000;0.0653;0.0000,0.1015625
25,acc,llm_v4_nsyn20>noise_nsyn20,10,0.021889999999999986,8,0.0908203125,0.0359;0.0066;0.0032;0.1013;-0.0196;0.0131;-0.0359;0.0130;0.0882;0.0131,0.1015625
25,macro_f1,llm_v4_nsyn20>rule_nsyn20,10,0.02731000000000001,6,0.052734375,-0.0044;0.0942;0.0439;0.0437;0.0070;-0.0093;0.0204;-0.0028;0.0810;-0.0006,0.052734375
25,macro_f1,llm_v4_nsyn20>noise_nsyn20,10,0.035230000000000004,8,0.0048828125,0.0370;0.0116;0.0195;0.1009;-0.0007;0.0166;-0.0033;0.0139;0.1178;0.0390,0.009765625
