pool,class,n,mmd2,nn_div,nn_div_real
open_loop_basic,healthy,135,0.7769009920092375,1.3263151950723593,0.8910099498812614
open_loop_basic,OR,142,1.2786252854480207,0.7972321071435781,0.41224848199182956
open_loop_basic,IR,139,1.5247664575919373,1.6169494949216308,0.859753275583386
open_loop_phys,healthy,150,0.14808046911950035,0.3494628858277436,0.8910099498812614
open_loop_phys,OR,150,0.045133006149662425,0.4224407238220371,0.41224848199182956
open_loop_phys,IR,150,0.08286446789717528,0.7161975216143895,0.859753275583386
stats_only,healthy,83,0.10698819249242697,0.41977737096566836,0.8910099498812614
stats_only,OR,114,0.08001190390697777,0.4739336390326878,0.41224848199182956
stats_only,IR,56,0.22109063325450773,0.9360054572161604,0.859753275583386
envelope_only,healthy,150,0.14808046911950035,0.3494628858277436,0.8910099498812614
envelope_only,OR,143,0.047377847095413594,0.44118561422464525,0.41224848199182956
envelope_only,IR,149,0.08210614825369045,0.7163217192006431,0.859753275583386
breeze_k0,healthy,370,0.11792168881385057,0.3481996787158008,0.8910099498812614
breeze_k0,OR,559,0.08468332996860095,0.4036778903474088,0.41224848199182956
breeze_k0,IR,244,0.21540952653909007,0.7121100923079323,0.859753275583386
breeze_k1,healthy,430,0.1318828009836348,0.3353657482725165,0.8910099498812614
breeze_k1,OR,599,0.08211644838033894,0.40555614481068486,0.41224848199182956
breeze_k1,IR,304,0.20938737798255636,0.6872799715495824,0.859753275583386
breeze_k2,healthy,490,0.12670070671448186,0.33998912198818565,0.8910099498812614
breeze_k2,OR,618,0.07822073886058156,0.4138638554953658,0.41224848199182956
breeze_k2,IR,353,0.1990287322319375,0.6921805386769027,0.859753275583386
breeze_k3,healthy,519,0.13775190930799863,0.3305453435974276,0.8910099498812614
breeze_k3,OR,638,0.07755497271131095,0.4239217820891123,0.41224848199182956
breeze_k3,IR,390,0.19904803824985984,0.6919175490635457,0.859753275583386
