dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N09_M07_F10,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4368,0.3654,"{""healthy"":0.5255781359495445,""OR"":0.5706134094151213,""IR"":0.0}","[[1500,0,0],[903,600,0],[1805,0,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.3952,0.3089,"{""healthy"":0.41855561412756986,""OR"":0.5082854244166385,""IR"":0.0}","[[397,1103,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.3380,0.2798,"{""healthy"":0.4157341471685317,""OR"":0.415976821192053,""IR"":0.007629427792915531}","[[613,887,0],[475,1005,23],[361,1437,7]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.4721,0.4359,"{""healthy"":0.5556601996609531,""OR"":0.4408713692946058,""IR"":0.3110550651534258}","[[1475,0,25],[899,425,179],[1435,0,370]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.4368,0.3654,"{""healthy"":0.5255781359495445,""OR"":0.5706134094151213,""IR"":0.0}","[[1500,0,0],[903,600,0],[1805,0,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.3145,0.1641,"{""healthy"":0.015873015873015872,""OR"":0.4764930114358323,""IR"":0.0}","[[12,1488,0],[0,1500,3],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.7184,0.6880,"{""healthy"":0.8008036739380023,""OR"":0.5140879881364311,""IR"":0.7490873691895839}","[[1395,0,105],[323,520,660],[266,0,1539]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.4507,0.3913,"{""healthy"":0.5318205991845417,""OR"":0.5706134094151213,""IR"":0.07158119658119658}","[[1500,0,0],[903,600,0],[1738,0,67]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.2600,0.1700,"{""healthy"":0.0,""OR"":0.44517248024667566,""IR"":0.06491288008199522}","[[0,821,679],[0,1155,348],[0,1710,95]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.4218,0.4191,"{""healthy"":0.4696558915537018,""OR"":0.5187007874015748,""IR"":0.2689135891000359}","[[1126,2,372],[739,527,237],[1430,0,375]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5}",60,0.4796,0.3938,"{""healthy"":0.718974358974359,""OR"":0.462522384241494,""IR"":0.0}","[[1402,98,0],[597,904,2],[401,1404,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5}",60,0.4821,0.4443,"{""healthy"":0.5466472303206997,""OR"":0.5692527367920038,""IR"":0.21706956092747903}","[[1500,0,0],[903,598,2],[1585,0,220]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5}",60,0.4366,0.3415,"{""healthy"":0.6447170217344523,""OR"":0.37989886219974717,""IR"":0.0}","[[1498,2,0],[902,601,0],[747,1058,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5}",60,0.4368,0.3650,"{""healthy"":0.5262234695667427,""OR"":0.5687203791469194,""IR"":0.0}","[[1500,0,0],[903,600,0],[1798,7,0]]","[""healthy"",""OR"",""IR""]"
