dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N09_M07_F10,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.3613,0.2552,"{""healthy"":0.4952129415648729,""OR"":0.2703936109526526,""IR"":0.0}","[[1500,0,0],[1266,237,0],[1792,13,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.3120,0.1585,"{""healthy"":0.0,""OR"":0.4755865567533291,""IR"":0.0}","[[0,1500,0],[0,1500,3],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.4861,0.3569,"{""healthy"":0.0,""OR"":0.432520325203252,""IR"":0.6382602545968883}","[[0,425,1075],[0,532,971],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.2594,0.1957,"{""healthy"":0.0,""OR"":0.42570281124497994,""IR"":0.1612992017616295}","[[0,513,987],[1,954,548],[0,1512,293]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.3103,0.1580,"{""healthy"":0.0,""OR"":0.47395171537484115,""IR"":0.0}","[[0,1496,4],[0,1492,11],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.3846,0.2948,"{""healthy"":0.3822744260544581,""OR"":0.5021892893230043,""IR"":0.0}","[[358,1142,0],[12,1491,0],[3,1802,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.3941,0.2230,"{""healthy"":0.013218770654329148,""OR"":0.10227272727272728,""IR"":0.5534591194968553}","[[10,0,1490],[2,81,1420],[1,0,1804]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.4960,0.3843,"{""healthy"":0.0,""OR"":0.553171196948021,""IR"":0.5997674032231267}","[[0,14,1486],[0,580,923],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.5062,0.3797,"{""healthy"":0.0,""OR"":0.4753265602322206,""IR"":0.6638059701492537}","[[0,572,928],[0,655,848],[0,26,1779]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.3760,0.1910,"{""healthy"":0.0,""OR"":0.00398406374501992,""IR"":0.569131325871039}","[[0,0,1500],[267,3,1233],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5}",60,0.4478,0.3186,"{""healthy"":0.0,""OR"":0.37776578521316784,""IR"":0.578069894196858}","[[0,0,1500],[23,350,1130],[2,0,1803]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5}",60,0.4164,0.2642,"{""healthy"":0.17142857142857143,""OR"":0.0026578073089701,""IR"":0.6185743660041124}","[[195,0,1305],[580,2,921],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5}",60,0.5449,0.5026,"{""healthy"":0.6547359231776517,""OR"":0.35858310626703,""IR"":0.49452954048140046}","[[1500,0,0],[571,329,603],[1011,3,791]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5}",60,0.4634,0.3433,"{""healthy"":0.03487064116985377,""OR"":0.3463393248575186,""IR"":0.6485513766420731}","[[31,380,1089],[247,395,861],[0,3,1802]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,14,"{""0"":5,""1"":5,""2"":5}",60,0.3415,0.2789,"{""healthy"":0.4333854050435171,""OR"":0.4032451923076923,""IR"":0.0}","[[971,529,0],[830,671,2],[1180,625,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,15,"{""0"":5,""1"":5,""2"":5}",60,0.4459,0.3765,"{""healthy"":0.5995337995337995,""OR"":0.5298270384751147,""IR"":0.0}","[[643,857,0],[2,1501,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,16,"{""0"":5,""1"":5,""2"":5}",60,0.3128,0.1604,"{""healthy"":0.47588832487309646,""OR"":0.0053085600530856005,""IR"":0.0}","[[1500,0,0],[1499,4,0],[1805,0,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,17,"{""0"":5,""1"":5,""2"":5}",60,0.3754,0.1821,"{""healthy"":0.0,""OR"":0.0,""IR"":0.5463901922203723}","[[0,0,1500],[6,0,1497],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,18,"{""0"":5,""1"":5,""2"":5}",60,0.3220,0.2574,"{""healthy"":0.0,""OR"":0.3694908432280137,""IR"":0.40281329923273657}","[[0,1373,127],[19,918,566],[0,1175,630]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,19,"{""0"":5,""1"":5,""2"":5}",60,0.3111,0.1776,"{""healthy"":0.0,""OR"":0.5326686843510771,""IR"":0.0}","[[0,813,687],[3,1496,4],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,20,"{""0"":5,""1"":5,""2"":5}",60,0.2542,0.1963,"{""healthy"":0.0,""OR"":0.3383988139362491,""IR"":0.25060827250608275}","[[0,1484,16],[254,913,336],[0,1496,309]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,21,"{""0"":5,""1"":5,""2"":5}",60,0.4208,0.3390,"{""healthy"":0.5306633291614519,""OR"":0.4862426702751466,""IR"":0.0}","[[1484,16,0],[963,539,1],[1646,159,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,22,"{""0"":5,""1"":5,""2"":5}",60,0.3124,0.1587,"{""healthy"":0.0,""OR"":0.47606973058637087,""IR"":0.0}","[[0,1500,0],[0,1502,1],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,23,"{""0"":5,""1"":5,""2"":5}",60,0.4597,0.3296,"{""healthy"":0.0,""OR"":0.3922518159806295,""IR"":0.596694214876033}","[[0,157,1343],[1,405,1097],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,24,"{""0"":5,""1"":5,""2"":5}",60,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,25,"{""0"":5,""1"":5,""2"":5}",60,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,26,"{""0"":5,""1"":5,""2"":5}",60,0.4318,0.3264,"{""healthy"":0.38006230529595014,""OR"":0.0013280212483399733,""IR"":0.5979591836734693}","[[610,2,888],[760,1,742],[340,0,1465]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,27,"{""0"":5,""1"":5,""2"":5}",60,0.3754,0.1820,"{""healthy"":0.0,""OR"":0.0,""IR"":0.5458944503251172}","[[0,0,1500],[0,0,1503],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
