dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N15_M07_F04,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4370,0.3416,"{""healthy"":0.0,""OR"":0.49875311720698257,""IR"":0.5259103641456583}","[[0,0,1502],[0,600,901],[0,305,1502]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.6503,0.6607,"{""healthy"":0.9993346640053227,""OR"":0.5047169811320755,""IR"":0.47796399751707014}","[[1502,0,0],[0,856,645],[2,1035,770]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.7933,0.7919,"{""healthy"":0.9996669996669997,""OR"":0.6279505432746347,""IR"":0.74822695035461}","[[1501,0,1],[0,838,663],[0,330,1477]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.6694,0.6033,"{""healthy"":0.8261826182618262,""OR"":0.28860190903986527,""IR"":0.6952177016416845}","[[1502,0,0],[309,257,935],[323,23,1461]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5846,0.5362,"{""healthy"":0.922177791448785,""OR"":0.5756475429678044,""IR"":0.11081322609472744}","[[1499,0,3],[8,1189,304],[242,1441,124]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.4401,0.3600,"{""healthy"":0.06816720257234726,""OR"":0.4909983633387889,""IR"":0.5209037537804662}","[[53,0,1449],[0,600,901],[0,343,1464]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.7497,0.7379,"{""healthy"":0.9868465430016864,""OR"":0.507399577167019,""IR"":0.7193473193473193}","[[1463,0,39],[0,600,901],[0,264,1543]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.5726,0.5552,"{""healthy"":0.8335183129855716,""OR"":0.4261437908496732,""IR"":0.4059539918809202}","[[1502,0,0],[300,652,549],[300,907,600]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.6827,0.6883,"{""healthy"":0.9966821499668215,""OR"":0.5848849945235487,""IR"":0.4834123222748815}","[[1502,0,0],[0,1068,433],[10,1083,714]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.3946,0.3991,"{""healthy"":0.4451345755693582,""OR"":0.44327429392053613,""IR"":0.3088319088319088}","[[430,486,586],[0,926,575],[0,1265,542]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,10,"{""0"":5,""1"":5,""2"":5}",60,0.5778,0.5606,"{""healthy"":0.8335183129855716,""OR"":0.40981929764745995,""IR"":0.43853389555627637}","[[1502,0,0],[300,601,600],[300,831,676]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,11,"{""0"":5,""1"":5,""2"":5}",60,0.6929,0.6945,"{""healthy"":0.9973297730307076,""OR"":0.46910010842067223,""IR"":0.617059891107078}","[[1494,0,8],[0,649,852],[0,617,1190]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,12,"{""0"":5,""1"":5,""2"":5}",60,0.5977,0.5810,"{""healthy"":0.8335183129855716,""OR"":0.424092990489609,""IR"":0.48536355051935787}","[[1502,0,0],[300,602,599],[300,736,771]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,13,"{""0"":5,""1"":5,""2"":5}",60,0.6549,0.6585,"{""healthy"":0.9960185799601858,""OR"":0.42134831460674155,""IR"":0.5582756785524216}","[[1501,0,1],[0,600,901],[11,747,1049]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,14,"{""0"":5,""1"":5,""2"":5}",60,0.5466,0.5226,"{""healthy"":0.6174717368961973,""OR"":0.5190311418685121,""IR"":0.4314367580843226}","[[1502,0,0],[792,600,109],[1069,211,527]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,15,"{""0"":5,""1"":5,""2"":5}",60,0.5091,0.5173,"{""healthy"":0.565425023877746,""OR"":0.4921246062303115,""IR"":0.4943242664382095}","[[592,0,910],[0,703,798],[0,653,1154]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,16,"{""0"":5,""1"":5,""2"":5}",60,0.6148,0.6002,"{""healthy"":0.8335183129855716,""OR"":0.47409414155096513,""IR"":0.4929807378387202}","[[1502,0,0],[300,700,501],[300,752,755]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,17,"{""0"":5,""1"":5,""2"":5}",60,0.4387,0.3593,"{""healthy"":0.5444001449800653,""OR"":0.524704853519895,""IR"":0.008815426997245178}","[[1502,0,0],[901,600,0],[1613,186,8]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,18,"{""0"":5,""1"":5,""2"":5}",60,0.6867,0.5677,"{""healthy"":0.9980066445182725,""OR"":0.0,""IR"":0.7050303386181249}","[[1502,0,0],[0,0,1501],[6,0,1801]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,19,"{""0"":5,""1"":5,""2"":5}",60,0.5763,0.5224,"{""healthy"":0.8335183129855716,""OR"":0.5541303232426885,""IR"":0.1794145420207743}","[[1502,0,0],[300,1080,121],[300,1317,190]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,20,"{""0"":5,""1"":5,""2"":5}",60,0.6751,0.5771,"{""healthy"":0.9437420986093552,""OR"":0.09962168978562422,""IR"":0.6878850102669405}","[[1493,0,9],[43,79,1379],[126,6,1675]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,21,"{""0"":5,""1"":5,""2"":5}",60,0.6667,0.6767,"{""healthy"":0.985981308411215,""OR"":0.5341246290801187,""IR"":0.510141364474493}","[[1477,9,16],[0,900,601],[17,960,830]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,22,"{""0"":5,""1"":5,""2"":5}",60,0.4992,0.4022,"{""healthy"":0.0,""OR"":0.6333601933924254,""IR"":0.5731014904187367}","[[0,3,1499],[0,786,715],[0,192,1615]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,23,"{""0"":5,""1"":5,""2"":5}",60,0.5881,0.5731,"{""healthy"":0.570884871550904,""OR"":0.5265467310223783,""IR"":0.6218744035121206}","[[600,0,902],[0,600,901],[0,178,1629]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,24,"{""0"":5,""1"":5,""2"":5}",60,0.4549,0.3872,"{""healthy"":0.6276838739150297,""OR"":0.5337837837837838,""IR"":0.0}","[[687,815,0],[0,1501,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,25,"{""0"":5,""1"":5,""2"":5}",60,0.6324,0.6194,"{""healthy"":0.8672055427251733,""OR"":0.5567258501354198,""IR"":0.4341687257324391}","[[1502,0,0],[165,925,411],[295,897,615]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,26,"{""0"":5,""1"":5,""2"":5}",60,0.5929,0.4970,"{""healthy"":0.8710618436406068,""OR"":0.6199817518248175,""IR"":0.0}","[[1493,9,0],[141,1359,1],[292,1515,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,27,"{""0"":5,""1"":5,""2"":5}",60,0.4299,0.3372,"{""healthy"":0.0,""OR"":0.49634443541835904,""IR"":0.5152050919377652}","[[0,0,1502],[0,611,890],[0,350,1457]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,28,"{""0"":5,""1"":5,""2"":5}",60,0.5657,0.4777,"{""healthy"":0.8428731762065096,""OR"":0.5706818721786647,""IR"":0.01949106659447753}","[[1502,0,0],[278,1201,22],[282,1507,18]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,29,"{""0"":5,""1"":5,""2"":5}",60,0.7004,0.7060,"{""healthy"":0.986437313926563,""OR"":0.5298858294157153,""IR"":0.601823708206687}","[[1491,0,11],[0,789,712],[30,688,1089]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,30,"{""0"":5,""1"":5,""2"":5}",60,0.6168,0.6080,"{""healthy"":0.8874446085672083,""OR"":0.45154419595314166,""IR"":0.48507899356348744}","[[1502,0,0],[83,636,782],[298,680,829]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,31,"{""0"":5,""1"":5,""2"":5}",60,0.2653,0.2158,"{""healthy"":0.003986710963455149,""OR"":0.3664167916041979,""IR"":0.2769874476987448}","[[3,78,1421],[0,611,890],[0,1145,662]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,32,"{""0"":5,""1"":5,""2"":5}",60,0.7728,0.7553,"{""healthy"":0.9638055842812823,""OR"":0.5417439703153989,""IR"":0.7604646066184527}","[[1398,0,104],[0,584,917],[1,71,1735]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,33,"{""0"":5,""1"":5,""2"":5}",60,0.6701,0.6721,"{""healthy"":0.9990023279015631,""OR"":0.4326647564469914,""IR"":0.5846637006019366}","[[1502,0,0],[0,604,897],[3,687,1117]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,34,"{""0"":5,""1"":5,""2"":5}",60,0.3763,0.2737,"{""healthy"":0.50360435875943,""OR"":0.08145363408521303,""IR"":0.23603691112190384}","[[1502,0,0],[1427,65,9],[1534,30,243]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,35,"{""0"":5,""1"":5,""2"":5}",60,0.6042,0.5873,"{""healthy"":0.832825062378708,""OR"":0.42841842199214564,""IR"":0.5006226650062267}","[[1502,0,0],[300,600,601],[303,700,804]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,36,"{""0"":5,""1"":5,""2"":5}",60,0.6441,0.6302,"{""healthy"":0.8730020342923569,""OR"":0.4581261950286807,""IR"":0.5594837261503928}","[[1502,0,0],[142,599,760],[295,515,997]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,37,"{""0"":5,""1"":5,""2"":5}",60,0.5104,0.5165,"{""healthy"":0.7758761206193969,""OR"":0.571767497034401,""IR"":0.20196543544561166}","[[952,0,550],[0,1205,296],[0,1509,298]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,38,"{""0"":5,""1"":5,""2"":5}",60,0.5979,0.5875,"{""healthy"":0.8913946587537092,""OR"":0.5018072289156627,""IR"":0.36928327645051195}","[[1502,0,0],[86,833,582],[280,986,541]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,5,39,"{""0"":5,""1"":5,""2"":5}",60,0.4399,0.3719,"{""healthy"":0.5702046644455021,""OR"":0.5268703898840885,""IR"":0.01863013698630137}","[[599,903,0],[0,1500,1],[0,1790,17]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.5649,0.5314,"{""healthy"":0.8335183129855716,""OR"":0.5012517385257301,""IR"":0.2593969434118133}","[[1502,0,0],[300,901,300],[300,1193,314]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.6200,0.6039,"{""healthy"":0.962512015379686,""OR"":0.5650857719475277,""IR"":0.28402366863905326}","[[1502,0,0],[13,1120,368],[104,1343,360]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.6004,0.5934,"{""healthy"":0.9947019867549669,""OR"":0.5225450901803608,""IR"":0.2630368098159509}","[[1502,0,0],[0,1043,458],[16,1448,343]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.7823,0.7645,"{""healthy"":0.9970129439097245,""OR"":0.535475234270415,""IR"":0.760879523591388}","[[1502,0,0],[3,600,898],[6,140,1661]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.6834,0.6476,"{""healthy"":0.9909668785547006,""OR"":0.28477133427628476,""IR"":0.6669623059866963}","[[1481,21,0],[0,302,1199],[6,297,1504]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,5,"{""0"":10,""1"":10,""2"":10}",60,0.6191,0.5496,"{""healthy"":0.9983372131692717,""OR"":0.6117247238742566,""IR"":0.03884514435695538}","[[1501,1,0],[0,1440,61],[4,1766,37]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,6,"{""0"":10,""1"":10,""2"":10}",60,0.5622,0.4684,"{""healthy"":0.834212718689253,""OR"":0.5710213776722091,""IR"":0.0}","[[1502,0,0],[297,1202,2],[300,1507,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,7,"{""0"":10,""1"":10,""2"":10}",60,0.6033,0.6176,"{""healthy"":0.9016453382084095,""OR"":0.4226840436773512,""IR"":0.5284231339594662}","[[1233,0,269],[0,600,901],[0,738,1069]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,8,"{""0"":10,""1"":10,""2"":10}",60,0.5212,0.5458,"{""healthy"":0.7504159733777038,""OR"":0.4351575456053068,""IR"":0.45179719114496547}","[[902,0,600],[0,656,845],[0,858,949]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,9,"{""0"":10,""1"":10,""2"":10}",60,0.4846,0.4310,"{""healthy"":0.18489425981873112,""OR"":0.5757009345794393,""IR"":0.5323251417769376}","[[153,5,1344],[0,770,731],[0,399,1408]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,10,"{""0"":10,""1"":10,""2"":10}",60,0.7455,0.7232,"{""healthy"":0.9045468232460102,""OR"":0.5456282847587195,""IR"":0.7194484070375654}","[[1502,0,0],[44,571,886],[273,21,1513]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,11,"{""0"":10,""1"":10,""2"":10}",60,0.6299,0.5457,"{""healthy"":0.9600511345477788,""OR"":0.6434558349451966,""IR"":0.03373231773667029}","[[1502,0,0],[4,1497,0],[121,1655,31]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,12,"{""0"":10,""1"":10,""2"":10}",60,0.6821,0.5634,"{""healthy"":0.9904322005938634,""OR"":0.0,""IR"":0.699685534591195}","[[1501,0,1],[1,0,1500],[27,0,1780]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,13,"{""0"":10,""1"":10,""2"":10}",60,0.5994,0.5831,"{""healthy"":0.8337496530668888,""OR"":0.484310618066561,""IR"":0.43116701607267643}","[[1502,0,0],[299,764,438],[300,890,617]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,14,"{""0"":10,""1"":10,""2"":10}",60,0.5929,0.5351,"{""healthy"":0.8679572377925455,""OR"":0.593455627169063,""IR"":0.144}","[[1502,0,0],[139,1197,165],[318,1336,153]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,15,"{""0"":10,""1"":10,""2"":10}",60,0.5518,0.4802,"{""healthy"":0.8367688022284122,""OR"":0.5396825396825397,""IR"":0.06406406406406406}","[[1502,0,0],[286,1088,127],[300,1443,64]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,16,"{""0"":10,""1"":10,""2"":10}",60,0.6202,0.5981,"{""healthy"":0.8337496530668888,""OR"":0.4012539184952978,""IR"":0.5593073593073593}","[[1502,0,0],[300,512,689],[299,539,969]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,noise_aug,10,17,"{""0"":10,""1"":10,""2"":10}",60,0.6252,0.6378,"{""healthy"":0.9764906303236798,""OR"":0.5098925946862635,""IR"":0.4270734032411821}","[[1433,0,69],[0,902,599],[0,1135,672]]","[""healthy"",""OR"",""IR""]"
