dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N15_M07_F04,real_only,5,0,"{""0"":5,""1"":5,""2"":5}",0,0.4468,0.3484,"{""healthy"":0.0,""OR"":0.5061780997017469,""IR"":0.538901403569572}","[[0,0,1502],[0,594,907],[0,252,1555]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,1,"{""0"":5,""1"":5,""2"":5}",0,0.3123,0.1593,"{""healthy"":0.0,""OR"":0.4755865567533291,""IR"":0.0022099447513812156}","[[0,1502,0],[0,1500,1],[0,1805,2]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,2,"{""0"":5,""1"":5,""2"":5}",0,0.4185,0.3546,"{""healthy"":0.500998003992016,""OR"":0.5110994581366894,""IR"":0.051715039577836415}","[[502,1000,0],[0,1462,39],[0,1758,49]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,3,"{""0"":5,""1"":5,""2"":5}",0,0.3424,0.2750,"{""healthy"":0.0,""OR"":0.5306868634108122,""IR"":0.2942410818372581}","[[0,136,1366],[0,1016,485],[0,1176,631]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,4,"{""0"":5,""1"":5,""2"":5}",0,0.3121,0.1586,"{""healthy"":0.0,""OR"":0.4756773886864205,""IR"":0.0}","[[0,1502,0],[0,1501,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,5,"{""0"":5,""1"":5,""2"":5}",0,0.3121,0.1650,"{""healthy"":0.0,""OR"":0.49505277044854884,""IR"":0.0}","[[0,1255,247],[0,1501,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,6,"{""0"":5,""1"":5,""2"":5}",0,0.2963,0.2320,"{""healthy"":0.0,""OR"":0.5039864701618748,""IR"":0.19200804222166373}","[[0,170,1332],[0,1043,458],[0,1425,382]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,7,"{""0"":5,""1"":5,""2"":5}",0,0.3181,0.1719,"{""healthy"":0.037883736120182886,""OR"":0.4778732887615409,""IR"":0.0}","[[29,1473,0],[0,1501,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,8,"{""0"":5,""1"":5,""2"":5}",0,0.3222,0.1984,"{""healthy"":0.0,""OR"":0.46539849130862576,""IR"":0.1297029702970297}","[[0,1502,0],[0,1419,82],[0,1676,131]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,9,"{""0"":5,""1"":5,""2"":5}",0,0.3121,0.1586,"{""healthy"":0.0,""OR"":0.4756773886864205,""IR"":0.0}","[[0,1502,0],[0,1501,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,10,"{""0"":5,""1"":5,""2"":5}",0,0.6439,0.5342,"{""healthy"":0.9240687679083095,""OR"":0.0,""IR"":0.6784306363807021}","[[1290,0,212],[0,0,1501],[0,0,1807]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,11,"{""0"":5,""1"":5,""2"":5}",0,0.3121,0.1586,"{""healthy"":0.0,""OR"":0.4756773886864205,""IR"":0.0}","[[0,1502,0],[0,1501,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,12,"{""0"":5,""1"":5,""2"":5}",0,0.3123,0.1586,"{""healthy"":0.4759188846641318,""OR"":0.0,""IR"":0.0}","[[1502,0,0],[1501,0,0],[1807,0,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,13,"{""0"":5,""1"":5,""2"":5}",0,0.5805,0.4831,"{""healthy"":0.8353863381858903,""OR"":0.6127358490566037,""IR"":0.0011061946902654867}","[[1492,10,0],[202,1299,0],[376,1430,1]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,14,"{""0"":5,""1"":5,""2"":5}",0,0.3121,0.1586,"{""healthy"":0.0,""OR"":0.4756773886864205,""IR"":0.0}","[[0,1502,0],[0,1501,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,real_only,5,15,"{""0"":5,""1"":5,""2"":5}",0,0.3258,0.2663,"{""healthy"":0.0,""OR"":0.5052215636466272,""IR"":0.2937704918032787}","[[0,12,1490],[0,895,606],[0,1135,672]]","[""healthy"",""OR"",""IR""]"
