dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N15_M07_F04,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4938,0.3850,"{""healthy"":0.0,""OR"":0.5613540197461213,""IR"":0.5935570021699216}","[[0,0,1502],[0,597,904],[0,29,1778]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.4048,0.3458,"{""healthy"":0.33665559246954596,""OR"":0.16271463614063778,""IR"":0.5380029806259314}","[[304,383,815],[0,199,1302],[0,363,1444]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.4464,0.3383,"{""healthy"":0.0,""OR"":0.4368141592920354,""IR"":0.5781220479879086}","[[0,430,1072],[0,617,884],[0,277,1530]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.5019,0.3930,"{""healthy"":0.5735992402659069,""OR"":0.003989361702127659,""IR"":0.6013311148086522}","[[604,0,898],[0,3,1498],[0,0,1807]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.3659,0.1806,"{""healthy"":0.0,""OR"":0.0,""IR"":0.5417051400430902}","[[0,72,1430],[0,0,1501],[0,47,1760]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.3432,0.2763,"{""healthy"":0.0,""OR"":0.44407567208762033,""IR"":0.38472086190009797}","[[0,18,1484],[0,669,832],[0,825,982]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.3757,0.1821,"{""healthy"":0.0,""OR"":0.0,""IR"":0.5461689587426326}","[[0,0,1502],[0,0,1501],[0,0,1807]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.4374,0.3053,"{""healthy"":0.0,""OR"":0.3470715835140998,""IR"":0.5686962065667835}","[[0,0,1502],[0,320,1181],[0,23,1784]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.3734,0.1872,"{""healthy"":0.0,""OR"":0.002348796241926013,""IR"":0.5593141075604053}","[[0,187,1315],[0,2,1499],[0,13,1794]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F04,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.3757,0.1821,"{""healthy"":0.0,""OR"":0.0,""IR"":0.5461689587426326}","[[0,0,1502],[0,0,1501],[0,0,1807]]","[""healthy"",""OR"",""IR""]"
