dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N09_M07_F10,real_only,5,0,"{""0"":5,""1"":5,""2"":5}",0,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,real_only,5,1,"{""0"":5,""1"":5,""2"":5}",0,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,real_only,5,2,"{""0"":5,""1"":5,""2"":5}",0,0.4757,0.4099,"{""healthy"":0.7003105590062112,""OR"":0.529434250764526,""IR"":0.0}","[[902,598,0],[115,1385,3],[59,1746,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,real_only,5,3,"{""0"":5,""1"":5,""2"":5}",0,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,real_only,5,4,"{""0"":5,""1"":5,""2"":5}",0,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,real_only,5,5,"{""0"":5,""1"":5,""2"":5}",0,0.3650,0.1960,"{""healthy"":0.0,""OR"":0.060496067755595885,""IR"":0.5276187529011295}","[[0,0,1500],[0,50,1453],[0,100,1705]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,real_only,5,6,"{""0"":5,""1"":5,""2"":5}",0,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,real_only,5,7,"{""0"":5,""1"":5,""2"":5}",0,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,real_only,5,8,"{""0"":5,""1"":5,""2"":5}",0,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,real_only,5,9,"{""0"":5,""1"":5,""2"":5}",0,0.3124,0.1587,"{""healthy"":0.0,""OR"":0.47614518941195116,""IR"":0.0}","[[0,1500,0],[1,1502,0],[1,1804,0]]","[""healthy"",""OR"",""IR""]"
