dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N15_M01_F10,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.3706,0.2844,"{""healthy"":0.3169092945128779,""OR"":0.5361671727094124,""IR"":0.0}","[[283,787,433],[0,1501,3],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.3124,0.1669,"{""healthy"":0.0,""OR"":0.5005824596438675,""IR"":0.0}","[[0,1194,309],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.3428,0.2667,"{""healthy"":0.0,""OR"":0.4267413931144916,""IR"":0.37328219878555446}","[[0,1203,300],[0,1066,438],[0,1223,584]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.4196,0.4083,"{""healthy"":0.4639754726622381,""OR"":0.5397248113626276,""IR"":0.2211690363349131}","[[454,329,720],[0,1216,288],[0,1457,350]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.4248,0.3500,"{""healthy"":0.5293542074363993,""OR"":0.52068547689112,""IR"":0.0}","[[541,962,0],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.3052,0.1853,"{""healthy"":0.05058365758754864,""OR"":0.5035260930888575,""IR"":0.0016570008285004142}","[[39,935,529],[0,1428,76],[0,1805,2]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.4115,0.3335,"{""healthy"":0.4818181818181818,""OR"":0.5187995860641601,""IR"":0.0}","[[477,983,43],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.3135,0.1823,"{""healthy"":0.006631299734748011,""OR"":0.5402298850574713,""IR"":0.0}","[[5,753,745],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.3195,0.1800,"{""healthy"":0.04424202992843201,""OR"":0.4958786679854929,""IR"":0.0}","[[34,1251,218],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.3496,0.2721,"{""healthy"":0.0,""OR"":0.43445243804956035,""IR"":0.3819288689522589}","[[0,1202,301],[0,1087,417],[0,1211,596]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5}",60,0.3130,0.1680,"{""healthy"":0.00398406374501992,""OR"":0.5000831255195345,""IR"":0.0}","[[3,1200,300],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5}",60,0.3174,0.2543,"{""healthy"":0.0,""OR"":0.47215686274509805,""IR"":0.29069767441860467}","[[0,236,1267],[0,903,601],[0,1182,625]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5}",60,0.4678,0.4026,"{""healthy"":0.666080070391553,""OR"":0.5394760614272809,""IR"":0.002197802197802198}","[[757,746,0],[0,1493,11],[13,1792,2]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5}",60,0.3752,0.2869,"{""healthy"":0.3346260387811634,""OR"":0.5259660779856619,""IR"":0.0}","[[302,904,297],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,14,"{""0"":5,""1"":5,""2"":5}",60,0.3968,0.3145,"{""healthy"":0.4253535882661079,""OR"":0.518263266712612,""IR"":0.0}","[[406,989,108],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,15,"{""0"":5,""1"":5,""2"":5}",60,0.3363,0.2137,"{""healthy"":0.14215080346106304,""OR"":0.4989218775916404,""IR"":0.0}","[[115,1214,174],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,16,"{""0"":5,""1"":5,""2"":5}",60,0.4809,0.4157,"{""healthy"":0.7009507346585998,""OR"":0.5462139095696387,""IR"":0.0}","[[811,692,0],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,17,"{""0"":5,""1"":5,""2"":5}",60,0.3417,0.2283,"{""healthy"":0.17153284671532848,""OR"":0.513222999488142,""IR"":0.0}","[[141,1046,316],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,18,"{""0"":5,""1"":5,""2"":5}",60,0.5428,0.4711,"{""healthy"":0.8285394097870751,""OR"":0.5847589424572317,""IR"":0.0}","[[1109,394,0],[0,1504,0],[65,1742,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,19,"{""0"":5,""1"":5,""2"":5}",60,0.3745,0.2773,"{""healthy"":0.3318534961154273,""OR"":0.4999169021106864,""IR"":0.0}","[[299,1202,2],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,20,"{""0"":5,""1"":5,""2"":5}",60,0.3178,0.2757,"{""healthy"":0.11772072636192861,""OR"":0.4405392392874338,""IR"":0.26876450864070156}","[[94,449,960],[0,915,589],[0,1286,521]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,21,"{""0"":5,""1"":5,""2"":5}",60,0.4360,0.3646,"{""healthy"":0.5685714285714286,""OR"":0.5252666550096171,""IR"":0.0}","[[597,906,0],[0,1502,2],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,22,"{""0"":5,""1"":5,""2"":5}",60,0.3126,0.1671,"{""healthy"":0.0013297872340425532,""OR"":0.4999169021106864,""IR"":0.0}","[[1,1202,300],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,23,"{""0"":5,""1"":5,""2"":5}",60,0.3143,0.2423,"{""healthy"":0.0,""OR"":0.42292067564678215,""IR"":0.3039443155452436}","[[0,901,602],[0,989,515],[0,1283,524]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,24,"{""0"":5,""1"":5,""2"":5}",60,0.3124,0.1605,"{""healthy"":0.0,""OR"":0.48158821645853345,""IR"":0.0}","[[0,1431,72],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,25,"{""0"":5,""1"":5,""2"":5}",60,0.3236,0.1832,"{""healthy"":0.06936416184971098,""OR"":0.48020434227330777,""IR"":0.0}","[[54,1449,0],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,26,"{""0"":5,""1"":5,""2"":5}",60,0.2908,0.2139,"{""healthy"":0.0013297872340425532,""OR"":0.4330022298803973,""IR"":0.20745847696646819}","[[1,885,617],[0,1068,436],[0,1476,331]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,27,"{""0"":5,""1"":5,""2"":5}",60,0.2765,0.1790,"{""healthy"":0.0,""OR"":0.4452231648838067,""IR"":0.09174990751017388}","[[0,1028,475],[0,1207,297],[0,1683,124]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,28,"{""0"":5,""1"":5,""2"":5}",60,0.3155,0.1736,"{""healthy"":0.019762845849802372,""OR"":0.5009159034138219,""IR"":0.0}","[[15,1190,298],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,29,"{""0"":5,""1"":5,""2"":5}",60,0.3278,0.2657,"{""healthy"":0.04931862426995458,""OR"":0.43716577540106955,""IR"":0.3106418449569325}","[[38,755,710],[0,981,523],[0,1248,559]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,30,"{""0"":5,""1"":5,""2"":5}",60,0.3745,0.2772,"{""healthy"":0.3318534961154273,""OR"":0.4997507891676358,""IR"":0.0}","[[299,1204,0],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,31,"{""0"":5,""1"":5,""2"":5}",60,0.3124,0.1587,"{""healthy"":0.0,""OR"":0.47610003165558723,""IR"":0.0}","[[0,1503,0],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,32,"{""0"":5,""1"":5,""2"":5}",60,0.3160,0.1666,"{""healthy"":0.02236842105263158,""OR"":0.4773845421361689,""IR"":0.0}","[[17,1486,0],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,33,"{""0"":5,""1"":5,""2"":5}",60,0.4109,0.3314,"{""healthy"":0.4795144157814871,""OR"":0.5147159479808351,""IR"":0.0}","[[474,1029,0],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,34,"{""0"":5,""1"":5,""2"":5}",60,0.3035,0.2178,"{""healthy"":0.0,""OR"":0.4581775241094273,""IR"":0.19513797634691196}","[[0,903,600],[0,1164,340],[0,1510,297]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,35,"{""0"":5,""1"":5,""2"":5}",60,0.4265,0.3549,"{""healthy"":0.5457184325108854,""OR"":0.5189057327060463,""IR"":0.0}","[[564,939,0],[0,1489,15],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,36,"{""0"":5,""1"":5,""2"":5}",60,0.4173,0.3401,"{""healthy"":0.5029880478087649,""OR"":0.5174608635816274,""IR"":0.0}","[[505,998,0],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,37,"{""0"":5,""1"":5,""2"":5}",60,0.3124,0.1587,"{""healthy"":0.0,""OR"":0.47610003165558723,""IR"":0.0}","[[0,1503,0],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,38,"{""0"":5,""1"":5,""2"":5}",60,0.4645,0.4838,"{""healthy"":0.7570168404170008,""OR"":0.4164938954158028,""IR"":0.2778374507697816}","[[944,559,0],[2,904,598],[45,1374,388]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,5,39,"{""0"":5,""1"":5,""2"":5}",60,0.2869,0.1674,"{""healthy"":0.0,""OR"":0.4904847396768402,""IR"":0.011741682974559686}","[[0,908,595],[0,1366,138],[0,1792,15]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M01_F10,custom_pool,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.4541,0.3868,"{""healthy"":0.6242562929061785,""OR"":0.5360898235608625,""IR"":0.0}","[[682,796,25],[0,1504,0],[0,1807,0]]","[""healthy"",""OR"",""IR""]"
