dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N15_M07_F10,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4774,0.3724,"{""healthy"":0.0,""OR"":0.5429864253393665,""IR"":0.5743346329886422}","[[0,0,1501],[0,600,901],[0,109,1694]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.3332,0.1986,"{""healthy"":0.0,""OR"":0.08659981768459435,""IR"":0.5092138630600169}","[[0,301,1200],[0,95,1406],[0,297,1506]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.4618,0.3607,"{""healthy"":0.0,""OR"":0.5268207588312255,""IR"":0.5553645116918845}","[[0,0,1501],[0,604,897],[0,188,1615]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.3981,0.2397,"{""healthy"":0.0963855421686747,""OR"":0.07093096896770108,""IR"":0.5519057948559033}","[[76,0,1425],[0,56,1445],[0,22,1781]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.3763,0.1843,"{""healthy"":0.0,""OR"":0.006640106241699867,""IR"":0.5461154020899591}","[[0,0,1501],[0,5,1496],[0,0,1803]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.3165,0.1665,"{""healthy"":0.0,""OR"":0.47756920139993636,""IR"":0.021941854086670324}","[[0,1501,0],[0,1501,0],[0,1783,20]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.3752,0.1819,"{""healthy"":0.0,""OR"":0.0,""IR"":0.5457021791767555}","[[0,0,1501],[0,0,1501],[0,0,1803]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.4918,0.3815,"{""healthy"":0.0,""OR"":0.5504061156235069,""IR"":0.5940824468085106}","[[0,0,1501],[0,576,925],[0,16,1787]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.3958,0.2583,"{""healthy"":0.0,""OR"":0.23804347826086958,""IR"":0.536927739671399}","[[0,0,1501],[0,219,1282],[0,120,1683]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.3752,0.1819,"{""healthy"":0.0,""OR"":0.0,""IR"":0.5457021791767555}","[[0,0,1501],[0,0,1501],[0,0,1803]]","[""healthy"",""OR"",""IR""]"
