dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N09_M07_F10,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4495,0.3906,"{""healthy"":0.5311778290993071,""OR"":0.5706134094151213,""IR"":0.07006369426751592}","[[1495,0,5],[895,600,8],[1739,0,66]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.4601,0.4517,"{""healthy"":0.6149584487534626,""OR"":0.5243243243243243,""IR"":0.2159090909090909}","[[666,526,308],[0,1261,242],[0,1520,285]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.2444,0.1617,"{""healthy"":0.0,""OR"":0.36027469624933967,""IR"":0.12474353713582273}","[[0,1500,0],[0,1023,480],[0,1653,152]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.3796,0.3086,"{""healthy"":0.5010789814415192,""OR"":0.41250789639924196,""IR"":0.012114537444933921}","[[1161,339,0],[850,653,0],[1123,671,11]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.4368,0.3652,"{""healthy"":0.5259467040673211,""OR"":0.5695301376364499,""IR"":0.0}","[[1500,0,0],[903,600,0],[1801,4,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.5235,0.4459,"{""healthy"":0.1809635722679201,""OR"":0.5340959084909811,""IR"":0.6225846481120368}","[[154,158,1188],[4,607,892],[44,5,1756]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.4143,0.3250,"{""healthy"":0.0,""OR"":0.4786053882725832,""IR"":0.49642346208869814}","[[0,0,1500],[0,604,899],[0,417,1388]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.6304,0.6232,"{""healthy"":0.6079516859587317,""OR"":0.5706134094151213,""IR"":0.6911556936987849}","[[1208,0,292],[684,600,219],[582,0,1223]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.2908,0.1657,"{""healthy"":0.0,""OR"":0.49706666666666666,""IR"":0.0}","[[0,919,581],[0,1398,105],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.4114,0.3839,"{""healthy"":0.41972423463426034,""OR"":0.5293761356753482,""IR"":0.20245700245700246}","[[898,600,2],[607,874,22],[1274,325,206]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5}",60,0.3122,0.1586,"{""healthy"":0.0,""OR"":0.4758281819622761,""IR"":0.0}","[[0,1500,0],[0,1501,2],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5}",60,0.6668,0.6485,"{""healthy"":0.7513148009015778,""OR"":0.5596550071873503,""IR"":0.6346153846153846}","[[1500,0,0],[310,584,609],[683,0,1122]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5}",60,0.4879,0.4108,"{""healthy"":0.6994019515265975,""OR"":0.5330168321104877,""IR"":0.0}","[[1111,389,0],[268,1235,0],[298,1507,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5}",60,0.4351,0.3493,"{""healthy"":0.5558674901740596,""OR"":0.49189627228525123,""IR"":0.0}","[[1485,15,0],[896,607,0],[1462,343,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,14,"{""0"":5,""1"":5,""2"":5}",60,0.4364,0.3650,"{""healthy"":0.5250613389414651,""OR"":0.5700712589073634,""IR"":0.0}","[[1498,2,0],[903,600,0],[1805,0,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,15,"{""0"":5,""1"":5,""2"":5}",60,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,16,"{""0"":5,""1"":5,""2"":5}",60,0.4370,0.3658,"{""healthy"":0.525670229542667,""OR"":0.5706134094151213,""IR"":0.0011074197120708748}","[[1500,0,0],[903,600,0],[1804,0,1]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,17,"{""0"":5,""1"":5,""2"":5}",60,0.4293,0.3391,"{""healthy"":0.592,""OR"":0.4208731241473397,""IR"":0.004422332780541736}","[[1443,57,0],[886,617,0],[1046,755,4]]","[""healthy"",""OR"",""IR""]"
