dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N09_M07_F10,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4364,0.4204,"{""healthy"":0.4861111111111111,""OR"":0.5699333967649858,""IR"":0.20515021459227467}","[[1260,0,240],[858,599,46],[1566,0,239]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.4940,0.4930,"{""healthy"":0.720682302771855,""OR"":0.5594280607685433,""IR"":0.19892665474060822}","[[845,194,461],[0,1252,251],[0,1527,278]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.4208,0.4114,"{""healthy"":0.43161343161343163,""OR"":0.4970828471411902,""IR"":0.3054141601110597}","[[1054,429,17],[855,639,9],[1475,0,330]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.4626,0.4243,"{""healthy"":0.5370778267254038,""OR"":0.5329428989751098,""IR"":0.20292590844738084}","[[1463,0,37],[895,546,62],[1590,0,215]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5857,0.5844,"{""healthy"":0.5841802916482546,""OR"":0.5703422053231939,""IR"":0.5987943737441394}","[[1322,0,178],[794,600,109],[910,1,894]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.4187,0.4247,"{""healthy"":0.4359718193120597,""OR"":0.5573141486810551,""IR"":0.2809611829944547}","[[1052,1,447],[849,581,73],[1425,0,380]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.3494,0.2281,"{""healthy"":0.5422993492407809,""OR"":0.0053085600530856005,""IR"":0.136592937524253}","[[1500,0,0],[903,4,596],[1629,0,176]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.6210,0.6183,"{""healthy"":0.5887894488930758,""OR"":0.5706134094151213,""IR"":0.6954392408937864}","[[1250,0,250],[827,600,76],[669,0,1136]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.4062,0.3258,"{""healthy"":0.027613412228796843,""OR"":0.4517555985623445,""IR"":0.497990174184904}","[[21,607,872],[0,817,686],[0,690,1115]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.3767,0.1848,"{""healthy"":0.0,""OR"":0.007952286282306162,""IR"":0.5463901922203723}","[[0,0,1500],[0,6,1497],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,10,"{""0"":5,""1"":5,""2"":5}",60,0.4501,0.3576,"{""healthy"":0.5397420867526378,""OR"":0.009271523178807948,""IR"":0.523821921374642}","[[1151,0,349],[815,7,681],[799,0,1006]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,11,"{""0"":5,""1"":5,""2"":5}",60,0.5472,0.4924,"{""healthy"":0.5133795837462835,""OR"":0.34014356709000554,""IR"":0.6238119923967513}","[[518,0,982],[0,308,1195],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,12,"{""0"":5,""1"":5,""2"":5}",60,0.4559,0.3963,"{""healthy"":0.5417118093174431,""OR"":0.5502063273727648,""IR"":0.09699525566684239}","[[1500,0,0],[903,600,0],[1635,78,92]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,13,"{""0"":5,""1"":5,""2"":5}",60,0.3783,0.2919,"{""healthy"":0.5255781359495445,""OR"":0.35016465422612514,""IR"":0.0}","[[1500,0,0],[903,319,281],[1805,0,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,14,"{""0"":5,""1"":5,""2"":5}",60,0.4736,0.4611,"{""healthy"":0.516380655226209,""OR"":0.5651551312649165,""IR"":0.30171333054743}","[[1324,0,176],[860,592,51],[1444,0,361]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,15,"{""0"":5,""1"":5,""2"":5}",60,0.6468,0.6279,"{""healthy"":0.6228591401607829,""OR"":0.556997219647822,""IR"":0.703937350445943}","[[891,0,609],[337,601,565],[133,54,1618]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,16,"{""0"":5,""1"":5,""2"":5}",60,0.4497,0.3893,"{""healthy"":0.5317263381779511,""OR"":0.5698005698005698,""IR"":0.06638115631691649}","[[1500,0,0],[902,600,1],[1740,3,62]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,17,"{""0"":5,""1"":5,""2"":5}",60,0.4164,0.2648,"{""healthy"":0.0,""OR"":0.23176470588235293,""IR"":0.5626558603491272}","[[0,0,1500],[0,197,1306],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,18,"{""0"":5,""1"":5,""2"":5}",60,0.3407,0.2210,"{""healthy"":0.4947229551451187,""OR"":0.16819012797074953,""IR"":0.0}","[[1500,0,0],[1259,138,106],[1805,0,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,19,"{""0"":5,""1"":5,""2"":5}",60,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,20,"{""0"":5,""1"":5,""2"":5}",60,0.5135,0.4435,"{""healthy"":0.38536060279870826,""OR"":0.3383084577114428,""IR"":0.6068246764162044}","[[358,0,1142],[0,306,1197],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,21,"{""0"":5,""1"":5,""2"":5}",60,0.3973,0.3226,"{""healthy"":0.533997864008544,""OR"":0.34925864909390447,""IR"":0.08451998162609095}","[[1500,0,0],[905,318,280],[1713,0,92]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,22,"{""0"":5,""1"":5,""2"":5}",60,0.5002,0.3902,"{""healthy"":0.0,""OR"":0.5702087286527514,""IR"":0.6005326231691078}","[[0,3,1497],[0,601,902],[0,1,1804]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,23,"{""0"":5,""1"":5,""2"":5}",60,0.4511,0.4694,"{""healthy"":0.41224862888482633,""OR"":0.5706134094151213,""IR"":0.42524705132292}","[[902,0,598],[836,600,67],[1138,0,667]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,24,"{""0"":5,""1"":5,""2"":5}",60,0.4501,0.3209,"{""healthy"":0.0,""OR"":0.38560687432867885,""IR"":0.5772305724336425}","[[0,0,1500],[0,359,1144],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,25,"{""0"":5,""1"":5,""2"":5}",60,0.4790,0.4544,"{""healthy"":0.7254237288135593,""OR"":0.5195112337406386,""IR"":0.11824014665444546}","[[856,577,67],[4,1318,181],[0,1676,129]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,26,"{""0"":5,""1"":5,""2"":5}",60,0.3748,0.3549,"{""healthy"":0.45409868291724004,""OR"":0.43274244004171014,""IR"":0.17770968977403293}","[[1155,0,345],[859,415,229],[1573,0,232]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,27,"{""0"":5,""1"":5,""2"":5}",60,0.4091,0.2516,"{""healthy"":0.003992015968063872,""OR"":0.19133574007220217,""IR"":0.5596031623004185}","[[3,0,1497],[0,159,1344],[0,0,1805]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,28,"{""0"":5,""1"":5,""2"":5}",60,0.3276,0.2914,"{""healthy"":0.4419996139741363,""OR"":0.33554817275747506,""IR"":0.09661468238874096}","[[1145,0,355],[858,303,342],[1678,0,127]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,29,"{""0"":5,""1"":5,""2"":5}",60,0.4364,0.3791,"{""healthy"":0.5297822566132806,""OR"":0.5098795180722892,""IR"":0.09778225806451613}","[[1472,28,0],[892,529,82],[1693,15,97]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,30,"{""0"":5,""1"":5,""2"":5}",60,0.4322,0.3525,"{""healthy"":0.6041222459132907,""OR"":0.4435754189944134,""IR"":0.009917355371900827}","[[1275,225,0],[708,794,1],[738,1058,9]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,31,"{""0"":5,""1"":5,""2"":5}",60,0.3126,0.1588,"{""healthy"":0.0,""OR"":0.4763112026620187,""IR"":0.0}","[[0,1500,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,32,"{""0"":5,""1"":5,""2"":5}",60,0.4045,0.3435,"{""healthy"":0.4792101765711031,""OR"":0.5206677265500795,""IR"":0.03055100927441353}","[[1262,238,0],[848,655,0],[1657,120,28]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,33,"{""0"":5,""1"":5,""2"":5}",60,0.5339,0.5300,"{""healthy"":0.49178532311062434,""OR"":0.5162882527147088,""IR"":0.5820213306246825}","[[898,0,602],[595,523,385],[659,0,1146]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,34,"{""0"":5,""1"":5,""2"":5}",60,0.4981,0.4335,"{""healthy"":0.745819397993311,""OR"":0.554714892046503,""IR"":0.0}","[[892,608,0],[0,1503,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,35,"{""0"":5,""1"":5,""2"":5}",60,0.4451,0.3816,"{""healthy"":0.5296610169491526,""OR"":0.5685714285714286,""IR"":0.04643628509719223}","[[1500,0,0],[902,597,4],[1762,0,43]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,36,"{""0"":5,""1"":5,""2"":5}",60,0.4166,0.3394,"{""healthy"":0.5169739789763915,""OR"":0.5012456402590931,""IR"":0.0}","[[1500,0,0],[999,503,1],[1804,1,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,37,"{""0"":5,""1"":5,""2"":5}",60,0.3274,0.2184,"{""healthy"":0.18852924474730268,""OR"":0.46661143330571664,""IR"":0.0}","[[166,1319,15],[95,1408,0],[0,1805,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N09_M07_F10,custom_pool,5,38,"{""0"":5,""1"":5,""2"":5}",60,0.4505,0.3914,"{""healthy"":0.5320092214931725,""OR"":0.5685714285714286,""IR"":0.07352157698454981}","[[1500,0,0],[903,597,3],[1736,0,69]]","[""healthy"",""OR"",""IR""]"
