dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N15_M07_F10,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.4658,0.3662,"{""healthy"":0.011920529801324504,""OR"":0.5274725274725275,""IR"":0.55931330472103}","[[9,0,1492],[0,600,901],[0,174,1629]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.6785,0.6878,"{""healthy"":0.9993337774816788,""OR"":0.5153797865662273,""IR"":0.548801870251315}","[[1500,0,1],[1,821,679],[0,864,939]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.7047,0.7135,"{""healthy"":1.0,""OR"":0.5591798695246971,""IR"":0.5812924166420773}","[[1501,0,0],[0,900,601],[0,818,985]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.6957,0.6939,"{""healthy"":0.9567324333679473,""OR"":0.47548058061985093,""IR"":0.649568552253116}","[[1382,0,119],[0,606,895],[6,442,1355]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5573,0.5375,"{""healthy"":0.8386013986013986,""OR"":0.4348894348894349,""IR"":0.3389708528247571}","[[1499,0,2],[290,708,503],[285,1047,471]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.3765,0.2973,"{""healthy"":0.0,""OR"":0.4452690166975881,""IR"":0.44661987439970446}","[[0,0,1501],[0,600,901],[0,594,1209]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.6547,0.6441,"{""healthy"":0.9072227258990632,""OR"":0.45045045045045046,""IR"":0.574649436348639}","[[1501,0,0],[112,600,789],[195,563,1045]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.5671,0.4782,"{""healthy"":0.8334258745141588,""OR"":0.5739588319770225,""IR"":0.0273224043715847}","[[1501,0,0],[300,1199,2],[300,1478,25]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.6541,0.6414,"{""healthy"":0.9996669996669997,""OR"":0.5989382239382239,""IR"":0.32561916362159965}","[[1501,0,0],[1,1241,259],[0,1402,401]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.2776,0.2078,"{""healthy"":0.060723514211886306,""OR"":0.3850345078096622,""IR"":0.17762128325508608}","[[47,1369,85],[0,1060,441],[0,1576,227]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,10,"{""0"":5,""1"":5,""2"":5}",60,0.6006,0.5835,"{""healthy"":0.8334258745141588,""OR"":0.42199214566226345,""IR"":0.49516682257561584}","[[1501,0,0],[300,591,610],[300,709,794]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,11,"{""0"":5,""1"":5,""2"":5}",60,0.6308,0.6420,"{""healthy"":0.9905850706119704,""OR"":0.497447532614861,""IR"":0.4379421221864952}","[[1473,26,2],[0,877,624],[0,1122,681]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,12,"{""0"":5,""1"":5,""2"":5}",60,0.5881,0.5712,"{""healthy"":0.83365731741183,""OR"":0.4168113928447378,""IR"":0.46325878594249204}","[[1501,0,0],[299,600,602],[300,778,725]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,13,"{""0"":5,""1"":5,""2"":5}",60,0.6298,0.6376,"{""healthy"":0.9993333333333333,""OR"":0.40309035942223714,""IR"":0.5103220478943022}","[[1499,0,2],[0,600,901],[0,876,927]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,14,"{""0"":5,""1"":5,""2"":5}",60,0.4545,0.3706,"{""healthy"":0.6302750367415494,""OR"":0.4206989247311828,""IR"":0.060929983965793695}","[[1501,0,0],[864,626,11],[897,849,57]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,15,"{""0"":5,""1"":5,""2"":5}",60,0.4377,0.4506,"{""healthy"":0.5109126984126984,""OR"":0.43103448275862066,""IR"":0.40978593272171254}","[[515,0,986],[0,650,851],[0,865,938]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,16,"{""0"":5,""1"":5,""2"":5}",60,0.6092,0.5950,"{""healthy"":0.8693889371560961,""OR"":0.5136094674556213,""IR"":0.4018725243068059}","[[1501,0,0],[217,868,416],[234,1011,558]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,17,"{""0"":5,""1"":5,""2"":5}",60,0.4393,0.3557,"{""healthy"":0.5564411492122335,""OR"":0.4995836802664446,""IR"":0.011031439602868174}","[[1501,0,0],[901,600,0],[1492,301,10]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,18,"{""0"":5,""1"":5,""2"":5}",60,0.6252,0.5010,"{""healthy"":0.8406608793055167,""OR"":0.0,""IR"":0.6624063464081092}","[[1501,0,0],[269,0,1232],[300,0,1503]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,19,"{""0"":5,""1"":5,""2"":5}",60,0.5496,0.5038,"{""healthy"":0.8334258745141588,""OR"":0.5026680896478122,""IR"":0.1752212389380531}","[[1501,0,0],[300,942,259],[300,1305,198]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,20,"{""0"":5,""1"":5,""2"":5}",60,0.7856,0.7613,"{""healthy"":0.9597337770382696,""OR"":0.543174143753015,""IR"":0.7811120917917035}","[[1442,0,59],[38,563,900],[24,9,1770]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,21,"{""0"":5,""1"":5,""2"":5}",60,0.6027,0.6046,"{""healthy"":0.9439133205863608,""OR"":0.4686868686868687,""IR"":0.4010641835716661}","[[1481,20,0],[88,812,601],[68,1132,603]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,22,"{""0"":5,""1"":5,""2"":5}",60,0.4102,0.3283,"{""healthy"":0.0,""OR"":0.5309734513274337,""IR"":0.45390972663699936}","[[0,257,1244],[0,900,601],[0,732,1071]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,23,"{""0"":5,""1"":5,""2"":5}",60,0.5505,0.5425,"{""healthy"":0.5490575157080715,""OR"":0.5050423557886244,""IR"":0.5732911892532596}","[[568,0,933],[0,626,875],[0,352,1451]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,24,"{""0"":5,""1"":5,""2"":5}",60,0.4221,0.3464,"{""healthy"":0.519723865877712,""OR"":0.5195569401176878,""IR"":0.0}","[[527,973,1],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,25,"{""0"":5,""1"":5,""2"":5}",60,0.7014,0.6687,"{""healthy"":0.8785484342990928,""OR"":0.440419447092469,""IR"":0.6871794871794872}","[[1501,0,0],[154,462,885],[261,135,1407]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,noise_aug,5,26,"{""0"":5,""1"":5,""2"":5}",60,0.5954,0.5217,"{""healthy"":0.954006968641115,""OR"":0.6045565500406835,""IR"":0.006578947368421052}","[[1369,132,0],[0,1486,15],[0,1797,6]]","[""healthy"",""OR"",""IR""]"
