dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N15_M07_F10,custom_pool,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.2845,0.2698,"{""healthy"":0.39079822616407983,""OR"":0.145748987854251,""IR"":0.2729331823329558}","[[705,0,796],[870,180,451],[532,789,482]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.2968,0.1644,"{""healthy"":0.0,""OR"":0.47787010344242836,""IR"":0.015370705244122965}","[[0,1201,300],[0,1409,92],[0,1786,17]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.3124,0.1587,"{""healthy"":0.0,""OR"":0.47605455122105933,""IR"":0.0}","[[0,1501,0],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.3650,0.2615,"{""healthy"":0.28848346636259975,""OR"":0.4959524202874608,""IR"":0.0}","[[253,1248,0],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.3124,0.1587,"{""healthy"":0.0,""OR"":0.47605455122105933,""IR"":0.0}","[[0,1501,0],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.3124,0.1587,"{""healthy"":0.0,""OR"":0.47605455122105933,""IR"":0.0}","[[0,1501,0],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.4389,0.4077,"{""healthy"":0.5420106847984458,""OR"":0.6271006168900234,""IR"":0.05403508771929825}","[[558,0,943],[0,1474,27],[0,1726,77]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.5911,0.5247,"{""healthy"":0.8941102756892231,""OR"":0.5957923008057296,""IR"":0.0841025641025641}","[[1427,39,35],[140,1331,30],[124,1597,82]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.3143,0.1704,"{""healthy"":0.011920529801324504,""OR"":0.49933466400532267,""IR"":0.0}","[[9,1207,285],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,custom_pool,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.3634,0.1961,"{""healthy"":0.0,""OR"":0.0012903225806451613,""IR"":0.5870479394449117}","[[0,0,1501],[604,1,896],[10,48,1745]]","[""healthy"",""OR"",""IR""]"
