dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,loco_N15_M07_F10,real_only,5,0,"{""0"":5,""1"":5,""2"":5}",0,0.3536,0.2828,"{""healthy"":0.0,""OR"":0.4421272158498436,""IR"":0.40634556574923547}","[[0,0,1501],[0,636,865],[0,740,1063]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,real_only,5,1,"{""0"":5,""1"":5,""2"":5}",0,0.3109,0.1752,"{""healthy"":0.0,""OR"":0.4704920712767697,""IR"":0.055220883534136546}","[[0,1429,72],[0,1439,62],[0,1748,55]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,real_only,5,2,"{""0"":5,""1"":5,""2"":5}",0,0.3746,0.2773,"{""healthy"":0.3322222222222222,""OR"":0.4997502913267854,""IR"":0.0}","[[299,1202,0],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,real_only,5,3,"{""0"":5,""1"":5,""2"":5}",0,0.3143,0.1677,"{""healthy"":0.0,""OR"":0.49122807017543857,""IR"":0.011940298507462687}","[[0,1309,192],[0,1498,3],[0,1791,12]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,real_only,5,4,"{""0"":5,""1"":5,""2"":5}",0,0.3124,0.1587,"{""healthy"":0.0,""OR"":0.47605455122105933,""IR"":0.0}","[[0,1501,0],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,real_only,5,5,"{""0"":5,""1"":5,""2"":5}",0,0.3124,0.1619,"{""healthy"":0.0,""OR"":0.48583913254571937,""IR"":0.0}","[[0,1374,127],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,real_only,5,6,"{""0"":5,""1"":5,""2"":5}",0,0.3051,0.2083,"{""healthy"":0.0,""OR"":0.5130744849445324,""IR"":0.1117281934008494}","[[0,620,881],[0,1295,206],[0,1632,171]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,real_only,5,7,"{""0"":5,""1"":5,""2"":5}",0,0.5719,0.5003,"{""healthy"":0.9075691411935953,""OR"":0.5933979047242538,""IR"":0.0}","[[1247,254,0],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,real_only,5,8,"{""0"":5,""1"":5,""2"":5}",0,0.3261,0.2569,"{""healthy"":0.0,""OR"":0.3897415970468234,""IR"":0.3808237677245105}","[[0,1404,97],[0,1003,498],[0,1239,564]]","[""healthy"",""OR"",""IR""]"
PU,loco_N15_M07_F10,real_only,5,9,"{""0"":5,""1"":5,""2"":5}",0,0.3124,0.1587,"{""healthy"":0.0,""OR"":0.47605455122105933,""IR"":0.0}","[[0,1501,0],[0,1501,0],[0,1803,0]]","[""healthy"",""OR"",""IR""]"
