split,family_id,metric,n_real,comparison,other_method,alternative,n_pairs,mean_llm,mean_other,mean_delta,median_delta,wins,ties,losses,wilcoxon_stat,p_value,holm_q_in_family,bh_q_global,passed_holm
loco_N09_M07_F10,loco_N09_M07_F10_n5_acc_superiority,acc,5,llm>rule,rule,greater,40,0.4466925,0.44498250000000006,0.001709999999999995,0.005549999999999972,21,1,18,420.0,0.3377359939542772,0.6754719879085544,0.6357383415609924,False
loco_N09_M07_F10,loco_N09_M07_F10_n5_acc_superiority,acc,5,llm>random_open_loop,random_open_loop,greater,40,0.4466925,0.3916799999999999,0.0550125,0.06285000000000002,30,0,10,636.0,0.0011916888452331298,0.0035750665356993894,0.003813404304746015,True
loco_N09_M07_F10,loco_N09_M07_F10_n5_acc_superiority,acc,5,llm>noise_aug,noise_aug,greater,40,0.4466925,0.5230675,-0.076375,-0.06709999999999999,10,0,30,170.0,0.9995781687639465,0.9995781687639465,0.9999999999990905,False
loco_N09_M07_F10,loco_N09_M07_F10_n5_acc_superiority,acc,5,llm>real_only,real_only,greater,40,0.4466925,0.3562775,0.090415,0.10950000000000001,29,2,9,639.0,4.933059473554908e-05,0.00019732237894219633,0.000338848643157241,True
loco_N09_M07_F10,loco_N09_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>rule,rule,greater,40,0.3718675,0.37966,-0.0077924999999999965,0.0024500000000000077,20,1,19,376.0,0.5774483382979709,1.0,0.9899114370822358,False
loco_N09_M07_F10,loco_N09_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>random_open_loop,random_open_loop,greater,40,0.3718675,0.27367749999999996,0.09819,0.12865000000000001,29,0,11,653.0,0.00037767578578495886,0.0011330273573548766,0.0016480397925161842,True
loco_N09_M07_F10,loco_N09_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>noise_aug,noise_aug,greater,40,0.3718675,0.46062250000000005,-0.088755,-0.058349999999999985,14,0,26,213.0,0.9965224035568099,1.0,0.9999999999990905,False
loco_N09_M07_F10,loco_N09_M07_F10_n5_macro_f1_superiority,macro_f1,5,llm>real_only,real_only,greater,40,0.3718675,0.218865,0.15300249999999999,0.18359999999999999,30,1,9,697.0,9.170539192164047e-06,3.668215676865619e-05,0.00011004647030596856,True
loco_N09_M07_F10,loco_N09_M07_F10_n10_acc_superiority,acc,10,llm>rule,rule,greater,40,0.49110750000000003,0.4612425,0.029864999999999996,0.0047000000000000375,23,2,15,485.0,0.04840589215371505,0.0968117843074301,0.11617414116891611,False
loco_N09_M07_F10,loco_N09_M07_F10_n10_acc_superiority,acc,10,llm>random_open_loop,random_open_loop,greater,40,0.49110750000000003,0.44721,0.0438975,0.03334999999999999,26,1,13,523.0,0.031725729754841066,0.0951771892645232,0.07809410401191648,False
loco_N09_M07_F10,loco_N09_M07_F10_n10_acc_superiority,acc,10,llm>noise_aug,noise_aug,greater,40,0.49110750000000003,0.5475425,-0.056435,-0.04585,16,0,24,233.0,0.992061889026445,0.992061889026445,0.9999999999990905,False
loco_N09_M07_F10,loco_N09_M07_F10_n10_acc_superiority,acc,10,llm>real_only,real_only,greater,40,0.49110750000000003,0.4045025,0.086605,0.08130000000000004,31,0,9,660.0,0.00025401910261280136,0.0010160764104512054,0.001283464939517312,True
loco_N09_M07_F10,loco_N09_M07_F10_n10_macro_f1_superiority,macro_f1,10,llm>rule,rule,greater,40,0.440445,0.40693250000000003,0.033512499999999994,0.007800000000000001,23,2,15,467.0,0.08083610375734562,0.16167220751469125,0.18927477952939464,False
loco_N09_M07_F10,loco_N09_M07_F10_n10_macro_f1_superiority,macro_f1,10,llm>random_open_loop,random_open_loop,greater,40,0.440445,0.3480225,0.0924225,0.08974999999999998,28,0,12,621.0,0.0019337554258527234,0.00580126627755817,0.005988403899414885,True
loco_N09_M07_F10,loco_N09_M07_F10_n10_macro_f1_superiority,macro_f1,10,llm>noise_aug,noise_aug,greater,40,0.440445,0.48564000000000007,-0.045195000000000006,-0.03425,18,0,22,287.0,0.9513827525670422,0.9513827525670422,0.9999999999990905,False
loco_N09_M07_F10,loco_N09_M07_F10_n10_macro_f1_superiority,macro_f1,10,llm>real_only,real_only,greater,40,0.440445,0.29385249999999996,0.1465925,0.13325000000000004,33,0,7,708.0,1.0523882338020485e-05,4.209552935208194e-05,0.00011225474493888517,True
loco_N09_M07_F10,loco_N09_M07_F10_n25_acc_superiority,acc,25,llm>rule,rule,greater,40,0.5453425000000001,0.4991,0.046242500000000006,0.046599999999999975,29,2,9,650.0,2.524079705792174e-05,0.00010096318823168695,0.00020313268760219216,True
loco_N09_M07_F10,loco_N09_M07_F10_n25_acc_superiority,acc,25,llm>random_open_loop,random_open_loop,greater,40,0.5453425000000001,0.6204275,-0.075085,-0.10825000000000001,11,0,29,124.0,0.9999763488012832,1.0,0.9999999999990905,False
loco_N09_M07_F10,loco_N09_M07_F10_n25_acc_superiority,acc,25,llm>noise_aug,noise_aug,greater,40,0.5453425000000001,0.63219,-0.0868475,-0.07774999999999999,6,0,34,47.0,0.9999999825986379,1.0,0.9999999999990905,False
loco_N09_M07_F10,loco_N09_M07_F10_n25_acc_superiority,acc,25,llm>real_only,real_only,greater,40,0.5453425000000001,0.5478975,-0.0025550000000000074,0.010199999999999987,22,1,17,371.0,0.6045511035200393,1.0,0.9999999999990905,False
loco_N09_M07_F10,loco_N09_M07_F10_n25_macro_f1_superiority,macro_f1,25,llm>rule,rule,greater,40,0.5085225,0.44934499999999994,0.05917750000000001,0.05395,29,1,10,669.0,4.941542712709765e-05,0.0001976617085083906,0.000338848643157241,True
loco_N09_M07_F10,loco_N09_M07_F10_n25_macro_f1_superiority,macro_f1,25,llm>random_open_loop,random_open_loop,greater,40,0.5085225,0.5662375,-0.057715,-0.09424999999999994,13,0,27,210.0,0.9969517741183154,1.0,0.9999999999990905,False
