dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,internal_loco_N15_M07_F04,real_only,5,0,"{""0"":5,""1"":5,""2"":5}",0,0.3649,0.2868,"{""healthy"":0.0,""OR"":0.593000393236335,""IR"":0.2673921492421298}","[[0,26,876],[0,754,147],[0,862,344]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F04,real_only,5,1,"{""0"":5,""1"":5,""2"":5}",0,0.2994,0.1536,"{""healthy"":0.0,""OR"":0.4608695652173913,""IR"":0.0}","[[0,902,0],[0,901,0],[0,1206,0]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F04,real_only,5,2,"{""0"":5,""1"":5,""2"":5}",0,0.3174,0.1934,"{""healthy"":0.1127348643006263,""OR"":0.46756616502335235,""IR"":0.0}","[[54,848,0],[0,901,0],[2,1204,0]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F04,real_only,5,3,"{""0"":5,""1"":5,""2"":5}",0,0.2994,0.1538,"{""healthy"":0.0,""OR"":0.4614596670934699,""IR"":0.0}","[[0,897,5],[0,901,0],[0,1206,0]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F04,real_only,5,4,"{""0"":5,""1"":5,""2"":5}",0,0.2994,0.1536,"{""healthy"":0.0,""OR"":0.4608695652173913,""IR"":0.0}","[[0,902,0],[0,901,0],[0,1206,0]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F04,real_only,5,5,"{""0"":5,""1"":5,""2"":5}",0,0.3077,0.1744,"{""healthy"":0.0,""OR"":0.48161073825503353,""IR"":0.041696621135873475}","[[0,750,152],[0,897,4],[0,1177,29]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F04,real_only,5,6,"{""0"":5,""1"":5,""2"":5}",0,0.5387,0.4314,"{""healthy"":0.0,""OR"":0.6798418972332015,""IR"":0.6142301278488049}","[[0,0,902],[0,516,385],[0,101,1105]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F04,real_only,5,7,"{""0"":5,""1"":5,""2"":5}",0,0.5045,0.4526,"{""healthy"":0.8097112860892388,""OR"":0.5480535279805353,""IR"":0.0}","[[617,285,0],[0,901,0],[5,1201,0]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F04,real_only,5,8,"{""0"":5,""1"":5,""2"":5}",0,0.4626,0.3218,"{""healthy"":0.0,""OR"":0.3719298245614035,""IR"":0.5935613682092555}","[[0,1,901],[0,212,689],[0,26,1180]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F04,real_only,5,9,"{""0"":5,""1"":5,""2"":5}",0,0.2994,0.1536,"{""healthy"":0.0,""OR"":0.4608695652173913,""IR"":0.0}","[[0,902,0],[0,901,0],[0,1206,0]]","[""healthy"",""OR"",""IR""]"
