dataset,split,baseline,n_real,seed,actual_real_per_class,n_syn,acc,macro_f1,per_class_f1_json,confusion_json,class_names_json
PU,internal_loco_N15_M07_F10,noise_aug,5,0,"{""0"":5,""1"":5,""2"":5}",60,0.5193,0.5041,"{""healthy"":0.37583892617449666,""OR"":0.631578947368421,""IR"":0.50480109739369}","[[224,0,677],[0,600,300],[67,400,736]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,5,1,"{""0"":5,""1"":5,""2"":5}",60,0.8595,0.8590,"{""healthy"":0.9904761904761905,""OR"":0.7476635514018691,""IR"":0.8388082505729565}","[[884,0,17],[0,600,300],[0,105,1098]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,5,2,"{""0"":5,""1"":5,""2"":5}",60,0.6375,0.6311,"{""healthy"":0.8605539637058262,""OR"":0.6009013520280421,""IR"":0.431924882629108}","[[901,0,0],[0,600,300],[292,497,414]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,5,3,"{""0"":5,""1"":5,""2"":5}",60,0.8219,0.8236,"{""healthy"":0.8891610532761788,""OR"":0.7697241821680565,""IR"":0.8117897727272727}","[[726,0,175],[5,600,295],[1,59,1143]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,5,4,"{""0"":5,""1"":5,""2"":5}",60,0.5190,0.4707,"{""healthy"":0.857278782112274,""OR"":0.5266639107069037,""IR"":0.02824478816408877}","[[901,0,0],[0,637,263],[300,882,21]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,5,5,"{""0"":5,""1"":5,""2"":5}",60,0.5000,0.4040,"{""healthy"":0.0,""OR"":0.6662965019433648,""IR"":0.5456745311554749}","[[0,0,901],[0,600,300],[0,301,902]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,5,6,"{""0"":5,""1"":5,""2"":5}",60,0.7547,0.7570,"{""healthy"":0.9279093717816684,""OR"":0.667779632721202,""IR"":0.6751873071837814}","[[901,0,0],[0,600,300],[140,297,766]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,5,7,"{""0"":5,""1"":5,""2"":5}",60,0.5995,0.5091,"{""healthy"":0.857278782112274,""OR"":0.6651835372636262,""IR"":0.004962779156327543}","[[901,0,0],[0,897,3],[300,900,3]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,5,8,"{""0"":5,""1"":5,""2"":5}",60,0.6302,0.5975,"{""healthy"":0.9400104329681794,""OR"":0.6244343891402715,""IR"":0.22793606671299513}","[[901,0,0],[0,828,72],[115,924,164]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,5,9,"{""0"":5,""1"":5,""2"":5}",60,0.4957,0.4091,"{""healthy"":0.07478632478632478,""OR"":0.4619523443504996,""IR"":0.6906882591093118}","[[35,751,115],[0,601,299],[0,350,853]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,0,"{""0"":10,""1"":10,""2"":10}",60,0.5995,0.5077,"{""healthy"":0.857278782112274,""OR"":0.6659267480577137,""IR"":0.0}","[[901,0,0],[0,900,0],[300,903,0]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,1,"{""0"":10,""1"":10,""2"":10}",60,0.6441,0.5942,"{""healthy"":0.9147208121827411,""OR"":0.666172656539459,""IR"":0.20164301717699776}","[[901,0,0],[0,899,1],[168,900,135]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,2,"{""0"":10,""1"":10,""2"":10}",60,0.5995,0.5331,"{""healthy"":1.0,""OR"":0.5994005994005994,""IR"":0.0}","[[901,0,0],[0,900,0],[0,1203,0]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,3,"{""0"":10,""1"":10,""2"":10}",60,0.7946,0.8008,"{""healthy"":0.9910414333706606,""OR"":0.6662965019433648,""IR"":0.74514663362247}","[[885,0,16],[0,600,300],[0,301,902]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,4,"{""0"":10,""1"":10,""2"":10}",60,0.6132,0.6030,"{""healthy"":0.857278782112274,""OR"":0.5819592628516004,""IR"":0.36984815618221256}","[[901,0,0],[0,600,300],[300,562,341]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,5,"{""0"":10,""1"":10,""2"":10}",60,0.5360,0.4825,"{""healthy"":0.633837495603236,""OR"":0.6475984889368591,""IR"":0.16615853658536586}","[[901,0,0],[300,600,0],[741,353,109]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,6,"{""0"":10,""1"":10,""2"":10}",60,0.5995,0.5077,"{""healthy"":0.857278782112274,""OR"":0.6659267480577137,""IR"":0.0}","[[901,0,0],[0,900,0],[300,903,0]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,7,"{""0"":10,""1"":10,""2"":10}",60,0.6035,0.5160,"{""healthy"":0.8622009569377991,""OR"":0.6659267480577137,""IR"":0.019753086419753086}","[[901,0,0],[0,900,0],[288,903,12]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,8,"{""0"":10,""1"":10,""2"":10}",60,0.6964,0.7126,"{""healthy"":0.9644495412844036,""OR"":0.5853658536585366,""IR"":0.5880758807588076}","[[841,0,60],[0,600,300],[2,550,651]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,10,9,"{""0"":10,""1"":10,""2"":10}",60,0.5975,0.4866,"{""healthy"":0.0,""OR"":0.7957559681697612,""IR"":0.6640733537093637}","[[0,0,901],[0,600,300],[0,8,1195]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,25,0,"{""0"":25,""1"":25,""2"":25}",60,0.8316,0.8317,"{""healthy"":0.897410358565737,""OR"":0.8,""IR"":0.7976}","[[901,0,0],[0,600,300],[206,0,997]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,25,1,"{""0"":25,""1"":25,""2"":25}",60,0.8003,0.8026,"{""healthy"":0.857278782112274,""OR"":0.8,""IR"":0.7506234413965087}","[[901,0,0],[0,600,300],[300,0,903]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,25,2,"{""0"":25,""1"":25,""2"":25}",60,0.7290,0.7287,"{""healthy"":0.8585040495474036,""OR"":0.6988934187536401,""IR"":0.6286496350364964}","[[901,0,0],[0,600,300],[297,217,689]]","[""healthy"",""OR"",""IR""]"
PU,internal_loco_N15_M07_F10,noise_aug,25,3,"{""0"":25,""1"":25,""2"":25}",60,0.6155,0.5585,"{""healthy"":0.857278782112274,""OR"":0.6632532493107522,""IR"":0.15508412582297001}","[[901,0,0],[0,842,58],[300,797,106]]","[""healthy"",""OR"",""IR""]"
